university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
atu,2026,2026-2027,ACCT,2000,Accounting Principles I Lab,Application of concepts presented in the ACCT 2004 lectures using alternative activities to demonstrate how to apply accounting concepts.,Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,2004,Accounting Principles I,"A study of fundamental processes of accounting for day to day business transactions. Includes recording business events in journal entry form and preparing adjusting entries, trial balances, financial statements, and closing entries. Introduces the basic internal control system a business must employ. Concludes with the measurement and reporting of all assets and liabilities.

Lecture three hours, laboratory one and a half hours.",Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,2013,Accounting Principles II,"Addresses accounting processes applied to corporations, cash flow statements, and financial statement analysis. Manufacturing cost, managerial reports, and incremental analysis are also introduced.",Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,2033,Fundamental Accounting Concepts,"This course is designed to provide an overview of accounting concepts for non-business majors with no accounting background. Students gain the knowledge and skills necessary for interpreting reported accounting data. Topics include fundamental financial and managerial accounting concepts, accrual accounting, internal control over cash, financial statement analysis and the budgeting process.",Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,3003,Intermediate Accounting I,"A comprehensive study of accounting theory governing preparation of financial statements with emphasis on conceptual framework, development of accounting standards, and the recording and reporting process. Cash, receivables, inventories, property, plant and equipment, intangible assets, and other selected topics.",Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,3013,Intermediate Accounting II,"Continuation of ACCT 3003 .  Topics covered include current and long-term liabilities, contingencies, stockholders' equity, earnings per share, temporary and long- term investments, revenue recognition, accounting changes, cash flows, statement analysis, and disclosure in financial reporting.",Professional,graduate,True,False,False,False,False,True
atu,2026,2026-2027,ACCT,3023,Accounting Information Systems,"A study of accounting information processing, the systems concept, the analysis and design of accounting information systems, and database hardware and software technology as they apply to producing accounting information to be used in decision making.",Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,3043,Federal Taxes I,A study of federal income tax laws and their relationship to other forms of taxation with primary emphasis on the determination of federal income tax liability and tax planning for individuals.,Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,3053,Federal Taxes II,A study of federal income tax laws with primary emphasis on the determination of federal income tax liability and tax planning for entities other than individuals.,Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,4003,Advanced Accounting I,"A comprehensive study of complex accounting problems involving financial statement treatment of income taxes, pensions, and leases. Problems underlying accounting for partnerships, corporate liquidations and reorganization, segment and interim financial reporting, and foreign currency denominated transactions are examined.",Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,4013,Advanced Accounting II,"A comprehensive study of complex problems involving mergers and acquisitions, consolidated financial statements, and the translation of subsidiary financial statements denominated in a foreign currency.",Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,4023,Cost Accounting,"Basic principles of cost accounting, departmentalization, budgets, standard cost, variance analysis, job order and process costs.",Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,4033,Auditing,"Auditing procedures and concepts, audit working papers and reports, evaluation of internal controls, legal and ethical environment.",Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,4083,Internship in Accounting,"A structured assignment which allows a senior accounting major to gain ""real world"" professional experience in an accounting position relating to an area of career interest. The student works one semester in the office of a cooperating firm under the supervision of a member of management of that firm. An accounting faculty member will consult with the student and the cooperating firm's management periodically during the period of internship. A term paper prepared by the student will be required.",Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,4086,Internship in Accounting,"A structured assignment which allows a senior accounting major to gain ""real world"" professional experience in an accounting position relating to an area of career interest. The student works one semester in the office of a cooperating firm under the supervision of a member of management of that firm. An accounting faculty member will consult with the student and the cooperating firm's management periodically during the period of internship. A term paper prepared by the student will be required.",Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,4093,Governmental Accounting,"Study of GAAP underlying accounting for governmental/ nonprofit entities. Governmental, Proprietary, and Fiduciary funds along with Fixed Asset and Long-term Liability Account Groups are covered.",Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,4103,Special Topics in Accounting,"This course provides in-depth exploration of selected accounting topics. The primary topic will vary from offering to offering; thus, the course may be taken more than once.",Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,6093,Special Topics in Accounting,Course offers an in-depth exploration of selected accounting issues affecting business. The primary focus of the course will vary from offering to offering; thus the course may be taken more than once. There is a required research project.,Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,ACCT,6103,Accounting Analysis,"This course uses a case-study approach to demonstrate how to evaluate internal business units as well as potential merger and acquisition targets. The case-study approach is also used to refine operational and capital budgeting skills, to teach advanced cost-volume-profit analysis techniques, and to develop an awareness of domestic and global transfer pricing issues for multi-location entities.

$35 per SSCH course fee.",Professional,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,1001,Agriculture Orientation,Agriculture Orientation is a freshman course with attention given to sharing of possible solutions to individual problems. Learning experiences also include exploration of anticipated collegiate experiences for departmental majors in addition to post-graduation opportunities. Student and faculty interaction is stressed.,Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,1013,Principles of Agricultural Business,"Overview of the economic theories associated with the production, consumption, and marketing of agricultural products, and with the policies designed to achieve efficiency and welfare goals in agriculture.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,2063,Principles of Agricultural Macroeconomics,"A study of macroeconomic variables that affect agriculture with emphasis on consumption, unemployment, inflation, government spending and taxes, investments, national income, and money and banking.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,2073,Principles of Agricultural Microeconomics,"A study of microeconomics variables that affect agriculture with emphasis on price determination, production, costs, income distribution, and perfect and imperfect competition.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,2103,"A Global Perspective: Resources, Food, and Society","Prerequisites or

A study of food and fiber production and distribution problems, policies, and processes analyzed within social, economic, political, and cultural contexts. The course will address issues related to feeding a growing world population.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,2991,Special Problems in Agriculture,"One to four hours credit, depending on the nature and extent of the problem. This is a course designed to introduce qualified students to specific agricultural areas including Agribusiness, Animal Science, Horticulture, or Plant Science.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,2992,Special Problems in Agriculture,"One to four hours credit, depending on the nature and extent of the problem. This is a course designed to introduce qualified students to specific agricultural areas including Agribusiness, Animal Science, Horticulture, or Plant Science.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,2993,Special Problems in Agriculture,"One to four hours credit, depending on the nature and extent of the problem. This is a course designed to introduce qualified students to specific agricultural areas including Agribusiness, Animal Science, Horticulture, or Plant Science.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,2994,Special Problems in Agriculture,"One to four hours credit, depending on the nature and extent of the problem. This is a course designed to introduce qualified students to specific agricultural areas including Agribusiness, Animal Science, Horticulture, or Plant Science.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,3013,Principles of Farm Management,"A study of the principles of agribusiness including ways of doing business in a free market economic system, entrepreneurship, business start-up, business plans, management, facility needs, legal aspects and tax responsibilities, personnel, and ethics.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,3033,Legal Environment of Agriculture Business,"A study of federal, state, and local legal systems as they pertain to the agricultural industry; topics of study include property law, contracts, torts, business organizations, employment law, environmental regulations, estate planning, and administrative law.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,3213,Career Development in Agriculture,"Study of the professional opportunities and responsibilities associated with agricultural business careers. Interaction with professionals in the chosen career along with development and improvement of written communication, oral communication, and leadership skills.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,3233,International Agricultural Trade,This course is an examination of the economic forces associated with trade in food and agricultural products between the U.S. and other countries. Economic principles and analytical techniques are applied to international trade and multi-national markets.,Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,3993,Internship I in Agriculture,"A supervised, practical experience providing undergraduate agribusiness majors with a hands-on, professional experience in a position relating to an area of career interest. The student will work in a local cooperating agribusiness establishment under the supervision of a member of management of that firm. A minimum of 300 clock hours of supervision, maintain a weekly internship log and prepare a final report.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,4003,Agri-Business Management,A study of the managerial practices and procedures that apply to all agriculture businesses. Emphasis is placed on the use and application of management and economic principles in decision making directed toward profit maximization.,Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,4013,Agricultural Marketing,"A study of marketing functions, practice, organizational structure, legal aspects of agricultural marketing in relation to marketing policies, analysis of consumer behavior, and market demand.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,4023,Agricultural Finance,"Designed as an economic and accounting study of the processes in agricultural businesses. Manufacturing costs, income tax, managerial reports, cash flow, and statement analysis of agricultural businesses along with capital allocation and the purpose and efficiency of agricultural lending institutions are analyzed.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,4033,Agricultural Policy,"Designed as an introduction to historical and current federal governmental legislation in agriculture. Specific emphasis is placed on the logic, beliefs, attitudes and values of the American people coincident with the social, economic, and political environment, and on evaluating the objectives, means and the observed results through the criteria of resource allocation and income distribution in the agricultural sector of the economy.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,4043,Appraisal of Farm Real Estate,"A practical application of principles and practices in farm real estate evaluation, emphasizing the processes of value development and uses.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,4063,Agricultural Investments,"An in-depth analysis of investment opportunities available in the field of agriculture. Emphasis will be on investment in stocks, bonds, agricultural commodities, futures hedging, and in international currencies. Students will be required to create and maintain a diversified investment portfolio with weekly monitoring of their chosen investments.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,4073,Commodity Risk and Futures,"An introductory study of grain and livestock futures markets, options, and their relationship to the cash market.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,4153,Computers in Agriculture,"An introduction to the use of Microsoft Office, especially Excel, and the different price information sources in the agriculture field.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,4951,Undergraduate Research in Agricultural Business and Economics,Advanced students carry out independent research activity relating to a significant problem in major field of study. Supervised by faculty member. Formal report and presentation required. One to four credits depending on problem selected and effort made.,Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,4952,Undergraduate Research in Agricultural Business and Economics,Advanced students carry out independent research activity relating to a significant problem in major field of study. Supervised by faculty member. Formal report and presentation required. One to four credits depending on problem selected and effort made.,Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,4953,Undergraduate Research in Agricultural Business and Economics,Advanced students carry out independent research activity relating to a significant problem in major field of study. Supervised by faculty member. Formal report and presentation required. One to four credits depending on problem selected and effort made.,Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,4954,Undergraduate Research in Agricultural Business and Economics,Advanced students carry out independent research activity relating to a significant problem in major field of study. Supervised by faculty member. Formal report and presentation required. One to four credits depending on problem selected and effort made.,Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,4973,Senior Seminar in Agriculture Business,"This seminar is designed as a capstone course for the Agriculture Business degree. In the capstone experience, students are coached/coaxed to bridge the gap between the structured learning of traditional classroom and the dynamic agricultural business environment - which puts a premium on motivation, initiative and creativity. Students will be challenged to integrate their accumulated knowledge and technical and social skills in order to identify and solve a problem relevant to issues encountered by professionals in their chosen discipline and to communicate the results of their efforts to their peers. In doing so, students will have the opportunity to demonstrate their ability to adapt to professional situations. It is hoped that this experience will transition students from dependent learners to self-directed learners and stimulate students' appreciation of the need for lifelong learning and initiate professional and personal liaisons.",Other,graduate,False,False,False,False,False,True
atu,2026,2026-2027,AGBU,4983,Internship II in Agriculture,"A supervised, practical experience providing undergraduate agribusiness majors with a hands-on, professional experience in a position relating to an area of career interest. The student will work in a local cooperating agribusiness establishment under the supervision of a member of management of that firm. A minimum of 300 clock hours of supervision, maintain a weekly internship log, prepare a final report and present at least a 15 minute seminar to the agriculture department.",Other,graduate,False,False,False,False,False,True
