university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
auburn,2026,2026-2027,AERO,2200,AEROSPACE FUNDAMENTALS,LEC. 1. LAB. 3. Pr. ENGR 1110 and ( PHYS 1600 or PHYS 1607 ). C or better in PHYS 1600 and ENGR 1110 . Introduction to the fundamental physical concepts required for the successful design of aircraft and spacecraft.,STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,3110,AERODYNAMICS I,"LEC. 3. Pr. MATH 2650 and AERO 2200 . C or better in AERO 2200 and MATH 2650 . Properties of fluids, fluid statics, conservation of mass and momentum, atmospheric properties, two dimensional airfoils, three dimensional wings, drag, and flight performance.",STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,3120,AERODYNAMICS II,"LEC. 3. Pr. ENGR 2010 and MATH 2650 and AERO 2200 . C or better in AERO 2200 , MATH 2650 , and ENGR 2010 . Principles of compressible flow including flows with area changes, friction and heat transfer. Fundamental analysis of aerodynamics and potential flow theory. Correlation of potential flow theory with experimental data.",STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,3130,AERODYNAMICS LABORATORY,LEC. 1. LAB. 3. Pr. P/C AERO 2200 . C or better in AERO 2200 . Application of fundamental aerodynamic principles to subsonic and supersonic wind tunnel experiments.,STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,3220,AEROSPACE SYSTEM DYNAMICS AND CONTROLS,"LEC. 3. Pr. ENGR 2350 and MATH 2650 and ( MATH 2660 or MATH 2667 ). C or better in ENGR 2350 , MATH 2650 , and MATH 2660 . Modeling of system elements, classical feedback control techniques used in the analysis of linear systems, analysis of systems undergoing various motions connected with flight.",STEM,undergraduate,False,True,False,False,False,True
auburn,2026,2026-2027,AERO,3230,FLIGHT DYNAMICS,"LEC. 3. LAB. 2. Pr. AERO 3110 and ENGR 2350 and MATH 2650 and AERO 3220 . C or better in MATH 2650 and ENGR 2350 . Airplane performance and stability and control including analytical prediction of performance characteristics, experimental determination of static stability parameters, and analytical prediction of dynamic stability characteristics.",STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,3310,ORBITAL MECHANICS,"LEC. 3. Pr. ENGR 2350 and MATH 2650 . C or better in ENGR 2350 and MATH 2650 . Geometry of the solar system and orbital motion, mathematical integrals of motion, detailed analysis of two-body dynamics and introduction to artificial satellite orbits; Hohmann transfer and patched conics for lunar and interplanetary trajectories.",STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,3610,AEROSPACE STRUCTURES I,"LEC. 1. LAB. 3. Pr. ENGR 2070 or ENGR 2077 . C or better in ENGR 2070 . Fundamental concepts employed in the mechanical testing of engineering materials and structures. Load, stress, and strain measurement techniques are utilized to determine material properties and structural response.",STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,3970,SPECIAL TOPICS,AAB.  SU. Departmental approval. Investigation of various topics in Aerospace Engineering. Course may be repeated for a maximum of 6 credit hours.,STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,4140,AERODYNAMICS III,LEC. 3. Pr. AERO 3110 . Theoretical background essential to a fundamental understanding of laminar and turbulent boundary layers and their relations to skin friction and heat transfer.,STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,4510,AEROSPACE PROPULSION,LEC. 3. LAB. 3. Pr. AERO 3120 . Fundamental analysis of airbreathing jet propulsion. Introduction to chemical rocket propulsion.,STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,4620,AEROSPACE STRUCTURES II,LEC. 3. LAB. 3. Pr. AERO 3610 and ( MATH 2660 or MATH 2667 ). C or better in MATH 2660 . Aircraft and space vehicle structures. An introduction to the finite element method and its application to structural analysis.  The laboratory will utilize state-of-the-art software numerical solution of aerospace structural systems.,STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,4630,AEROSPACE STRUCTURAL DYNAMICS,"LEC. 3. LAB. 3. Pr. AERO 4620 and MATH 2650 . C or better in MATH 2650 . Free, forced and damped vibration of single and multiple degree-of-freedom systems.  The laboratory will utilize state-of-the-art software for the analysis of the vibration and dynamic response of structural systems.",STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,4710,AEROSPACE DESIGN I: AIRCRAFT DESIGN,LEC. 2. LAB. 3. Pr. AERO 3120 and AERO 3110 and AERO 3610 and P/C AERO 3230 . Introduction to the principles required to design aerospace vehicles.,STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,4720,AEROSPACE DESIGN II: AIRCRAFT DESIGN,LEC. 2. LAB. 3. Pr. AERO 4710 . This course is continuation of AERO 4710 .,STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,4730,AEROSPACE DESIGN I: SPACE MISSION,"LEC. 2. LAB. 3. Pr. AERO 3120 and AERO 3610 and P/C AERO 3310 . Introduction to the design of space systems including the identification of launch requirements, spacecraft system components, satellite tracking and orbital analysis to achieve a stated scientific objective.",STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,4740,AEROSPACE DESIGN II: SPACE MISSION,"LEC. 2. LAB. 3. Pr. AERO 4730 . A continuation of AERO 4730 , Space Mission Design I.",STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,4750,AEROSPACE DESIGN I: LAUNCH VEHICLE,LEC. 2. LAB. 3. Pr. AERO 3120 and AERO 3610 and AERO 3310 . Introduction to the principles required to design aerospace vehicles.,STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,4760,AEROSPACE DESIGN II: LAUNCH VEHICLE,LEC. 2. LAB. 3. Pr. AERO 4750 . This course is continuation of AERO 4750 .,STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,4970,SPECIAL TOPICS IN AEROSPACE ENGINEERING,AAB. Departmental approval. Investigation of current state-of-the-art technologies in aerospace engineering. Course may be repeated for a maximum of 9 credit hours.,STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,4997,HONORS THESIS,IND. Pr. Honors College. Departmental approval. Membership in the Honors College and departmental approval required; Directed research and writing of an honors thesis. Course may be repeated for a maximum of 3 credit hours.,STEM,undergraduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,5110,MISSILE AERODYNAMICS,"LEC. 3. Pr. AERO 3120 . Coreq. AERO 4140 . Aerodynamics of slender wing-body combinations, interference effects, linear and non-linear effects, applications to missile design and performance.",STEM,graduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,5120,ROTARY WING AERODYNAMICS,LEC. 3. Pr. AERO 3110 . Aerodynamics and flight characteristics of rotary-wing aircraft.,STEM,graduate,False,False,False,False,False,True
auburn,2026,2026-2027,AERO,5140,COMPUTATIONAL FLUID DYNAMICS,LEC. 3. Pr. AERO 3110 . An introduction to finite-difference and finite-volume methods for solving partial differential equations of interest in fluid dynamics.,STEM,graduate,False,False,False,False,False,True
