university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
barry,2026,2025-2026,ACC,201,FINANCIAL ACCOUNTING,"An introduction to the accounting concepts, principles and techniques used in recording business transactions. The accounting cycle, the measurement of income and valuation problems, reporting of financial position and results of operations for business enterprises are explored. Prerequisite: CS 180.",Professional,undergraduate,False,False,False,False,False,True
barry,2026,2025-2026,ACC,335,INTERMEDIATE ACCOUNTING I,"The accounting process, the framework of accounting theory, and content and analysis of financial statements with emphasis on current assets and revenue recognition.  Prerequisite: ACC 202.",Professional,undergraduate,False,False,False,False,False,True
barry,2026,2025-2026,ACC,435,ADVANCED ACCOUNTING I,"Accounting for equity method of investment, mergers and acquisitions, consolidations, consolidated financial statements, variable interest entities, segment and interim reporting. Prerequisites: ACC 335, ACC 336, ACC 337 or permission of the Accounting Discipline Coordinator, Senior status.",Professional,undergraduate,True,False,False,False,False,True
barry,2026,2025-2026,ACC,202,MANAGERIAL ACCOUNTING,"An introduction to concepts and methods to assist management in the evaluation of the business enterprise and to aid in its planning, organizing and controlling functions. Topics include cost systems, break-even analysis, flexible budgets, variance analysis and capital budgeting. Prerequisite: ACC 201.",Professional,undergraduate,False,False,False,False,False,True
barry,2026,2025-2026,ACC,400,ACCOUNTING INFORMATION SYSTEMS,"This course surveys the conceptual foundations of accounting information systems, their applications, and control.  Focus is put on information security, confidentiality and privacy controls, processing integrity and availability controls, and the internal controls necessary to produce accurate and reliable accounting data.  The course also provides students a background to prepare them for studying the system & organization control engagements (SOC) in auditing. Prerequisites: CS 180, BUS 315, ACC 335.",Professional,undergraduate,False,False,False,False,False,True
barry,2026,2025-2026,ACC,437,AUDITING,"Basic standards and procedures as applied to independent financial audit, professional ethics, audit programs, working papers, legal responsibility, auditing computerized systems, completing the audit and reports. Prerequisite: ACC 335, ACC 336, ACC 337, Or Permission of the Accounting Discipline Coordinator, Senior status.",Professional,undergraduate,False,False,False,False,False,True
barry,2026,2025-2026,ADM,306,APPLIED MARKETING FOR ORGANIZATIONS,"This course will explore services marketing strategies and methods. The focus will be on distinctions which exist in the marketing of intangibles and methods designed to increase the effectiveness of services marketing for private, public and not-for-profit organizations.",Professional,undergraduate,False,False,False,False,False,True
barry,2026,2025-2026,ACC,360,COST ACCOUNTING,"Principles of cost accounting for both manufacturing and service industries. Topics include income statement measurement and analysis, break-even, job-order and process costing systems, overhead allocation and analysis, operational and capital budgeting variance analysis, scrap and managerial decision-making.  Prerequisite: ACC 202.",Professional,undergraduate,False,False,False,False,False,True
barry,2026,2025-2026,ACC,337,INTERMEDIATE ACCOUNTING III,"Special topics of accounting changes, error correction, earnings per share, income tax accounting and leases; cash flow statement; equity accounting for partnerships; interim and segment reporting.  Prerequisite: ACC 335.",Professional,undergraduate,True,False,False,False,False,True
barry,2026,2025-2026,ADM,315,"DVRSTY, EQTY, INCLUSION IN GLBL WRKPLA","This course examines the effect diversity has in the workplace and focuses on issues related to racial, ethnic, religious, linguistic, physical, gender, and age differences, among others.",Professional,undergraduate,True,False,False,False,False,True
