university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
berea,2026,2025-2026,AFR,100,Models & Mentors for Success,"Previous: This college readiness course seeks to prepare African American male first-year students for the long-term intellectual and social rigors of academic life at an Appalachian liberal arts institution, Berea College. Students will learn strategies for achieving academic success. Using the interdisciplinary lens of African/African American Studies as a guide, students will develop study skills, self-advocacy, and foster habits of wellness and communal well-being. Students will also explore broader themes of finding campus fit, identity and belonging, and developing a network of educational resources. This two-prong approach is designed to help students negotiate day-to-day challenges at a predominately White institution, and also to affirm studentsâ inner self-worth and sense of belonging in the world at large.  Course content will be delivered through lecture, reflection, group discussion, formal self-assessment, action planning, and interaction with guest models and mentors across campus. Noncredit for students who completed it as AFR 186.",Humanities,undergraduate,True,False,False,False,False,True
berea,2026,2025-2026,ANR,310,Nutritional Studies,"Prerequisites: ANR 110 or BIO 110 ; and CHM 131 , CHM 134, or CHM 113 ; or perm. of instructor Basic processes of digestion, absorption, and metabolism of nutrients. Emphasis is on feedstuff selection and analysis, animal and human nutrient needs, and ration formulation and dietary analysis for a wide variety of species. Three lectures and one laboratory session each week.",Humanities,undergraduate,False,False,False,False,False,True
berea,2026,2025-2026,ANR,201,Food & Agriculture in Africa,"Prerequisite: L&I 200 (or wavier) or GSTR 210 In this course we will explore the origin and spread of agriculture on the continent of Africa. We will examine how different cultural groups interact with their environments and how this interaction is being shaped and changed in the modern world. We will also explore the legacy of the slave trade and subsequent European colonization on agriculture, production, and food systems on the African continent, and throughout the African diaspora. This course illustrates the connections between the food and agriculture practices of the African diaspora to their roots in African traditions and crops. Additionally, we will examine how current efforts to change or shape local agricultural policies and practices are affected by and/or respond to histories of colonization and racialized injustice. Noncredit for students who completed it as AFR/ANR 286",Humanities,undergraduate,True,False,False,False,False,True
berea,2026,2025-2026,ANR,312,Advanced Livestock Systems,"Prerequisite: ANR 110 or permission of instructor An investigation into current knowledge and applied concepts in the production of livestock. Includes reviews of research in breeding, nutrition, reproduction, and economics. Emphasis on applied management skills, including health and reproductive-management techniques, feed analysis, cost accounting, and marketing. Three lectures and one laboratory session each week. May be repeated for up to two credits.",Humanities,undergraduate,False,False,False,False,False,True
berea,2026,2025-2026,ANR,318,Food Policy (CFS),"Prerequisite: L&I 200 (or wavier) or GSTR 210 or permission Students will explore key policies shaping the food system in the United States and the implications these have for producers, consumers, and the environment within the U.S. and around the world. In particular, we will focus on how these policies affect access to and affordability of a safe and nutritious food supply. Students will be introduced to how the policy process works, particularly as it applies to the food system, including who the major stakeholders are, what their primary objectives are, and how they influence policy decisions. We will also explore the political, economic, and cultural context within which policies are developed, and the processes through which these policies become translated into programs. Finally, the course will address how policies support or hinder the vitality of emerging alternatives, including organic, local, and fair trade movements.",Humanities,undergraduate,False,False,False,False,False,True
berea,2026,2025-2026,ANR,320,Animal Diseases,"Prerequisite: ANR 110 or BIO 110 Causes, symptoms, treatments, and diagnoses of animal diseases with emphasis on prevention and control. Three lectures and one laboratory each week.",Humanities,undergraduate,False,False,False,False,False,True
berea,2026,2025-2026,ANR,319,Farm to Table: Valu-Added Prod,"Prerequisites: Completion of ANR 110 and ANR 130 or permission. A course covering the scientific, practical, economic, and regulatory aspects of manufacturing food products from raw ingredients derived from farming. Students will gain hands-on experience and a comprehensive understanding of making value-added food products by researching, observing, carrying out, and analyzing a variety of food-production processes using raw ingredients derived largely from the Berea College Farm. Food-safety, legal, and financial aspects of making food products from raw farm ingredients for retail sale will be addressed through lectures, readings, demonstrations, and group projects.",Humanities,undergraduate,False,False,False,False,False,True
berea,2026,2025-2026,ANR,100,Intr to Agr & Natural Resource,"An overview of ecological production systems managed to generate food, fiber, fuel, and other natural resources for human use and the academic disciplines associated with them. The course will survey the diverse natural-resource systems upon which we depend but will emphasize biological systems managed for the production of renewable resources. Historical and current understandings of sustainable resource use will be examined and applied to evaluate local, national, and international issues confronting human society today. Students will be introduced to the fields of agriculture, including animal and plant-based systems, forestry, and wildlife and fisheries management, and have the opportunity to explore careers in these areas. This course should be taken during the first year by all students intending to major or minor in Agriculture and Natural Resources and by any students interested in exploring the major. This course involves field trips with physical activity.",Humanities,undergraduate,True,False,False,True,False,True
berea,2026,2025-2026,ANR,324,Nutritional Physio & Biochem,"Prerequisite: CHM 113 , 131, or 134); or permission of instructor The physiological chemistry of animal nutrition, measurement of the body needs and feed value, the nutritive requirements for body processes, and productive functions. Three lectures and one laboratory session each week.",Humanities,undergraduate,False,False,False,False,False,True
berea,2026,2025-2026,AFR,286ZZ,One-Time Cross-Listed Course,This course is used only as a one-term cross-listed course when the cross-listed course does not currently exist in the department.,Humanities,undergraduate,False,False,False,False,False,True
berea,2026,2025-2026,ANR,110,Animal Science,"Introduction to the fundamental principles of animal science. Emphasis on breeding, nutrition, management, and marketing of domestic animals. The role of genetics, health, and reproductive management on the productivity of various species will be investigated. Three lectures and one laboratory session each week. Natural Science Lab Course.",Humanities,undergraduate,False,False,False,False,False,True
berea,2026,2025-2026,ANR,240,Soil Science,"Prerequisite: ANR 130 or BIO 114 and CHM 101 An applied study of physical, chemical, and biological properties of soils, emphasizing an ecological approach to management in a variety of contexts including field crops, horticultural crops, forests, and urban environments. This course covers soil formation and classification; fertility for plant nutrition; energy, water, and nutrient cycling; soil degradation and conservation; and soil-quality testing. Students conduct field and laboratory analyses, group and individual research projects, and reviews of the soil-science literature. Three lectures and one laboratory session each week.  Natural Science Lab Course.",Humanities,undergraduate,False,False,False,True,False,True
berea,2026,2025-2026,ANR,265,Bees and Beekeeping,"Prerequisite: Any ANR or BIO course; or permission of instructor An introduction to honeybee biology and the practice of beekeeping, also known as apiculture. Students will learn how an understanding of bee biology, generated through observation and experimentation, has been applied to develop methods-simple as well as intricate-to manage honeybee colonies for various purposes, such as honey and wax production and crop pollination. Topics covered will include honeybee biology (anatomy, physiology, behavior, ecology, and taxonomy), crop pollination, and beekeeping (historical and current practices). Students will gain practical experience by working with hives, assessing hive conditions, diagnosing problems, and making management decisions. NOTE: Noncredit for students who completed ANR 365. Natural Science Course.",Humanities,undergraduate,False,False,False,False,False,True
berea,2026,2025-2026,ANR,130,Plant Science,"Prerequisite: Completion or waiver of MAT 012 This course is designed to develop an understanding of the processes and factors affecting plant growth and development. Biological, soil, genetic, and environmental factors are discussed in relation to agronomic, horticultural, and forest plants. Principles of crop production and management are introduced with emphasis on agroecology and sustainable practices. Three lectures and one laboratory session each week. Natural Science Lab Course.",Humanities,undergraduate,False,False,False,True,False,True
berea,2026,2025-2026,ANR,325,Animal Reproduction & Breeding,"Prerequisite: ANR 110 or BIO 110 , or permission of instructor Physiological processes of reproduction, including gonadal function, endocrine relationships, fertility, and factors affecting reproductive efficiency. In addition, the course covers the application of genetics to the improvement of farm animals. Both qualitative and quantitative genetics will be stressed. Three lectures and one laboratory session each week.",Humanities,undergraduate,False,False,False,False,False,True
berea,2026,2025-2026,ANR,330,Forage and Row Crop Production,"Prerequisite: ANR 130 or BIO 114 This course is designed to develop an understanding of the biology, management, and uses of major crop plants. Interactions between cropping systems and the larger ecosystem will be discussed. Soil, genetic, and environmental factors will be related to crop management, yield, and quality, with emphasis on sustainable practices and planning sustainable systems. Both regionally and nationally important crop species will be discussed. Three lectures and one laboratory session each week.  Natural Science Course.",Humanities,undergraduate,False,False,False,True,False,True
berea,2026,2025-2026,ANR,494,Labor/Field Learning Exper,Prerequisite: Permission of the Program Chairperson Labor/Learning experience that may be completed through an experience with selected on- or off-campus agencies under the direction of a staff member in the Agriculture and Natural Resources Program.  NOTE: Should be taken prior to the senior year.  Active Learning Experience.,Humanities,undergraduate,False,False,False,False,False,True
berea,2026,2025-2026,ANR,375,Farm Resource Management,"Prerequisite: ECO 102 or BUS 120 Course emphasizes the linkages between the physical production systems and the economic and business systems used in the food and fiber industries. In addition, the social aspects of management and decision making will be addressed.  Particular emphasis will be placed on organization and use of resources in a farm business. Includes investigation into the many off-farm factors that influence on-farm decisions. Three lectures and one laboratory session each week.",Humanities,undergraduate,False,False,False,False,False,True
berea,2026,2025-2026,APS,112,Appalachian Ceramics,"This course explores the Appalachian tradition of bringing clay from the hills to the table, while guiding students through an examination of the historic and contemporary ceramic craftspeople, their aesthetics and technology in the southern Appalachian Mountain region and elsewhere.  A hands-on course, students will be asked to complete a series of projects in support of   Attachment 55 6  readings, research, and lectures on traditional and contemporary topics on the Appalachian craft tradition. The history of hand-building and wheel-thrown techniques and practical applications will also be examined, as well as local clay prospecting and practical processing techniques. Although not a Ceramics 1 course, Appalachian Ceramics will be an intensive research and technically based Ceramics course that covers some of the same ideas and basic technical foundations. Scheduled class time will include demonstrations, group critiques, slide shows, and studio workâparticipation in these is required. Previous experience is not required for this course.",Humanities,undergraduate,False,False,False,False,False,True
berea,2026,2025-2026,APS,100,"Cultures, Values, Perspectives","Students will engage in intensive writing and reflection to investigate the dynamics and history of their own and Appalachiaâs cultural value structures and how stereotypes have evolved and function to delegitimize and/or manipulate those. At the same time, students will identify and explore diverse perspectives, engaging in indepth conversations across and concerning difference, especially when perspectives differ from their own. Students will come to articulate the place of personal and cultural values in Appalachiansâ ability to live reflective, productive, and rich lives. (Note: This class counts at APS 121 for purposes of the minor, and students who take this class may not enroll in APS 121 for credit.)",Humanities,undergraduate,True,False,False,False,False,True
berea,2026,2025-2026,ANR,342,Soil & Water Conservation,"Prerequisite: ANR 240 (formerly ANR 340) or permission of instructor This course examines hazards, measurements, causes, and solutions for erosion, sedimentation, and pollution of soils, surface, and groundwater. The primary perspective will be agricultural, but issues related to urban development, engineering, mining, and other land uses also will be discussed. Linkages between soil and water resources and environmental quality will be emphasized. Appalachian examples will be used as models whenever possible. Three lectures and one laboratory session each week.",Humanities,undergraduate,False,False,False,False,False,True
