university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
bethel,2026,2026-2027,ACCT,120,Business Accounting,"This course serves business majors who desire a basic understanding of the effects of financial transactions and financial reporting. An emphasis is on ""transaction analysis"" and the practical business implications of accounting.",Professional,graduate,False,False,False,False,False,True
bethel,2026,2026-2027,ACCT,204,Fundamentals of Accounting II,"Continued study of accounting principles and procedures as related to financial statements, with emphasis placed on the analysis and interpretation of these statements. Included is an introduction to managerial accounting, including budgets, long-range capital planning and cost systems.",Professional,graduate,False,False,False,False,False,True
bethel,2026,2026-2027,ACCT,412,Auditing,A study of the principles and procedures underlying the verification of financial statements as made by independent public accountants. Emphasis is placed on professional ethics. AICPA pronouncements and preparation for the uniform CPA examination.,Professional,graduate,False,False,False,False,False,True
bethel,2026,2026-2027,ACCT,203,Fundamentals of Accounting I,"A study of accounting principles and procedures, including original data collection, transaction analysis, journalizing, posting, summarizing and preparing financial statements.",Professional,graduate,False,False,False,False,False,True
bethel,2026,2026-2027,ACCT,413,Independent Study in Accounting,An opportunity for independent study or research or completion of a special project in accounting.,Professional,graduate,False,False,False,False,False,True
bethel,2026,2026-2027,ACCT,327,Accounting Information Systems,"A study of fundamental accounting systems. Emphasis is placed on document flow and transaction cycles, internal controls, and the analysis, design and development of accounting systems to support management decision-making processes. Theory will be combined with experience using a commercial software package.",Professional,graduate,False,False,False,False,False,True
bethel,2026,2026-2027,ACCT,304,Intermediate Accounting II,"A continuation of intermediate accounting, including long-term investments, bonds, taxes, leases, capital formation, retained earnings and statement of cash flows.",Professional,graduate,False,False,False,False,False,True
bethel,2026,2026-2027,ACCT,310,Advanced Financial Accounting,"A study of accounting principles as applied to organizational structures; mergers and consolidations, partnerships and governmental units (fund accounting).",Professional,graduate,False,False,False,False,False,True
bethel,2026,2026-2027,ACCT,303,Intermediate Accounting I,"A review of financial statements followed by a detailed study of the theory and accounting principles. Included in the course is a study of cash, temporary investments, receivables, inventories, plant assets and current liabilities.",Professional,graduate,False,False,False,False,False,True
bethel,2026,2026-2027,ACCT,312,Federal Income Taxation,"A study of federal tax accounting for individuals. Includes study of effective decisions on timing of income, expenses and capital investment. The structure of the Internal Revenue Code, regulations and court decisions in the framework of the evaluation of the federal tax system are examined.",Professional,graduate,False,False,False,False,False,True
bethel,2026,2026-2027,ACCT,427,Internship in Accounting,"Field experience in a selected area of interest, including on-the-job exposure and completion of a significant project.",Professional,graduate,False,False,False,False,False,True
bethel,2026,2026-2027,ACCT,311,Managerial Accounting,"Study of the preparation, analysis and use of routine and special reports underlying management decisions. Includes financial statement analysis, measurements of risk and return, budgetary control and cost analysis.",Professional,graduate,False,False,False,False,False,True
