university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
calpoly,2026,2026-2027,AERO,1121,Aerospace Fundamentals,"Introduction to the engineering profession including the aeronautical and astronautical fields. Engineering approach to problem-solving and analysis of data obtained from experiments. Basic nomenclature and design criteria used in the aerospace industry. Applications to basic problems in the field. 1 lecture, 1 laboratory. Formerly AERO 121.",STEM,graduate,False,False,False,False,False,True
calpoly,2026,2026-2027,AERO,2200,Special Problems for Undergraduates,"Individual investigation, research, studies, or surveys of selected problems. Repeatable up to 3 units. Formerly AERO 200.",STEM,graduate,False,False,False,False,False,True
calpoly,2026,2026-2027,AERO,2220,Aerospace Engineering Dynamics,Fundamentals of kinematics and dynamics of particles and rigid bodies. Kinematics of particle and rigid body motion. Newton's 2nd law. Work-energy and momentum methods. Introduction to three-dimensional kinematics and reference frames. Course may be offered in classroom-based or online format. 3 lectures.,STEM,graduate,False,False,False,False,False,True
calpoly,2026,2026-2027,AERO,2270,Special Topics,Directed group study of special topics. The Class Schedule will list topic selected. Repeatable up to 6 units. 1 to 3 lectures. Formerly AERO 270.,STEM,graduate,False,False,False,False,False,True
calpoly,2026,2026-2027,AERO,3300,Engineering Numerical Analysis,"Numerical methods for solving aerospace engineering problems in the areas of fluids, thermodynamics, dynamics, control, and structures using modern computing techniques. Numerical precision, iterative methods, numerical integration, Runge-Kutta solvers, finite difference, singular value decomposition and Eigen-problem solutions. Course may be offered in classroom-based or online format. 3 lectures, 1 laboratory. Fulfills GE Areas Upper-Division 2 or Upper-Division 5 (GE Area Upper-Division B for students on the 2020-26 catalogs).",STEM,graduate,False,False,False,False,False,True
calpoly,2026,2026-2027,AERO,3301,Thermo Fluid Dynamics,"Thermo-fluid-flow properties, standard atmosphere, dimensional analysis, closed-open-isolated systems, laws of thermodynamics, Navier Stokes relations, thermodynamic equations of state and related variables, thermodynamic processes, control volume analysis, (in)compressible internal-external flows, isentropic flow, normal-oblique shocks, compression-expansion waves, (un)steady flows, laminar-turbulent flows. Course may be offered in classroom-based or online format. 4 lectures.",STEM,graduate,False,False,False,False,False,True
calpoly,2026,2026-2027,AERO,3302,Thermo Fluids Laboratory,"Experiments and analysis in applied fluid mechanics, thermodynamics, and heat transfer. Comparisons of analog and digital data sensors and acquisition for applications of conservation of mass, momentum, and energy. 1 laboratory.",STEM,graduate,False,False,False,False,False,True
calpoly,2026,2026-2027,AERO,3303,Heat and Mass Transfer,"Convection, conduction, and radiation as methods for heat transfer. Specific topics will cover calorically, thermally perfect, and real gas effects, thermodynamic cycle analysis and efficiencies, Rayleigh-Fanno flows, forced-free convection, radiative gases/surfaces, emission-irradiation spectrum, and radiation shields. Course may be offered in classroom-based or online format. 2 lectures. Formerly AERO 303.",STEM,graduate,False,False,False,False,False,True
calpoly,2026,2026-2027,AERO,3304,Aerospace Propulsion Systems,"Power plant types, components, characteristics, and requirements. Principles of thrust and energy utilization for low and high-speed applications. Thermodynamic processes and performance of gas turbines and ramjets, as well as chemical, electric, and nuclear rocket propulsion. Course may be offered in classroom-based or online format. 3 lectures. Formerly AERO 401.",STEM,graduate,False,False,False,False,False,True
calpoly,2026,2026-2027,AERO,3305,Introduction to Aerodynamics,Introduction to aerodynamics and its application to a variety of flight conditions. Analytical and empirical relation. Airfoil/wing characteristics corrections for such things as compressibility and wing sweep accounting for the generation of forces and moments. Course may be offered in classroom-based or online format. 3 lectures. Formerly AERO 306.,STEM,graduate,False,False,False,False,False,True
