university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
centre,2026,2025-2026,AAS,140,Black-ish: Black Identities in the Global Age.,"What does it mean to be Black in an age that is constantly changing and redefining the contours and contexts of our identities? In this class, we’re going to engage a variety of cultural expressions of Blackness in the US and beyond in literature, music, film and visual art. We’ll read literature that spans from Langston Hughes to Chimanda Ngozi Adichie, watch films that span from The Color Purple to Get Out , explore elements of contemporary pop culture like Key and Peele and A Black Lady Sketch Show and engage topics as diverse as African American Vernacular English, Afrolatinidad and Afrofuturism.",Humanities,undergraduate,True,False,False,False,False,True
centre,2026,2025-2026,AAS,230,Beyond Black Panther: Afrofuturism in the Arts,"The term ‘Afrofuturism’ was first mentioned by cultural critic Mark Dery in the 1990s. He identifies it as “speculative fiction that treats African-American themes and addresses African-American concerns in the context of twentieth century technoculture – and more generally, African-American signification that appropriates images of technology and a prosthetically enhanced future.” In this course we will investigate the music, poetry, literature art and film of African and African diaspora cultural traditions and their reimagining within the evolution of Afrofuturism and speculative fiction. We will have the rare privilege of focusing exclusively on Black voices and cultural customs and traditions from Africa. Artists under investigation include Pilani Bubu, George Clinton, Ryan Coogler, Kendrick Lamar, Janelle Monáe, Deji Okulotun, Sun Ra, Wole Soyinka, and Ytasha Womack. The course features guest presentations by filmmaker, dancer and Afrofuturist scholar Ytasha Womack and SAMA Award-winning South African musical folklorist Pilani Bubu.",Humanities,undergraduate,True,False,False,False,False,True
centre,2026,2025-2026,AAS,260,Introduction to France's Relations with African Countries,"This course is designed to help American students understand contemporary France through the lens of its relations to Africa. From the early 19th century until the mid-20th century African colonies provided a source of manpower, natural resources, military resources, and a platform for international trade which helped ensure France’s role as a world power. While France’s presence brought some advances to African countries, it also exploited them and disrupted traditional social structures by enforcing its so called assimilation politics. We will examine the ways in which France continues to wield considerable economic, political and military influence in Africa through unequal relations known as ""la France-Afrique"".",Humanities,undergraduate,False,False,False,False,False,True
centre,2026,2025-2026,AES,210,Aerospace Studies-II,Introduces the study of air power from a historical perspective; focuses on the development of air power into a primary element of national security. Leadership experience is continued through active participation in the cadet corps.,Humanities,undergraduate,False,False,False,False,False,True
centre,2026,2025-2026,AES,110,Aerospace Studies-I,"A course designed to provide the student with a basic understanding of the nature and principles of war, national power, and the Department of Defense role in the organization of national security. The student also develops leadership abilities by participating in a military organization, the cadet corps, which offers a wide variety of situations demanding effective leadership.",Humanities,undergraduate,False,False,False,False,False,True
centre,2026,2025-2026,AES,310,Aerospace Studies-III,"A study of management functions with emphasis on the individual as a manager in an Air Force environment. Individual motivational and behavioral process, communication, and group dynamics are included to provide a foundation for the development of professional skills as an Air Force officer. Students refine their leadership and managerial abilities by organizing and managing a quasi-military unit.",Humanities,undergraduate,False,False,False,False,False,True
centre,2026,2025-2026,AES,410,Aerospace Studies-IV,"A study of the military profession, civil-military interaction, communicative skills, framework of defense policy, and formulation of defense strategy. Students refine their leadership abilities by organizing and managing a military unit, the cadet corps, which offers a wide variety of situations requiring effective leadership.",Humanities,undergraduate,False,False,False,False,False,True
centre,2026,2025-2026,AES,420,Aerospace Studies-IV,"Continues the study of strategy and the management of conflict, formulation and implementation of U.S. defense policy, defense organization, and case studies in defense policy making. Students also refine their leadership abilities by organizing and managing a military unit, the cadet corps, which offers a wide variety of situations requiring effective leadership.",Humanities,undergraduate,False,False,False,False,False,True
centre,2026,2025-2026,AES,320,Aerospace Studies-III,"A study of leadership with specific emphasis on the Air Force leader. Includes theoretical, professional, and communicative aspects. In addition, military justice and administrative law are discussed within the context of the military organization. Students continue to develop and refine their leadership abilities by organizing and managing a military unit, the cadet corps, which offers a wide variety of situations requiring effective leadership.",Humanities,undergraduate,False,False,False,False,False,True
centre,2026,2025-2026,AAS,500,Colloquium,An interdisciplinary colloquium focused on the development of an independent research project as a culmination of work in the minor. Students present the results of the independent study at the RICE symposium or at another public forum.,Humanities,graduate,False,False,False,False,False,True
centre,2026,2025-2026,AMS,110,Introduction to the Army,"This introductory level course is designed to give students an appreciation for the role the Army currently plays in our society. The course covers the history of the Army and the roles and relationships of the Army within our society. The course also covers some of the basic skills necessary for today's leaders to include oral presentation, time management, map reading, basic rifle marksmanship and squad tactics. Offered on a pass/unsatisfactory basis only, except for officially enrolled Army ROTC students. Open only to first-year students and sophomores.",Humanities,undergraduate,False,False,False,False,False,True
centre,2026,2025-2026,AES,220,Aerospace Studies-II,"Provides a foundation for understanding how air power has been employed in military and nonmilitary operations to support national objectives. Examines the changing mission of the defense establishment, with particular emphasis on the United States Air Force.",Humanities,undergraduate,False,False,False,False,False,True
centre,2026,2025-2026,AAS,250,Namibia: From Genocide to Activism,"Students in this course will acquire an understanding of the role of gender, race, and class throughout Germany’s colonial history in Namibia and in present day Germany. Students will familiarize themselves with terminologies and approaches in theories of genocide studies. They will also compare and contrast narrative representations of the movements, identities and interactions from marginalized communities. This course addresses themes of diversity, emphasizing intersectionality and interweaving approaches from race and genocide studies. Students will also engage with material (film and literary genres, such as fiction and documentary) that is produced by those marginalized communities covered in class.",Humanities,undergraduate,True,False,False,False,False,True
centre,2026,2025-2026,AMS,120,Introduction to Leadership,"This course is designed to acquaint the student with the fundamental skills necessary to be a leader, both in military and civilian context. Course also covers basic military map reading skills. Offered on a pass/unsatisfactory basis only, except for officially enrolled Army ROTC students. Open only to first-year students and sophomores.",Humanities,undergraduate,False,False,False,False,False,True
centre,2026,2025-2026,AES,120,Aerospace Studies-I,Continuation of AES 110 . Designed to provide the student with a basic understanding of the contribution of aerospace power to the total U.S. strategic offensive and defensive military posture.,Humanities,undergraduate,False,False,False,False,False,True
centre,2026,2025-2026,AMS,210,Advanced Leadership-I,"This course focuses on both theoretical and practical aspects of leadership. Students examine topics such as written and oral communication, effective listening, assertiveness, personality, adult development, motivation, and organizational culture and change.",Humanities,undergraduate,False,False,False,False,False,True
centre,2026,2025-2026,AMS,220,Advanced Leadership-II,"This course focuses principally on officership, providing an extensive examination of the unique purpose, roles, and obligations of commissioned officers. It includes a detailed investigation of the origin of our institutional values and their practical application in decision making and leadership.",Humanities,undergraduate,False,False,False,False,False,True
centre,2026,2025-2026,AMS,320,Advanced Tactics,Small unit tactics and communications; organization and mission of combat arms units; leadership and exercise of command.,Humanities,undergraduate,False,False,False,False,False,True
