university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
Carnegie Mellon University,2026,2025-26,AEM,93430,Technologies Transforming the Arts,,Professional,undergraduate,0,0,0,0,0,1
Carnegie Mellon University,2026,2025-26,AEM,93703,Arts Enterprises:  Structures and Strategies,,Professional,graduate,0,0,0,0,0,1
Carnegie Mellon University,2026,2025-26,AEM,93704,Leading Complex Arts Organizations,,Professional,graduate,0,0,0,0,0,1
Carnegie Mellon University,2026,2025-26,AEM,93717,Writing for Creative Industries,,Professional,graduate,0,0,0,0,0,1
Carnegie Mellon University,2026,2025-26,AEM,93808,Exhibitions Management,,Professional,graduate,0,0,0,0,0,1
Carnegie Mellon University,2026,2025-26,AEM,93811,Performing Arts Operations,,Professional,graduate,0,0,0,0,0,1
Carnegie Mellon University,2026,2025-26,AEM,93828,Advanced Topics in Fundraising,,Professional,graduate,0,0,0,0,0,1
Carnegie Mellon University,2026,2025-26,AEM,93830,Technologies Transforming the Arts,,Professional,graduate,0,0,0,0,0,1
Carnegie Mellon University,2026,2025-26,AEM,93831,Law Fundamentals for Arts ManagersThis Section Cancelled,,Professional,graduate,0,0,0,0,0,1
Carnegie Mellon University,2026,2025-26,AEM,93832,Arts & Community Development,,Professional,graduate,0,0,0,0,0,1
Carnegie Mellon University,2026,2025-26,AEM,93834,Law and the Arts: Workplace Practices,,Professional,graduate,0,0,0,0,0,1
Carnegie Mellon University,2026,2025-26,AEM,93840,EIM Professional Seminar I,,Professional,graduate,0,0,0,0,0,1
Carnegie Mellon University,2026,2025-26,AEM,93847,Arts Management Professional Seminar I,,Professional,graduate,0,0,0,0,0,1
Carnegie Mellon University,2026,2025-26,AEM,93861,Script/Story Analysis,,Professional,graduate,0,0,0,0,0,1
Carnegie Mellon University,2026,2025-26,ARC,48025,First Year Seminar: Architecture Edition,,Humanities,undergraduate,0,0,0,0,0,1
Carnegie Mellon University,2026,2025-26,ARC,48050,Study Abroad,,Humanities,undergraduate,0,0,0,0,0,1
