university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
coker,2026,2025-2026,AAS,199,Special Topics,Courses offered at the discretion of the Coordinator of African American Studies.,Humanities,undergraduate,False,False,False,False,False,True
coker,2026,2025-2026,AAS,295,African American Rhetoric,"This course surveys the contributions of African American orators such as Martin Luther King Jr., Malcolm X, Barbara Jordan, Fannie Lou Hamer, Tupac Shakur, and Muhammad Ali to American public culture. The course will study African American rhetoric as manifested in speeches, essays, and other rhetorical artifacts. Emphasis will be on Afrocentric and traditional approaches to rhetorical theory and criticism.",Humanities,undergraduate,False,False,False,False,False,True
coker,2026,2025-2026,AAS,302,Intergroup Relations,"(Cross Reference: SOC 302 ) The study of racial, ethnic, religious, economic and other bases of group formation in global and historic perspectives. The culture and Behavior of minority groups and their relationships with dominant groups and agencies of social control are investigated. Contemporary intergroup relations in the United States will also be examined. Prerequisite: SOC 101 or 102 or 103.",Humanities,undergraduate,True,False,False,False,False,True
coker,2026,2025-2026,AAS,303,The Sociology of W.E.B. Du Bois,"(Cross Reference: SOC 303 ) An introduction to studies of African Americans and race relations in the United States through the work of W.E.B. Du Bois. This course examines Du Bois views about black identity, American citizenship, social science, capitalism and globalization among other topics of interests. Our approach will be integration, interpretation, and critical assessment of Du Bois ideas applying them to the context of the 21st century. Readings from: The Philadelphia Negro (1899), The Souls of Black Folks (1903), Color and Democracy (1945), The World and Africa (1947), and other articles by Du Bois. Prerequisite: SOC 101 .",Humanities,undergraduate,True,False,False,False,False,True
coker,2026,2025-2026,AAS,322,The African American Experience,"(Cross Reference: HIST 222 ) A detailed exploration of the history of African Americans from 1619 to the present. Major topics include the conditions of slavery, the impact of the Civil War and Reconstruction, the Jim Crow era, the Civil Rights Movement, and the rise of Black Nationalism. Prerequisite: HIST 202 or permission of the instructor. (Offered in alternate years)",Humanities,undergraduate,False,False,False,False,False,True
coker,2026,2025-2026,AAS,399,Special Topics,Courses offered at the discretion of the Coordinator of African American Studies.,Humanities,undergraduate,False,False,False,False,False,True
coker,2026,2025-2026,AAS,210,"African American Theatre, Film, Performance","(Cross Reference: THE 210 ) AAS 210 invites students to contrast, compare and examine the evolution of African American life as presented through theatre, television and film with an emphasis on history, philosophy, dramatic creations concerns and criticism.",Humanities,undergraduate,False,False,False,False,False,True
coker,2026,2025-2026,AAS,410,Directed Readings/Research/Investigations in African American Studies,"An in-depth project on a selected aspect of African-American history, sociology, literature, dance, art, culture, or other topic. Students will select readings and/or other resources in consultation with an affiliated faculty member of the program and the program coordinator. A final research presentation is required. The presentation may be in the form of a/an research paper, exhibit, production, performance, or equivalent. Prerequisites: Permission of the faculty advisor and Coordinator of African American Studies.",Humanities,undergraduate,False,False,False,False,False,True
coker,2026,2025-2026,AAS,245,World Dance,"(Cross Reference: DNC 245 ) This course is designed to introduce students to dance styles from around the world including social, folk, and religious forms. Special attention will be made to the teaching and learning of these forms.",Humanities,undergraduate,False,False,False,False,False,True
coker,2026,2025-2026,AAS,350,Afro-Hispanic Literature and Culture,"Cross Reference: SPA 350 ) This course focuses on the literary and culture production of Afro-Hispanic peoples in Latin America, the Iberian Peninsula, the United States, and Africa (e.g. Equatorial Guinea). Readings (in Spanish or English translation) include novels, poems, short stories, plays, articles, music lyrics, film, and television programs. Class instruction is in English. Students who wish to receive credit toward the Spanish major or minor must complete the non-native language requirement in Spanish, read all texts in Spanish, and write all class assignments in Spanish (as required). Course fee cover ingredients for cooking demonstrations. Course fee of $20.00",Humanities,undergraduate,False,False,False,False,False,True
coker,2026,2025-2026,AAS,441,"Race, Racism, and American Law","(Cross Reference: CRIM 441 , SOC 441 ) This course will provide a comprehensive examination of the role of law in constructing racial categories as well as their significance. Topics to be covered will be as follows; the importance of the legal precedent, critical court decisions impacting racial groups in the United States, the racial attitudes of the Framers, and the ability of law to bring about racial justice. Prerequisite: SOC 101 or CRIM 200 .",Humanities,undergraduate,True,False,False,False,False,True
