university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
coloradomesa,2026,2026-2027,AGRS,100,Practical Crop Production,"Production and adaptation of cultivated crops. Emphasis on crops grown in the western region of the United States. Growth, development, production, and use covered.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,100L,Practical Crop Production Laboratory,"Production and adaptation of cultivated crops. Emphasis on crops grown in the western region of the United States. Growth, development, production, and use covered.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,102,Agriculture Economics,"Focus on economic principles applied to agriculture through price discovery with producer supply and consumer demand, governmental politics, rural development, and resource management.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,105,Animal Science,"Fundamentals of livestock production.  Principles of breeding, genetics, nutrition, health, and physiology of beef, sheep, swine, dairy, and horses.  Focus on the animal science industry in general and each species industry in regard to history, current situation, and future.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,108,Making Compost,Exploration of the microbiology behind composting and procedures for various types of composting. Evaluation of quality compost and its applications (including compost tea making) for soil health and plant fertility needs. Also included is making compost inoculants and fermenting plant juices for sustainable fertility applications.,Other,undergraduate,False,False,False,True,False,True
coloradomesa,2026,2026-2027,AGRS,110,Integrated Pest Management,"Identification and control of economically important insects and diseases. Use of ecological systems management approach and concepts, including physical, biological and pesticidal control mechanisms.",Other,undergraduate,False,False,False,True,False,True
coloradomesa,2026,2026-2027,AGRS,118,Farm Structures and Green Houses,"Safety, hand and power tool use, farm building planning and site location, concrete, farm building design and construction, and materials of construction.  Greenhouse design, systems, management, and major greenhouse crops and their cultural needs.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,125,Agricultural Machinery and Technology,"Emphasizes the safe operation, construction, purpose, maintenance, and adjustment of farm machinery.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,131,Water and Irrigation: Principles and Practices,"Exploration of water, soil, and plant relationships; water quality assessment; principles of irrigation, methods, and systems.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,131L,Water and Irrigation: Principles and Practices Laboratory,"Exploration of water, soil, and plant relationships; water quality assessment; principles of irrigation, methods, and systems.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,195,Independent Study,,Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,196,Topics,,Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,205,Farm and Ranch Management,"Practical experience in applying principles of economics, business, marketing, and finance to the management of a farm/ranch operation.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,208,Agricultural Finance,"Principles of finance and their application to agriculture and agribusiness, including: the time value of money, net present value analysis, interest, credit lending institutions, financial statements, and financial ratios.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,210,Agricultural Marketing,Applied study of the agricultural marketing system.  Methods of marketing crops and livestock.  Hedging with futures and options will be covered along with direct sales marketing and building a business brand.,Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,224,Integrated Ranch Management,"Management pertaining to the economics of a ranching enterprise.  Includes principles of system management, resource inventory and management, ranch decision making, nutrition, selection, record keeping, financial management, and marketing.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,225,Feeds and Feeding,"Basic nutrients, common feeds and feed additives, anatomy of digestive systems, and basic feeding practices for beef, sheep, and dairy.  Lab devoted to calculating and balancing rations to fulfill nutrient requirement of farm animals for growth, finishing, reproduction, lactation, work, and wool production.  Explores least cost ratio balancing.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,230,Farm Animal Anatomy and Physiology,"Introduction to basic concepts of farm animal anatomy and physiology. Emphasizes nutrition, reproduction, immunology, and growth of the basic farm species. Anatomy and physiology is taught in the context of applying basic principles to production practices in the industry, including reproductive management, livestock nutrition management, and animal health practices.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,240,Introduction to Soil Science,"Formation, physical properties, chemical properties, and management of soils, emphasizing conditions affecting plant growth. Defining the components of soil health and how to manage them.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,240L,Introduction to Soil Science Laboratory,"Formation, physical properties, chemical properties, and management of soils, emphasizing conditions affecting plant growth. Defining the components of soil health and how to manage them.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,250,Live Animal and Carcass Evaluation,"Exploration of meat carcass evaluation and the related yield and quality grading system. Emphasizes selection of breeding stock based on performance data. Covers comparative selection, grading, and judging of market and breeding classes of livestock based on knowledge of phenotype, performance, information, and/or carcass merit.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,250L,Live Animal and Carcass Evaluation Laboratory,"Exploration of meat carcass evaluation and the related yield and quality grading system. Emphasizes selection of breeding stock based on performance data. Covers comparative selection, grading, and judging of market and breeding classes of livestock based on knowledge of phenotype, performance, information, and/or carcass merit.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,260,Plant Propagation,"Theory, biology, and practical applications of plant propagation technologies. Propagation by seed, cuttings, budding, grafting, and layering. Propagation environment, techniques of stock plant management, and seed handling along with production calculations and a complete production calendar will be investigated.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,265,Integrated Plant Health Management,"Multi-faceted approaches to the management of plant health through analysis of soil characteristics, nutrients, irrigation, and integrated pest management techniques for reducing pest susceptibility and enhancing crop production yield and quality.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,288,Livestock Practicum,"Experiential learning with beef cattle, dairy cattle, swine, and sheep.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,293,Cooperative Experience/Internship,"Employment in an agricultural production setting.  Work experience in all facets of the operation.  Guidance and supervision is the responsibility of the supervising employer and Coordinator of Production Agriculture.  Emphasis on records, managerial decisions, and production agriculture skills.",Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,295,Independent Study,,Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,AGRS,296,Topics:,,Other,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,ACCT,201,Principles of Financial Accounting,"Introduction to bookkeeping, generally accepted accounting principles, and financial statements.",Professional,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,ACCT,202,Principles of Managerial Accounting,"Introduction to the use of accounting information in managerial decision making, control, and planning.",Professional,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,ACCT,311,Advanced Managerial Accounting,"An advanced course primarily for non-accounting majors that provides in-depth coverage on the applications of accounting information in decision-making, organization, control and planning.",Professional,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,ACCT,321,Intermediate Accounting I,Development of an intermediate understanding of Generally Accepted Accounting Principles and their application to external financial statements.,Professional,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,ACCT,322,Intermediate Accounting II,Continued exploration of Generally Accepted Accounting Principles and their application to more advanced financial statement components.,Professional,undergraduate,False,False,False,False,False,True
coloradomesa,2026,2026-2027,ACCT,331,Cost Accounting,"Costs and their relationship to planning, controlling, inventory valuation, and decision making.",Professional,undergraduate,False,False,False,False,False,True
