university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
colostate,2026,2026-2027,AEAD,8310,Fluency and Comprehension 3A  CEUs: 3 (3-0-0),"Not for academic credit. English as a Second Language for proficiency development. Improve fluency and comprehension using Level 3 texts; communicate with increasing fluency and accuracy about ideas from course themes. Prerequisite: None. Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement. Terms Offered: Fall, Spring, Summer. Special Course Fee: No.",Professional,graduate,False,False,False,False,False,True
colostate,2026,2026-2027,AEAD,8311,Fluency and Comprehension 3B  CEUs: 3 (3-0-0),"Not for academic credit. English as a Second Language for proficiency development. Improve fluency and comprehension using Level 3 texts; communicate with increasing fluency and accuracy about ideas from course themes. This class builds on skills and tasks from Fluency and Comprehension 3A. Fluency and Comprehension 3B aligns with CEFR B2+ level. Prerequisite: None. Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement. Terms Offered: Fall, Spring, Summer. Special Course Fee: No.",Professional,graduate,False,False,False,False,False,True
colostate,2026,2026-2027,AEAD,8312,Literacy and Structure 3A  CEUs: 6 (6-0-0),"Not for academic credit. English as a Second Language for proficiency development. Improve reading comprehension using Level 3 texts; complete well-developed and organized Level 3 writing tasks about ideas from course themes. Prerequisite: None. Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement. Terms Offered: Fall, Spring, Summer. Special Course Fee: No.",Professional,graduate,False,False,False,False,False,True
colostate,2026,2026-2027,AEAD,8313,"ESOL – Advanced 3 Academic English, Grammar for Undergraduates  CEUs: 6 (6-0-0)","Not for academic credit. English as a Second Language for non-native speakers. For students planning to pursue an undergraduate degree. Focus on grammatical structures present in Level 3 reading and listening texts; incorporate learned grammatical structures in Level 3 writing and speaking tasks. Prerequisite: None. Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement. Terms Offered: Fall, Spring, Summer. Special Course Fee: No.",Professional,graduate,False,False,False,False,False,True
colostate,2026,2026-2027,AEAD,8314,Business and Language Integrated Skills 3A  CEUs: 3 (3-0-0),"Not for academic credit. English as a Second Language for proficiency development. Introduce and review Level 3 business concepts and vocabulary to support language skill development. Prerequisite: None. Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement. Terms Offered: Fall, Spring, Summer. Special Course Fee: No.",Professional,graduate,False,False,False,False,False,True
colostate,2026,2026-2027,AEAD,8315,STEM and Language Integrated Skills 3A  CEUs: 3 (3-0-0),"Not for academic credit. English as a Second Language for proficiency development. Introduce and review Level 3 STEM concepts and vocabulary to support language skill development. Prerequisite: None. Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement. Terms Offered: Fall, Spring, Summer. Special Course Fee: No.",Professional,graduate,False,False,False,False,False,True
colostate,2026,2026-2027,AEAD,8316,STEM and Language Integrated Skills 3B  CEUs: 3 (3-0-0),"Not for academic credit. English as a Second Language for proficiency development. Introduce and review Level 1 STEM concepts and vocabulary to support language skill development. STEM and Language Integrated Skills 3B aligns with CEFR B2+ level. Prerequisite: None. Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement. Terms Offered: Fall, Spring, Summer. Special Course Fee: No.",Professional,graduate,False,False,False,False,False,True
colostate,2026,2026-2027,AEAD,8322,Literacy and Structure 3B  CEUs: 6 (6-0-0),"Not for academic credit. English as a Second Language for proficiency development. Improve reading comprehension using Level 3 texts; complete well-developed and organized Level 2 writing tasks about ideas from course themes. The class builds on skills and tasks from Literacy and Structure Levels 1 and 2 and Literacy and Structure 3A. Literacy and Structure 3B aligns with CEFR B2+ level. Prerequisite: None. Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement. Terms Offered: Fall, Spring, Summer. Special Course Fee: No.",Professional,graduate,False,False,False,False,False,True
colostate,2026,2026-2027,AEAD,8324,Business and Language Integrated Skills 3B  CEUs: 3 (3-0-0),"Not for academic credit. English as a Second Language for proficiency development. Introduce and review Level 1 business concepts and vocabulary to support language skill development. Business and Language Integrated Skills 3B aligns with CEFR B2+ level. Prerequisite: None. Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement. Terms Offered: Fall, Spring, Summer. Special Course Fee: No.",Professional,graduate,False,False,False,False,False,True
colostate,2026,2026-2027,AEAD,8325,Test Preparation 3A  CEUs: 3 (3-0-0),"Not for academic credit. English as a Second Language for proficiency development. Introduce and review testing concepts to support language skill development. Level 3. Prerequisite: None. Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement. Terms Offered: Fall, Spring, Summer. Special Course Fee: No.",Professional,graduate,False,False,False,False,False,True
