university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
cornerstone,2026,2026-2027,ARB,101,INTRODUCTORY ARABIC I,"An elementary-level Arabic course in which the four basic skills in language learning are taught: speaking, reading, writing, and listening.",Other,undergraduate,False,False,False,False,False,True
cornerstone,2026,2026-2027,ARB,102,INTRODUCTORY ARABIC II,An elementary-level Arabic course that builds on ARB 101. More sophisticated grammar concepts are presented in a communicative setting.,Other,undergraduate,False,False,False,False,False,True
cornerstone,2026,2026-2027,ARB,201,INTERMEDIATE ARABIC I,An intermediate-level Arabic course that builds on material presented in ARB 102. The student will communicatively investigate the Arabic world with grammar integrated into the written and oral work.,Other,undergraduate,False,False,False,False,False,True
cornerstone,2026,2026-2027,ARB,202,INTERMEDIATE ARABIC II,"An intermediate-level Arabic course that builds on ARB 201. The student will communicatively investigate topics of interest (university life, home life, social issues, etc.) relevant to life in the Arabic-speaking world. The primary emphasis will be on conversation and composition with grammar integrated into the communicative framework. Respective worldviews will be highlighted.",Other,undergraduate,False,False,False,False,False,True
cornerstone,2026,2026-2027,ACC,221,ACCOUNTING I,"An introduction to the fundamental principles of financial accounting. Accounting cycle, asset valuation, short-term liabilities, payroll, income determination, and financial reporting are emphasized.",Professional,undergraduate,False,False,False,False,False,True
cornerstone,2026,2026-2027,ACC,222,ACCOUNTING II,"A continuation of ACC-221 and managerial accounting topics. Long-term liabilities, owner's equity, cash flow and interpretation of financial statements. Cost accounting and managerial accounting and analysis will be introduced.",Professional,undergraduate,True,False,False,False,False,True
cornerstone,2026,2026-2027,ACC,321,INTERMEDIATE ACCOUNTNG I,The practice and theory of accounting as applied to assets and liabilities. Emphasis on developing analytical abilities and applying accounting principles to a wide variety of business situations.,Professional,undergraduate,False,False,False,False,False,True
cornerstone,2026,2026-2027,ACC,322,INTERMEDIATE ACCOUNTING II,"The practice and theory of accounting as applied to stockholders' equity, leases, pensions, revenue recognition, tax allocation, and financial reporting and analysis.",Professional,undergraduate,True,False,False,False,False,True
cornerstone,2026,2026-2027,ACC,324,PRINCIPLES OF FINANCIAL ACCT,"An examination of the development and use of accounting information for the purposes of planning, control and decision-making. Topics include accounting cycles, asset valuation, liabilities, forms of owner's equity and income determination.",Professional,undergraduate,True,False,False,False,False,True
cornerstone,2026,2026-2027,ACC,327,TAXATION,"Federal income tax structure as related to individuals, partnerships, and corporations. Problems intended to provide an understanding of the theory, law, and regulations.",Professional,undergraduate,False,False,False,False,False,True
