university,department_code,course_number,title,description,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal
Clemson University,ACCT,3220,Accounting Information Systems,,False,False,False,False
Clemson University,WFB,468,0,,False,False,False,False
Clemson University,ACCT,3130,Intermediate Financial Accounting III,,False,False,False,False
Clemson University,ACCT,2020,Managerial Accounting Concepts,,False,False,False,False
Clemson University,ACCT,2900,Special Topics,,False,False,False,False
Clemson University,ACCT,3030,Cost Accounting,,False,False,False,False
Clemson University,ACCT,3110,Intermediate Financial Accounting I,,False,False,False,False
Clemson University,BIOL,468,0,,False,False,False,False
Clemson University,ACCT,4040,Individual Taxation,,False,False,False,False
Clemson University,ACCT,3120,Intermediate Financial Accounting II,,False,False,False,False
Clemson University,ACCT,4150,Auditing,,False,False,False,False
Clemson University,ACCT,3990,Internship in Accounting,,False,False,False,False
Clemson University,AMFG,3800,Introduction to Manufacturing Systems and Processes,,False,False,False,False
Clemson University,ACCT,4100,Contemporary Reporting and Management Control Systems,,False,False,False,False
Clemson University,AS,1100,Air Force Today II,,False,False,False,False
Clemson University,AS,1090,Air Force Today I,,False,False,False,False
Clemson University,ACCT,4060,Business Taxation,,False,False,False,False
Clemson University,AS,2100,Development of Air Power II,,False,False,False,False
Clemson University,AS,1101,Air Force Today II Laboratory,,False,False,False,False
Clemson University,AMFG,4801,Practicum Laboratory in Advanced Manufacturing,,False,False,False,False
Clemson University,ACCT,4080,Retirement and Estate Planning,,False,False,False,False
Clemson University,AS,2090,Development of Air Power I,,False,False,False,False
Clemson University,AS,1091,Air Force Today I Laboratory,,False,False,False,False
Clemson University,AS,3101,Air Force Leadership and Management II Laboratory,,False,False,False,False
Clemson University,AS,2101,Development of Air Power II Laboratory,,False,False,False,False
Clemson University,AS,3100,Air Force Leadership and Management II,,False,False,False,False
Clemson University,AS,4100,National Security Policy II,,False,False,False,False
Clemson University,AS,2091,Development of Air Power I Laboratory,,False,False,False,False
Clemson University,AGRB,2050,Agriculture and Society,,False,False,False,False
Clemson University,ACCT,3980,Creative Inquiry in Accounting,,False,False,False,False
Clemson University,AGRB,3020,Economics of Farm Management,,False,False,False,False
Clemson University,AS,4091,National Security Policy I Laboratory,,False,False,False,False
Clemson University,AGRB,3080,Quantitative Agribusiness Analysis I,,False,False,False,False
Clemson University,AS,4101,National Security Policy II Laboratory,,False,False,False,False
Clemson University,AGRB,3510,Principles of Agricultural Sales and Advertising,,False,False,False,False
Clemson University,AGRB,3190,Agribusiness Management,,False,False,False,False
Clemson University,AGRB,3570,Natural Resources Economics,,False,False,False,True
Clemson University,AGRB,2020,Agricultural Economics,,False,False,False,False
Clemson University,AS,3091,Air Force Leadership and Management I Laboratory,,False,False,False,False
Clemson University,AGRB,3130,Principles of Real Estate Appraisal,,False,False,False,False
Clemson University,AGRB,4080,Quantitative Agribusiness Analysis II,,False,False,False,False
Clemson University,AGRB,3090,Economics of Agricultural Marketing,,False,False,False,False
Clemson University,AGRB,4130,Advanced Real Estate Appraisal,,False,False,False,False
Clemson University,AGRB,4110,Regional Impact Analysis,,False,False,False,False
Clemson University,AGRB,4120,Regional Economic Development Theory and Policy,,False,False,False,False
Clemson University,AGRB,4520,Agricultural Policy,,False,False,False,False
