university,department_code,course_number,title,description,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal
Louisiana State University,ACCT,2001,Introductory Financial Accounting (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,2102,Honors: Introductory Managerial Accounting (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,3002,Honors: Intermediate Accounting–Part I (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,3021,Intermediate Accounting–Part II (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,3122,Accounting Information Systems (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,3001,Intermediate Accounting–Part I (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,2000,Survey of Accounting (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,2002,Honors: Introductory Financial Accounting (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,3201,Fundamental Tax Problems and Tax Planning for Individuals (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,3221,Income Tax Accounting I (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,4022,Advanced Accounting (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,4021,Cases in Accounting Policy (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,4121,Advanced Cost Analysis (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,4231,Internship in Accounting (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,4235,Fraud Auditing and Forensic Accounting (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,4237,"Governance, Risk, and Controls (3)",The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,4233,Case Studies in Auditing (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,4221,Income Tax Accounting II (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,4333,Internship in Internal Auditing (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,4421,Governmental and Not-for-Profit Accounting (3),The General Education Component of Undergraduate Education,False,False,False,False
Louisiana State University,ACCT,4501,Petroleum Accounting (3),The General Education Component of Undergraduate Education,False,False,False,False
