university,department_code,course_number,title,description,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal
Rensselaer Polytechnic Institute,ARCH,1200,Beginners Architecture Career Discovery Program,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,2160,Architectural Media,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,2370,"Energy, Comfort and Ecology",,False,False,False,True
Rensselaer Polytechnic Institute,ARCH,2350,Construction Systems,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,2360,Environmental and Ecological Systems,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,2150,The Ethos of Architecture,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,1210,Advanced Architecture Career Discovery Program,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,2510,Materials and Design,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,2520,Digital Constructs 1,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,2530,Digital Constructs 2,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,2620,Graduate Architecture Design 2,"Instruction integrates considerations of drawing, computers, and construction with design projects. Technology: The technology aspects focus on the microclimate and environment context, including shade and shadow analysis, developing skyline plots, and sharing system design and analysis, as well as outdoor environments with emphasis on structure, material, and passive solar systems. Computing: explorations with the computer continue to focus on developing knowledge of 3-D modeling and 2-D image manipulation software and its application to design representations. Computer media are integrated with studio design projects. Drawing: freehand drawing exercises related to studio projects further develop basic drawing skills and familiarly with 2-D design concepts. Prerequisites/Corequisites: Prerequisite: ARCH 2610. When Offered: Fall and summer terms annually. Credit Hours: 6 Back to Top | Print-Friendly Page [ Add to Portfolio ] All catalogs © 2019 Rensselaer Polytechnic Institute. Powered by the Acalog™ Academic Catalog Management System™ (ACMS™) . Mobile Site .",False,False,False,False
Rensselaer Polytechnic Institute,ARCH,2600,Graduate Design Studio,"The projects stress critical and creative thinking and invention, interdisciplinary collaboration, observation and perception, communication and visualization. Students will begin open-ended investigations using sketching, photography, model making, and computing. When Offered: Summer and fall terms annually. Credit Hours: 6 Back to Top | Print-Friendly Page [ Add to Portfolio ] All catalogs © 2019 Rensselaer Polytechnic Institute. Powered by the Acalog™ Academic Catalog Management System™ (ACMS™) . Mobile Site .",False,False,False,False
Rensselaer Polytechnic Institute,ARCH,2550,Digital Constructs 4,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,2540,Digital Constructs 3,,False,False,False,False
