university,department_code,course_number,title,description,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal
University of Houston,ACCT,7362,Tax Research,"Please enable Javascript for full functionality. Different browsers use different keystrokes to activate accesskey shortcuts. Please reference the following list to use access keys on your system. Alt and the accesskey, for Internet Explorer on Windows Shift and Alt and the accesskey, for Firefox on Windows Shift and Esc and the accesskey, for Windows or Mac Ctrl and the accesskey, for the following browsers on a Mac: Internet Explorer 5.2, Safari 1.2, Firefox, Mozilla, Netscape 6+. We use the following access keys on our gateway n Skip to Navigation k Accesskeys description h Help Apply to UH Students Faculty & Staff Alumni Parents Visitors University of Houston Login to AccessUH myUH, Blackboard, and more University of Houston Oct 21, 2015 Graduate Catalog 2012 - 2013 Undergraduate Catalog 2015 - 2016 Graduate Catalog 2015-2016 Student Handbook 2015-2016 Undergraduate Catalog 2014 - 2015 [Consult with Your Academic Advisor for Your Catalog Year] Graduate Catalog 2014-2015 [Consult with Your Academic Advisor for Your Catalog Year] Student Handbook 2014 - 2015 [Consult with Your Academic Advisor for Your Catalog Year] Undergraduate Catalog   2013 - 2014 [Consult with Your Academic Advisor for Your Catalog Year] Graduate Catalog 2013-2014 [Consult with Your Academic Advisor for Your Catalog Year] Undergraduate Catalog 2012 - 2013 [Consult with Your Academic Advisor for Your Catalog Year] Graduate Catalog 2012 - 2013 [Consult with Your Academic Advisor for Your Catalog Year] Publication Search Select an option Courses Programs Colleges and Departments Other Content Entire Publication Whole Word/Phrase Advanced Search Publication Home General Information General Admission Policy Planning the Graduate Program Colleges Courses Programs & Degrees Policies Graduate Student Assistantships Disclaimer Catalog Definitions and Numbering Archives Comments My Portfolio HELP Graduate Catalog 2012 - 2013 [Consult with Your Academic Advisor for Your Catalog Year] Print-Friendly Page",False,False,False,False
University of Houston,ACCT,6331,Financial Accounting,"Please enable Javascript for full functionality. Skip to Content Restrict my search to Enrollment Services Submit Close Login to AccessUH Give to UH Search UH Publications ﻿ University of Houston Houston, Texas 77204 (713) 743-2255 A–Z Index Academic Calendar Campus Carry Policy Campus Map Careers at UH Directory Emergency Information Get Help Human Resources Library MySafeCampus Office of the President Parking Social Media Title IX — Sexual Misconduct Texas Veterans Portal Tuition & Fees UH System ©2016 University of Houston. All rights reserved. Report a problem with this page Texas.gov Texas Homeland Security TRAIL Fraud Reporting Linking Notice Privacy Notice Open Records/Public Information Act Institutional Résumé Required Reports Electronic & Information Resources Accessibility Title IX-Sexual Misconduct University Policies University of Houston Nov 30, 2022 2012-2013 Graduate Catalog Select a Publication UH Publications - Academic Catalogs and Student Handbook 2022-2023 Academic Calendar 2022-2023 Undergraduate Catalog 2022-2023 Graduate Catalog 2022-2023 Student Handbook 2021-2022 Academic Calendar [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Undergraduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Graduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Student Handbook [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2020-2021 Undergraduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2020-2021 Graduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2020-2021 Student Handbook [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2019-2020 Undergraduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for You",False,False,False,False
University of Houston,ACCT,7341,Accounting Internship,"Please enable Javascript for full functionality. Skip to Content Restrict my search to Enrollment Services Submit Close Login to AccessUH Give to UH Search UH Publications ﻿ University of Houston Houston, Texas 77204 (713) 743-2255 A–Z Index Academic Calendar Campus Carry Policy Campus Map Careers at UH Directory Emergency Information Get Help Human Resources Library MySafeCampus Office of the President Parking Social Media Title IX — Sexual Misconduct Texas Veterans Portal Tuition & Fees UH System ©2016 University of Houston. All rights reserved. Report a problem with this page Texas.gov Texas Homeland Security TRAIL Fraud Reporting Linking Notice Privacy Notice Open Records/Public Information Act Institutional Résumé Required Reports Electronic & Information Resources Accessibility Title IX-Sexual Misconduct University Policies University of Houston Apr 13, 2024 2012-2013 Graduate Catalog Select a Publication UH Publications - Academic Catalogs and Student Handbook 2023-2024 Undergraduate Catalog 2023-2024 Graduate Catalog 2023-2024 Student Handbook 2023-2024 Academic Calendar 2022-2023 Undergraduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2022-2023 Graduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2022-2023 Student Handbook [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2022-2023 Academic Calendar [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Undergraduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Graduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Student Handbook [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Academic Calendar [Not Current Academic Year. Consult with Your Academic Advisor for Your Ca",False,False,False,False
University of Houston,ACCT,7365,Accounting Theory,"Please enable Javascript for full functionality. Skip to Content Restrict my search to Enrollment Services Submit Close Login to AccessUH Give to UH Search UH Publications ﻿ University of Houston Houston, Texas 77204 (713) 743-2255 A–Z Index Academic Calendar Campus Carry Policy Campus Map Careers at UH Directory Emergency Information Get Help Human Resources Library MySafeCampus Office of the President Parking Social Media Title IX — Sexual Misconduct Texas Veterans Portal Tuition & Fees UH System ©2016 University of Houston. All rights reserved. Report a problem with this page Texas.gov Texas Homeland Security TRAIL Fraud Reporting Linking Notice Privacy Notice Open Records/Public Information Act Institutional Résumé Required Reports Electronic & Information Resources Accessibility Title IX-Sexual Misconduct University Policies University of Houston Nov 30, 2022 2012-2013 Graduate Catalog Select a Publication UH Publications - Academic Catalogs and Student Handbook 2022-2023 Academic Calendar 2022-2023 Undergraduate Catalog 2022-2023 Graduate Catalog 2022-2023 Student Handbook 2021-2022 Academic Calendar [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Undergraduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Graduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Student Handbook [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2020-2021 Undergraduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2020-2021 Graduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2020-2021 Student Handbook [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2019-2020 Undergraduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for You",False,False,False,False
University of Houston,ACCT,7334,Advanced Managerial Accounting,"Please enable Javascript for full functionality. Skip to Content Restrict my search to Enrollment Services Submit Close Login to AccessUH Give to UH Search UH Publications ﻿ University of Houston Houston, Texas 77204 (713) 743-2255 A–Z Index Academic Calendar Campus Carry Policy Campus Map Careers at UH Directory Emergency Information Get Help Human Resources Library MySafeCampus Office of the President Parking Social Media Title IX — Sexual Misconduct Texas Veterans Portal Tuition & Fees UH System ©2016 University of Houston. All rights reserved. Report a problem with this page Texas.gov Texas Homeland Security TRAIL Fraud Reporting Linking Notice Privacy Notice Open Records/Public Information Act Institutional Résumé Required Reports Electronic & Information Resources Accessibility Title IX-Sexual Misconduct University Policies University of Houston Apr 20, 2024 2012-2013 Graduate Catalog Select a Publication UH Publications - Academic Catalogs and Student Handbook 2023-2024 Undergraduate Catalog 2023-2024 Graduate Catalog 2023-2024 Student Handbook 2023-2024 Academic Calendar 2022-2023 Undergraduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2022-2023 Graduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2022-2023 Student Handbook [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2022-2023 Academic Calendar [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Undergraduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Graduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Student Handbook [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Academic Calendar [Not Current Academic Year. Consult with Your Academic Advisor for Your Ca",False,False,False,False
University of Houston,ACCT,7363,Contemporary Accounting Topics,"Please enable Javascript for full functionality. Different browsers use different keystrokes to activate accesskey shortcuts. Please reference the following list to use access keys on your system. Alt and the accesskey, for Internet Explorer on Windows Shift and Alt and the accesskey, for Firefox on Windows Shift and Esc and the accesskey, for Windows or Mac Ctrl and the accesskey, for the following browsers on a Mac: Internet Explorer 5.2, Safari 1.2, Firefox, Mozilla, Netscape 6+. We use the following access keys on our gateway n Skip to Navigation k Accesskeys description h Help Apply to UH Students Faculty & Staff Alumni Parents Visitors University of Houston Login to AccessUH myUH, Blackboard, and more University of Houston Oct 21, 2015 Graduate Catalog 2012 - 2013 Undergraduate Catalog 2015 - 2016 Graduate Catalog 2015-2016 Student Handbook 2015-2016 Undergraduate Catalog 2014 - 2015 [Consult with Your Academic Advisor for Your Catalog Year] Graduate Catalog 2014-2015 [Consult with Your Academic Advisor for Your Catalog Year] Student Handbook 2014 - 2015 [Consult with Your Academic Advisor for Your Catalog Year] Undergraduate Catalog   2013 - 2014 [Consult with Your Academic Advisor for Your Catalog Year] Graduate Catalog 2013-2014 [Consult with Your Academic Advisor for Your Catalog Year] Undergraduate Catalog 2012 - 2013 [Consult with Your Academic Advisor for Your Catalog Year] Graduate Catalog 2012 - 2013 [Consult with Your Academic Advisor for Your Catalog Year] Publication Search Select an option Courses Programs Colleges and Departments Other Content Entire Publication Whole Word/Phrase Advanced Search Publication Home General Information General Admission Policy Planning the Graduate Program Colleges Courses Programs & Degrees Policies Graduate Student Assistantships Disclaimer Catalog Definitions and Numbering Archives Comments My Portfolio HELP Graduate Catalog 2012 - 2013 [Consult with Your Academic Advisor for Your Catalog Year] Print-Friendly Page",False,False,False,False
University of Houston,ACCT,7372,International Taxation,"Please enable Javascript for full functionality. Different browsers use different keystrokes to activate accesskey shortcuts. Please reference the following list to use access keys on your system. Alt and the accesskey, for Internet Explorer on Windows Shift and Alt and the accesskey, for Firefox on Windows Shift and Esc and the accesskey, for Windows or Mac Ctrl and the accesskey, for the following browsers on a Mac: Internet Explorer 5.2, Safari 1.2, Firefox, Mozilla, Netscape 6+. We use the following access keys on our gateway n Skip to Navigation k Accesskeys description h Help Apply to UH Students Faculty & Staff Alumni Parents Visitors University of Houston Login to AccessUH myUH, Blackboard, and more University of Houston Oct 21, 2015 Graduate Catalog 2012 - 2013 Undergraduate Catalog 2015 - 2016 Graduate Catalog 2015-2016 Student Handbook 2015-2016 Undergraduate Catalog 2014 - 2015 [Consult with Your Academic Advisor for Your Catalog Year] Graduate Catalog 2014-2015 [Consult with Your Academic Advisor for Your Catalog Year] Student Handbook 2014 - 2015 [Consult with Your Academic Advisor for Your Catalog Year] Undergraduate Catalog   2013 - 2014 [Consult with Your Academic Advisor for Your Catalog Year] Graduate Catalog 2013-2014 [Consult with Your Academic Advisor for Your Catalog Year] Undergraduate Catalog 2012 - 2013 [Consult with Your Academic Advisor for Your Catalog Year] Graduate Catalog 2012 - 2013 [Consult with Your Academic Advisor for Your Catalog Year] Publication Search Select an option Courses Programs Colleges and Departments Other Content Entire Publication Whole Word/Phrase Advanced Search Publication Home General Information General Admission Policy Planning the Graduate Program Colleges Courses Programs & Degrees Policies Graduate Student Assistantships Disclaimer Catalog Definitions and Numbering Archives Comments My Portfolio HELP Graduate Catalog 2012 - 2013 [Consult with Your Academic Advisor for Your Catalog Year] Print-Friendly Page",False,False,False,False
University of Houston,ACCT,7380,Advanced Corporate Taxation,"Please enable Javascript for full functionality. Skip to Content Restrict my search to Enrollment Services Submit Close Login to AccessUH Give to UH Search UH Publications ﻿ University of Houston Houston, Texas 77204 (713) 743-2255 A–Z Index Academic Calendar Campus Carry Policy Campus Map Careers at UH Directory Emergency Information Get Help Human Resources Library MySafeCampus Office of the President Parking Social Media Title IX — Sexual Misconduct Texas Veterans Portal Tuition & Fees UH System ©2016 University of Houston. All rights reserved. Report a problem with this page Texas.gov Texas Homeland Security TRAIL Fraud Reporting Linking Notice Privacy Notice Open Records/Public Information Act Institutional Résumé Required Reports Electronic & Information Resources Accessibility Title IX-Sexual Misconduct University Policies University of Houston Nov 30, 2022 2012-2013 Graduate Catalog Select a Publication UH Publications - Academic Catalogs and Student Handbook 2022-2023 Academic Calendar 2022-2023 Undergraduate Catalog 2022-2023 Graduate Catalog 2022-2023 Student Handbook 2021-2022 Academic Calendar [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Undergraduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Graduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Student Handbook [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2020-2021 Undergraduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2020-2021 Graduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2020-2021 Student Handbook [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2019-2020 Undergraduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for You",False,False,False,False
University of Houston,ACCT,7390,CPA Review,"Please enable Javascript for full functionality. Skip to Content Restrict my search to Enrollment Services Submit Close Login to AccessUH Give to UH Search UH Publications ﻿ University of Houston Houston, Texas 77204 (713) 743-2255 A–Z Index Academic Calendar Campus Carry Policy Campus Map Careers at UH Directory Emergency Information Get Help Human Resources Library MySafeCampus Office of the President Parking Social Media Title IX — Sexual Misconduct Texas Veterans Portal Tuition & Fees UH System ©2016 University of Houston. All rights reserved. Report a problem with this page Texas.gov Texas Homeland Security TRAIL Fraud Reporting Linking Notice Privacy Notice Open Records/Public Information Act Institutional Résumé Required Reports Electronic & Information Resources Accessibility Title IX-Sexual Misconduct University Policies University of Houston Apr 13, 2024 2012-2013 Graduate Catalog Select a Publication UH Publications - Academic Catalogs and Student Handbook 2023-2024 Undergraduate Catalog 2023-2024 Graduate Catalog 2023-2024 Student Handbook 2023-2024 Academic Calendar 2022-2023 Undergraduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2022-2023 Graduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2022-2023 Student Handbook [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2022-2023 Academic Calendar [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Undergraduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Graduate Catalog [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Student Handbook [Not Current Academic Year. Consult with Your Academic Advisor for Your Catalog Year] 2021-2022 Academic Calendar [Not Current Academic Year. Consult with Your Academic Advisor for Your Ca",False,False,False,False
University of Houston,ACCT,7397,Selected Topics in Accounting,"Please enable Javascript for full functionality. Different browsers use different keystrokes to activate accesskey shortcuts. Please reference the following list to use access keys on your system. Alt and the accesskey, for Internet Explorer on Windows Shift and Alt and the accesskey, for Firefox on Windows Shift and Esc and the accesskey, for Windows or Mac Ctrl and the accesskey, for the following browsers on a Mac: Internet Explorer 5.2, Safari 1.2, Firefox, Mozilla, Netscape 6+. We use the following access keys on our gateway n Skip to Navigation k Accesskeys description h Help Apply to UH Students Faculty & Staff Alumni Parents Visitors University of Houston Login to AccessUH myUH, Blackboard, and more University of Houston Oct 20, 2015 Graduate Catalog 2012 - 2013 Undergraduate Catalog 2015 - 2016 Graduate Catalog 2015-2016 Student Handbook 2015-2016 Undergraduate Catalog 2014 - 2015 [Consult with Your Academic Advisor for Your Catalog Year] Graduate Catalog 2014-2015 [Consult with Your Academic Advisor for Your Catalog Year] Student Handbook 2014 - 2015 [Consult with Your Academic Advisor for Your Catalog Year] Undergraduate Catalog   2013 - 2014 [Consult with Your Academic Advisor for Your Catalog Year] Graduate Catalog 2013-2014 [Consult with Your Academic Advisor for Your Catalog Year] Undergraduate Catalog 2012 - 2013 [Consult with Your Academic Advisor for Your Catalog Year] Graduate Catalog 2012 - 2013 [Consult with Your Academic Advisor for Your Catalog Year] Publication Search Select an option Courses Programs Colleges and Departments Other Content Entire Publication Whole Word/Phrase Advanced Search Publication Home General Information General Admission Policy Planning the Graduate Program Colleges Courses Programs & Degrees Policies Graduate Student Assistantships Disclaimer Catalog Definitions and Numbering Archives Comments My Portfolio HELP Graduate Catalog 2012 - 2013 [Consult with Your Academic Advisor for Your Catalog Year] Print-Friendly Page",False,False,False,False
