university,department_code,course_number,title,description,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal
University of Tennessee Knoxville,ACCT,200,Foundations of Accounting,Introduction to financial and managerial accounting theory and practice with emphasis on the role of accounting information in business decisions.,False,False,False,False
University of Tennessee Knoxville,ACCT,311,Financial Reporting and Analysis,"Theory and practice that underlies the preparation, analysis, and use of financial statements.",False,False,False,False
University of Tennessee Knoxville,ACCT,431,Federal Income Taxation,"Fundamentals and concepts of federal income taxation. Emphasis on tax strategy, business taxation, and individual taxation. Topics include tax strategy modeling, gross income, deductions, credits, tax determination, property transactions, business entities, and basics of international taxation.",False,False,False,False
University of Tennessee Knoxville,ACCT,207,Honors: Foundations of Accounting,Introduction to financial accounting theory and practice with emphasis on the role of financial information in business decisions. The course will make extensive use of computer technology for retrieving and analyzing financial information.,False,False,False,False
University of Tennessee Knoxville,ACCT,321,Cost Management,"Cost information for products, services, and how cost information is recorded, analyzed, reported, and used in decision making. Topics include cost concepts and behavior, cost systems, budgeting, activity-based costing and management, and strategic cost management.",False,False,False,False
University of Tennessee Knoxville,ACCT,414,Advanced Financial Reporting,"Accounting standards for advanced financial reporting topics, such as statement of cash flows, income taxes, leases, accounting changes, consolidated financial statements, and foreign operations.",False,False,False,False
University of Tennessee Knoxville,ACCT,492,Accounting Internship,Grading Restriction: Satisfactory/No Credit grading only.,False,False,False,False
University of Tennessee Knoxville,ADVT,310,Advertising and Public Relations Design,"Study, use, and application of design, color, type, and layout styles as they affect concept development in the creation of promotional materials. Analysis of organizational goals and how they mold strategic and conceptual development. Application of relevant computer software for creation of promotional material.",False,False,False,False
University of Tennessee Knoxville,ADVT,350,Advertising Creative Strategy,"Basic concepts of creative strategy with intensive practice in developing creative strategy statement, writing and designing advertisements, and judging creative work.",False,False,False,False
University of Tennessee Knoxville,ADVT,340,Advertising and Public Relations Research Methods,Secondary data and primary research techniques for advertising and public relations decisions.,False,False,False,False
University of Tennessee Knoxville,ACCT,301,Financial Reporting,Theory and practice for preparing and using financial statements. Introduction to professionalism and ethics in accounting.,False,False,False,False
University of Tennessee Knoxville,ADVT,380,Advertising Professional Seminar,"Exploration of career choices in mass communications. Resume and letter writing, interviewing, and portfolio preparation.",False,False,False,False
University of Tennessee Knoxville,ADVT,450,Advertising Management,"Case-study approach to advertising decisions. Data analysis and interpretation, generating alternative strategies, oral and written presentation of recommendations.",False,False,False,False
University of Tennessee Knoxville,ADVT,470,Advertising Campaigns,"Group-based development, execution, and evaluation of an advertising campaign for a regional or national client.",False,False,False,False
University of Tennessee Knoxville,ADVT,360,Advertising Media Strategy,"Assessment of markets, vehicle audiences, and mathematical techniques for advertising planning. Instruction in media planning, buying, and evaluation.",False,False,False,False
University of Tennessee Knoxville,ADVT,480,Advertising Issues,"Examination of the role of advertising in society and controversies surrounding economic, social, cultural, and ethical aspects of advertising. Emphasis on written and oral exposition of different viewpoints.",False,False,False,False
University of Tennessee Knoxville,ACCT,411,Financial Compliance and Operational Auditing,"Auditing's role in society from an internal and external perspective, audit methodology, role of internal control and statistical sampling in auditing, fraud auditing, operational auditing, compliance auditing, and application of auditing procedures to specific transaction cycles.",False,False,False,False
