university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
csp,2026,2026-2027,ART,105,Color Theory,Traditional and contemporary approaches to color theory will be taught.  These ideas will be beneficial for most studio areas and of particular importance to careers in design.,Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,106,Introduction to Art,"This course lays the foundation for approaching visual art and visual literacy by introducing fundamental aspects of the nature of art and art making. The course will investigate four areas which are key to understanding and appreciating art: Creativity, Purposes and Functions of Art, Visual Literacy and Analysis, and Historical and Global Contexts. Assignments will include creative problem solving, looking at art, and reading, writing and speaking about art using newly acquired vocabulary and knowledge.",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,109,Digital Methods: Production & Form,"This course delves into foundational concepts of graphic design while emphasizing the critical role of material sourcing and production methods across varied modalities. Through practical application, students learn to navigate industry-standard software, experiment with diverse production methods, and procure materials tailored to specific design requirements. From preparing production-ready files to experimenting with various form-making techniques, participants hone their skills and gain a deep understanding of the interconnectedness of concept, form, and material.",Humanities,undergraduate,True,False,False,False,False,True
csp,2026,2026-2027,ART,110,Foundations of Art & Design,"This course introduces the foundational design elements and principles for two and three dimensional art and design. Compositional problems are introduced and solved in a studio setting ranging from art object making to proposals for grand scale work, including architectural design and fiber art. In addition, varieties of art and design media, tools, and techniques (along with safety considerations) are introduced and explored during the different units of the course of study.",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,111,Drawing I,This introductory studio course is designed to familiarize beginning students with fundamental techniques and concepts of drawing. In that basic skill building is the core of this course it is a very approachable class for non-art majors. Although some history of drawing will be presented learning will be assessed primarily through portfolio production and review. (Studio Course),Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,120,Ceramics I,"This introductory studio course is designed to familiarize beginning students with the fundamental techniques and concepts of contemporary ceramic art. Students will see and also investigate sculptural and vessel forms in clay, along with the relationship of drawing to the creative process. Although significant clay art history and technology will be taught, learning will be assessed primarily through portfolio production and review. (Studio Course)",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,211,Illustration,This course introduces the technical and conceptual skills for successful illustration.  It is an important foundation for all design and applied arts fields.,Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,220,Ceramics II,"This intermediate course is designed to advance students knowledge of the techniques and concepts of contemporary ceramic art. Students will investigate both sculptural and vessel forms in clay with special emphasis given to exploration of a wide variety of surface treatments. Students will develop substantial knowledge of glaze technologies. Learning will be assessed primarily through portfolio production and review, along with class participation. (Prerequisite: ART 120 or consent of instructor; studio course)",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,221,Painting I,This course is designed to introduce students with fundamental concepts in oil and/or acrylic painting.  Historical and contemporary approaches to painting will be addressed.  Non-art majors can also succeed in this course. (Studio course),Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,241,Photography I,"This course is designed to familiarize beginning students with the fundamental techniques and concepts of photographic practices and processes. The use and operation of the 35mm film camera, experimental and traditional black and white darkroom techniques and new digital technologies will be taught through demonstration and assigned projects. Photographic history and criticism will also be introduced. Portfolio production will be the main form of assessment in this introductory course. (Studio Course)",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,251,Sculpture I,"This introductory studio course is designed to familiarize beginning students with the fundamental techniques and concepts of contemporary sculpture. Both additive and reductive sculpture will be explored as students are introduced to both traditional and non-traditional sculpture media. Students will also investigate the relationship of drawing to the sculptural process. Although some 19th and 20th C. sculpture history will be presented, learning will be assessed primarily through portfolio production and review. (Studio Course)",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,271,Survey of Western Art I,"This course is designed to introduce students to fundamental concepts in art history as well as important masterworks from the western art tradition.  This tradition includes prehistoric work, art from ancient Mesopotamia, Egypt, the Mediterranean, Greek and Roman art, along with early Jewish and Christian art through the 14th Century.  Non-art majors can enjoy this course.",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,272,Survey of Western Art II,This course is designed to introduce students to fundamental concepts in art history as well as important masterworks from the western art tradition.  15th C. work through the present will be addressed.  Non-art majors can enjoy this course.,Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,282,Graphic Design I,This course lays the foundations of the discipline of graphic design.  The course helps students apply concepts of design and color theory into applied arts areas. (Prerequisite: ART 109 ),Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,311,Figure Drawing,"This course is designed to familiarize beginning students with anatomy and the figure as a subject matter vital in an artist's vocabulary. Students will build on drawing and composition skills to create designs with a variety of drawing media. Although the history of figurative art will be explored, learning will be assessed primarily through portfolio production and review. (Prerequisites: ART 111 or consent of instructor; studio course)",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,321,Painting II,This is an intermediate level course designed to stimulate and further develop an interest in painting methods and techniques for personal expression. Students are encouraged to create and solve specific problems in painting. Learning will be assessed primarily through portfolio production and review and also class participation. (Prerequisite: ( ART 221 or consent of instructor; studio course),Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,336,Printmaking I,"This introductory course is designed to familiarize students with the fundamental techniques and concepts of printmaking. Students will build on drawing and composition skills to create editions of prints or simple artist books. Techniques covered may include linocut, collagraph, monoprints, letterpress, screen printing with hand-cut stencils, and cyanotype. Although some history of printmaking will be presented, learning will be assessed primarily through portfolio production and review. (Studio Course)",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,341,Photography II,"This course expands students' knowledge of the use of the 35 mm camera and black and white darkroom processing and printing.  Digital photography will also be explored through a variety of shooting and editing assignments that increase the students' technical and aesthetic knowledge.  Window matting is introduced.  Learning will be assessed primarily through portfolio development and review, as well as class participation. (Prerequisite: ART 241 or consent of instructor; studio course)",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,351,Sculpture II,"This is an intermediate level course designed to stimulate and further develop interest in sculptural methods and techniques for personal expression. Media exploration and contemporary aesthetic issues such as environmental sculpture or installation are introduced, as students are encouraged to create and solve problems in sculpture in specific areas of the discipline. Learning will be assessed primarily through portfolio development and review. (Prerequisite: ART 251 or consent of instructor; studio course)",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,380,World Art,"This course is intended to provide a survey of non-western, world art. It is arranged in multiple units, which will sample ethnographic art from across the world. Cultures from West Africa, the Near East and the Far East, indigenous cultures from the Americas and Oceanic cultures will be surveyed. Special emphasis is placed on relating the art to the cultural contexts from which it came. Influences such as religion and political histories are investigated in their relationship to the art.",Humanities,undergraduate,True,False,False,False,False,True
csp,2026,2026-2027,ART,382,Graphic Design II,This course develops sophisticated applications in the discipline of graphic design.  The course helps students develop their professional portfolio for applied arts areas. (Prerequisite: ART 282 ),Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,383,UX Design I,"UX Design I introduces students to the human-centered design process, and the broad range of methods and tools used to create useful, intuitive and beautiful products.  (Prerequisite: ART 382 ).",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,390,Typography 1,"An introductory graphic design study of written communication through the craft and art of letterforms and application of typographic principles.  It serves as an introduction to typography as an element in the design process.  The course is taught as a skill and an art form.  It explores the dynamics of type in context.  From the traditions of book design to the frontier of digital and interactive typography, students explore type as a design and communication tool, investigating these contexts through the lens of historical innovation. (Prerequisite: ART 282 )",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,400,Advanced Drawing,This course is designed to establish personal style in a variety of drawing media. Traditional subjects like the still life and the figure will be investigated along with creative and divergent situations used for expression. Significant emphasis will be placed on developing skills in formal and iconographic criticism. Learning will be assessed primarily through portfolio development and review. (Prerequisite: ART 311 or consent of instructor; studio course),Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,405,Advanced Painting,This course is designed to encourage the individual stylistic development of advanced painting students. Students may explore new painting media and/or figurative painting while applying previously learned techniques in creating complete artistic expressions/compositions. Students will be encouraged to work in series. Learning will be assessed primarily through portfolio development and review. (Prerequisite: ART 321 or consent of instructor; studio course),Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,410,Advanced Photography,This course is designed to establish a personal vision in photography. Traditional treatment of the medium will be investigated along with creative and divergent photographic expressions. The history of photography and critical theory will be emphasized and applied to photographic projects. Learning will be assessed primarily through portfolio development and review as well as class participation. (Prerequisite: ART 341 or consent of the instructor; studio course),Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,415,Advanced Sculpture,This course is designed to develop personal style in sculpture.  Contemporary issues in sculptural media and theory will be addressed.  Learning will be assessed primarily through portfolio production and review.  (Prerequisite: ART 351 or consent of instructor; studio course),Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,420,Advanced Ceramics,"This course provides an in depth study of the techniques and concepts of clay as an art medium. Students build on previous ceramics experience to work in series as a way of developing sophistication in their clay work. Advanced glaze technology, firing options and construction techniques constitute the course content. Learning will be assessed primarily through portfolio development and review. (Prerequisite: ART 220 or consent of instructor; studio course)",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,430,Multicultural Graphic Design,"This course aims to expand the design canon by diving into the history-rich world of graphic design through diverse global perspectives. Students will discover how cultural influences shape design principles and practices, with a focus on contemporary multicultural designers.",Humanities,undergraduate,True,False,False,False,False,True
csp,2026,2026-2027,ART,470,Modern Art & Design,"This course examines the revolutionary developments in painting, sculptural and architectural traditions from the 19th C. as well as the Modernist traditions of the first half of the 20th C. and the initial Post-Modern trends that follow. The course links these artistic developments with world-wide cultural influences. In addition, special attention is given to the history of design.",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,475,Typography 2,"The culmination of all previously taught typographic competencies, this course focuses on developing type skills applicable to the work a designer is assigned at recognized design and advertising firms.  Advanced project work addresses functional as well as expressive typography.  The class requires students to develop concepts, present and explain their ideas, and bring their solutions to life. (Prerequisite: ART 390 )",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,480,Design: Purpose & Practice,This course explores the multiple definitions and roles of graphic design that exist in today?s society. Students are encouraged to experiment with innovative visual storytelling techniques and entrepreneurial design endeavors to reflect their unique voices and developing perspectives. (Prerequisites: ART282 and ART384),Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,481,Topics in Art: __________,"This teacher directed course will center on advanced and narrowly defined studio or art historical investigations to be announced. The course focus may introduce unfamiliar or unusual media, or subjects, or provide very advanced level knowledge of a familiar discipline.",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,483,UX Design II,UX Design II expands students? understanding of the broader field of user experience design and explores the specific application of its principles and methods to design a new software product.,Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,488,Independent Study,,Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,490,Graphic Design III,This advanced course further develops applications in the discipline of graphic design. Students will work on a series of projects and develop a professional portfolio. (Prerequisite: ART 382 or ART 390 ),Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,491,Theories in Contemporary Art,This advanced-level course focuses on contemporary art movements from 1950 to the present.  Students are introduced to art theories and ideas that underpin the current art world.  Contemporary global art is also introduced.,Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,495,Senior Projects 1,The advanced culmination of all previously taught graphic design skills and proficiencies.  Project work centers on complex applications incorporating a wide spectrum of creative solutions to both practical and experimental design problems.  Portfolio development and artistic professionalism is stressed. (Prerequisite: ART 490 ),Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,496,Senior Projects 2,"This rigorous studio course is designed to facilitate challenging, individual directions in design and critical thinking. Students map out a plan of study for the semester and work on a series of related ideas that culminate in a cohesive body of work. Students are expected to refine their understanding of contemporary issues and historical approaches related to their specific concept or process, and bring an advanced competency to the technical and formal concerns that inform their work. Through frequently scheduled critiques, and a developed designer statement, an emphasis will be placed on developing a process of self-evaluation to clarify visual choices and express and defend individual artistic points of view. Over the course of the semester students will investigate exhibition design and prepare for the exhibition and presentation of their work. (Prerequisite: ART 495 )",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,498,Arts Internship,"This opportunity is specifically required for Design Majors. It establishes advanced field study in the discipline in a setting  outside the campus context.  The internship will be arranged by the student in consultation with the advisor, and the assessment will be through contractual arrangement with the guiding mentor.  (Prerequisite: ART 301)",Humanities,undergraduate,False,False,False,False,False,True
csp,2026,2026-2027,ART,499,Art Senior Seminar,"This course serves as the capstone experience in the art program and will vary slightly based on the student?s focus. It will normally be the production of a solo exhibition, a professional design portfolio, or a community arts experience. The work produced and presented must be the student's current work. Individual directions will be developed with the professor and student's faculty advisor. (Prerequisite:  Senior Year Status)",Humanities,undergraduate,False,False,False,False,False,True
