university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
dominican,2026,2025-2026,ACS,1310,Web Foundations,"This course covers the foundations of HTML, CSS and JavaScript which are the building blocks of any website. Students will master HTML and intermediate CSS allowing them to create a compelling website from scratch. JavaScript will be introduced and students will learn basic concepts and syntax needed to create interactive frontend applications. The course will also cover the architecture of frontend applications, the role of each technology in creating modular applications, and professional best practices in frontend development. Prerequisites: College Prework Modules",Other,graduate,False,False,False,False,False,True
dominican,2026,2025-2026,ACS,1100,Introduction to Programming,"This course covers the fundamentals of programming including variables, data types, conditionals, control flow, loops, lists, file input and output, and functions. Students will learn software development skills including writing pseudocode, drawing flowchart diagrams, problem solving, and debugging. Prerequisites: None",Other,graduate,False,False,False,False,False,True
dominican,2026,2025-2026,ACS,1111,Object Oriented Programming,"This course introduces students to the principles and techniques in object-oriented analysis, design, and programming. Such topics include encapsulation, abstraction, inheritance, and polymorphism, and best practices for developing object-oriented programs. The course will also cover how computers work, from components and layout to memory and machine code instructions. Prerequisites: ACS 1100 (CS 1.0)",Other,graduate,False,False,False,False,False,True
dominican,2026,2025-2026,ACS,1210,RESTful & Resourceful MVC Architecture,"This course covers full stack web design. Students begin by learning basic HTML, CSS and JavaScript to make simple websites. Then they explore the three major patterns and architectures that make the web work: REST, resources, and Model-View-Controller. Students will use Python or JavaScript frameworks to illustrate these patterns, but the patterns themselves are language-independent and are repeated across many common webserver frameworks. Other key concepts covered include the request-response cycle, server-side templating, controller testing, associating and nesting resources, state, and convention over configuration. Prerequisites: College Prework Modules",Other,graduate,False,False,False,False,False,True
dominican,2026,2025-2026,ACS,1220,"Authentication, Authorization & Advanced Queries","In this course, students build on their knowledge of web servers by learning several advanced topics to enhance their web projects. Topics covered include the SQL database structure, data modeling, authentication & authorization, class-based forms, and automated testing. The course concludes with a full-stack project for students to demonstrate their mastery of these techniques. Prerequisites: ACS 1111 or ACS 1720",Other,graduate,False,False,False,False,False,True
dominican,2026,2025-2026,ACS,1700,Web Foundations,"This course covers the foundations of HTML, CSS and JavaScript which are the building blocks of any web application. Students will master HTML and intermediate CSS allowing them to create a compelling website from scratch. JavaScript will be introduced and students will learn basic concepts and syntax needed to create interactive frontend applications. The course will also cover the architecture of frontend applications, the role of each technology in creating modular applications, and professional best practices in frontend development. Prerequisites: None",Other,graduate,False,False,False,False,False,True
dominican,2026,2025-2026,ACS,1320,JavaScript Foundations,"This course covers foundational JavaScript, debugging JavaScript and working with various JavaScript libraries to build applications and games. Classes and Object Oriented Programming (OOP) are introduced with a closer look at how OOP is uniquely implemented in JavaScript. Students gain a strong understanding of JavaScript syntax and features. Prerequisites: ACS 1310 or ACS 1710",Other,graduate,False,False,False,False,False,True
dominican,2026,2025-2026,ACS,2130,Core Data Structures & Algorithms,"This course explores the foundations of computer science including abstract data types, data structures, and algorithm analysis and design. Students will compare and contrast iterative and recursive algorithms to analyze design and performance tradeoffs. Students will implement and test data structures including lists, stacks, queues, hash tables, graphs, and trees. Students will then apply these concepts to real world problems to understand their tradeoffs. Students will also write technical articles about these topics to deepen understanding, improve technical writing, and bolster their online presence as knowledgeable and proficient software engineers. Prerequisites: ACS 1120",Other,graduate,False,False,False,False,False,True
dominican,2026,2025-2026,ACS,1920,Agile Development & UX/UI,"This course guides students in building a product using the lean product development methodology. Students work in pairs and gain practice working through the challenges that arise during collaboration. This course also layers in lessons related to UI/UX to to help students iteratively improve the look and feel of their product. Key concepts covered include: information hierarchy, system state, grid systems, onboarding teardowns, typography and color, digital mockup tools, user testing. By the end of the term student teams will ship a beautiful product that delights users. Prerequisites: None",Other,graduate,False,False,False,False,False,True
dominican,2026,2025-2026,ACS,1970,Contracting,"In this course students learn and implement various sales strategies to acquire new customers. Students will perform contracting work with real and hypothetical clients to create products according to specification. Key concepts include how to find contracting work the steps to ensure client satisfaction. Prerequisites: 9 Technical Credits, Instructor Approval",Other,graduate,False,False,False,False,False,True
