university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
drexel,2026,2026-2027,ADGD,I199,Independent Study in Advertising Design,Self-directed within the area of study requiring intermittent consultation with a designated instructor.,Other,undergraduate,False,False,False,False,False,True
drexel,2026,2026-2027,ADGD,I299,Independent Study in Advertising Design,Self-directed within the area of study requiring intermittent consultation with a designated instructor.,Other,undergraduate,False,False,False,False,False,True
drexel,2026,2026-2027,ADGD,I399,Independent Study in Advertising Design,Self-directed within the area of study requiring intermittent consultation with a designated instructor.,Other,undergraduate,False,False,False,False,False,True
drexel,2026,2026-2027,ADGD,I499,Independent Study in Advertising Design,Self-directed within the area of study requiring intermittent consultation with a designated instructor.,Other,undergraduate,False,False,False,False,False,True
drexel,2026,2026-2027,ADGD,T180,Special Topics in Advertising Design,Topics decided upon by faculty will vary within the area of study.,Other,undergraduate,False,False,False,False,False,True
drexel,2026,2026-2027,ADGD,T280,Special Topics in Advertising Design,Topics decided upon by faculty will vary within the area of study.,Other,undergraduate,False,False,False,False,False,True
drexel,2026,2026-2027,ADGD,T380,Special Topics in Advertising Design,Topics decided upon by faculty will vary within the area of study.,Other,undergraduate,False,False,False,False,False,True
drexel,2026,2026-2027,ADGD,T480,Special Topics in Advertising Design,Topics decided upon by faculty will vary within the area of study.,Other,undergraduate,False,False,False,False,False,True
drexel,2026,2026-2027,ARCH,118,Architectural Design Foundations I,"Introduces basic architectural design principles. Elementary concepts of space, surface and form will be explored through investigation of abstract and applied design projects explored in two and three- dimensional abstract exercises. Exercises incorporate heightened observational analysis and graphic skills.",Other,undergraduate,False,False,False,False,False,True
drexel,2026,2026-2027,ARCH,119,Architectural Design Foundations II,"Investigates basic architectural design principles that emphasize the inter-relationship between the scale of the human body and its movement within three-dimensional space. Design exercises will advance the understanding of the design process, development of a conceptual idea and a higher-level graphic and oral presentation.",Other,undergraduate,False,False,False,False,False,True
drexel,2026,2026-2027,ARCH,140,Appreciation of Architecture,"Historical survey of architecture from prehistory through today drawn from around the globe (and from Philadelphia) that considers broadly applicable topics including style, material, construction, and function. Intended for non-majors as an introduction to architecture and urbanism.",Other,undergraduate,False,False,False,False,False,True
