university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
Emory University,2026,2025-26,AAS,100,Intro To Afric Amer Studies,This course introduces students to the multiple disciplines that comprise the field of African American Studies and the most salient themes and topics that continue to guide scholars' research interests.,Social Sciences,100,0,0,0,0,0,0
Emory University,2026,2025-26,AAS,190,Fresh Sem:African Amer.Studies,Variable topics in African American Studies.,Social Sciences,100,0,0,0,0,0,0
Emory University,2026,2025-26,AAS,215,Jazz: Its Evolution & Essence,"Critical and analytic study of jazz idioms from the turn of the century to the present, including the blues, ragtime, Dixieland, swing, bop, and modern jazz. Emphasis on such figures as Armstrong, Ellington, Parker, Monk, and Coleman.",Social Sciences,200,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,238,History of Afric.Amer. to 1865,"The course examines the experiences of African Americans from the emergence of the transatlantic slave trade to the end of the Civil War. Emphasizes social and cultural history and interpretation of race, class, and gender.",Humanities,200,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,239,Hist.of Afric.Amer. Since 1865,"Examines African American history from 1865 to the present. Emphasizes regional, gender, and class distinction within African American communities, and the ways in which industrial transformations shaped African American life, thought, and resistance.",Social Sciences,200,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,240,Methods in Black Studies,"This course aims to provide students with an empirical portrait of
Black America. Together we will explore the economic, political, and social conditions of Black Americans, with attention to the variety of social science methods used to study them.",Social Sciences,200,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,247,Racial & Ethnic Relations,"Relations between and within groups, and conflict and cooperation in light of a number of models of social interaction. Application of principles to racial, religious, and ethnic minorities.",Social Sciences,200,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,248,Sociological Imagination,"This course provides an introduction to sociological thinking and
concepts using various television shows (and sometimes films) as a
springboard. Topics covered include race, class, gender, sexuality,
social structure, immigration, intersectionality and political economy.",Social Sciences,200,1,0,0,0,1,0
Emory University,2026,2025-26,AAS,259,"Race, Place, and Pol. Economy","This course focuses on dominant themes in political economy, geography, and behavior literature in the post-Civil Rights Movement era. The intersection of race and class at the local level is addressed while exploring issues of institutional discrimination and redistribution.",Social Sciences,200,0,0,0,0,0,0
Emory University,2026,2025-26,AAS,261,Survey Af-Am Lit Before 1900,"An overview of African-American literature prior to 1900. Students will read and examine writings by major contributors to each period in the genres of fiction (short story and novel) essay, poetry, and narratives of enslavement. Students will write four five-page critical essays.",Social Sciences,200,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,261W,Survey Af-Am Lit Before 1900,"An overview of African-American literature prior to 1900. Students will read and examine writings by major contributors to each period in the genres of fiction (short story and novel) essay, poetry, and narratives of enslavement. Students will write four five-page critical essays.",Social Sciences,200,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,262,Survey Af-Am Lit Since 1900,"An overview of African-American literature since 1900. Students will read and examine writings by major contributors to each period in the genres of fiction (short story and novel) essay, poetry, and narratives of enslavement. Students will write and revise four five-page critical essays.",Social Sciences,200,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,262W,Survey Af-Am Lit Since 1900,"An overview of African-American literature since 1900. Students will read and examine writings by major contributors to each period in the genres of fiction (short story and novel) essay, poetry, and narratives of enslavement. Students will write and revise four five-page critical essays.",Social Sciences,200,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,263,African American Theather,This course is a survey of African American theather and performance from the early 20th century to the present.,Social Sciences,200,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,263W,African American Theather,This course is a survey of African American theather and performance from the early 20th century to the present.,Social Sciences,200,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,267,The Civil Rights Movement,"An exploration and analysis of the struggle for African American equality with an emphasis on the Civil Rights Movement's development, successes, failures and legacy.",Social Sciences,200,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,267W,The Civil Rights Movement,"An exploration and analysis of the struggle for African American equality with an emphasis on the Civil Rights Movement's development, successes, failures and legacy.",Social Sciences,200,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,272,"Race, Gender & Visual Repres",This course explores representations of race and gender in American and European art and culture and the strategies and modes of visual representation that African Americans and members of the African Diaspora community deployed to counter derogatory images.,Social Sciences,200,0,0,0,0,0,0
Emory University,2026,2025-26,AAS,274,Black Resistance Mvmt in Amer,"This course will trace the trajectory of black resistance in America, from seemingly spontaneous slave revolts, to a few major, highly organized efforts, such as the Civil Rights Movement.",Social Sciences,200,0,0,0,0,0,0
Emory University,2026,2025-26,AAS,275,Black Images In the Media,"Students in this course will study representations of blacks in major forms of mass media, including newspapers, literature, radio, tv, and film. Students will explore the evolution of those representations and the impact of negative portrayals on the self-images of blacks and society at large.",Social Sciences,200,0,0,0,0,0,0
Emory University,2026,2025-26,AAS,279,Intro.to African American Art,The purpose of this course is to examine African American art and some of the historical and cultural considerations that affected the nature of its developments.,Social Sciences,200,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,285,Special Topics in AAS,Wide range of topics pertinent to the African American experience.,Social Sciences,200,0,0,0,0,0,0
Emory University,2026,2025-26,AAS,285W,Special Topics in AAS,Wide range of topics pertinent to the African American experience.,Social Sciences,200,0,0,0,0,0,0
Emory University,2026,2025-26,AAS,288,Black Women's Poetry,This course introduces the lesser known poets and poetry of black women in the United States and abroad; explains the elements of poetry and how to analyze a poem; and discusses the aspects of poetry orally and in writing.,Social Sciences,200,0,0,0,0,0,0
Emory University,2026,2025-26,AAS,303,Black Music,This course considers the idea of Black Music. What is it? What does it sound like?  Who created it? These musical questions are set in the context of an equally complicated web of ideas about race and the relationship between racial expectation and black music/cultural production.,Humanities,300,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,304,Music & Revolution in 1960s,"The 1960s was a decade of turbulence and dramatic social and cultural change.  The war in Vietnam, the civil rights and Black Nationalist movements, the so-called sexual revolution, and the popularization of psychedelic drugs all had considerable impact in shaping the musical culture of the day.  This course considers the music of the period, the relationships between musical forms, and the shifting relationships between the communities associated with them.",Humanities,300,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,305,"Jazz, Spirituality, & Religion","Considers common roots of spirituals, blues, and jazz, and surveys historical, cultural, social, and denominational factors that have shaped our perspective on the spiritual capacity of jazz. Focus is on the sacred works, biographies, and implicit theological positions of specific jazz masters.",Humanities,300,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,306,Music of Harlem Renaissance,"Designed to introduce the student to the music associated with the so-called Harlem Renaissance.  The course will examine African American and American works, composers, and performers referred to in the famous essays and controversies of this important period.",Humanities,300,0,1,0,0,1,0
Emory University,2026,2025-26,AAS,307,Bebop and Beyond,"This more advanced jazz history course focuses on the various styles and trends in jazz since 1945. The course will look specifically at Bebop, the Post Bop musics such as Hard Bop and Funky Bop, and the Cool School, Third Stream, avant-garde expressions, Fusion, Jazz Rock, and Acid Jazz.",Social Sciences,300,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,318,Art and Social Change,"The purpose of this class is to examine how African American art forms have addressed social issues and affected social change over time. Visual art, literature, music and contemporary media may be discussed.",Social Sciences,300,0,0,0,0,0,0
Emory University,2026,2025-26,AAS,320R,African American Religion,Development of religion among African Americans; trends and tendencies.,Humanities,300,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,325,Black Love,"""Explores historical & contemporary notions of love with emphasis on love's powerful & controversial presence/absence in the lives of Black people in the North American context. Readings include religious studies, philosophical, historical, literary, social scientific and neurobiological texts.""",Social Sciences,300,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,326,Black Christian Thought,"Spiritual transformations involving worship, magic and healing, ritual, and aesthetic performance in Black speech and literature, music, and drama; and spiritual uses of Biblical themes to empower social political movements.",Social Sciences,300,0,0,0,0,1,0
Emory University,2026,2025-26,AAS,334,Contemporary African Politics,"Politics of sub-Saharan Africa are examined, with emphasis on the major issues of social and political analysis as well as the African economic predicament and its political implications.",Social Sciences,300,0,0,0,0,1,0
