university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
fairfield,2026,2026-2027,ACCT,1011,Introduction to Financial Accounting,"This course introduces students to financial accounting. Students learn to read and comprehend published financial statements and are introduced to the financial reporting process. Topics include financial statement analysis; accrual accounting; revenue and expense recognition; and accounting for assets, liabilities, and equities.",Other,graduate,False,False,False,False,False,True
fairfield,2026,2026-2027,ACCT,1012,Introduction to Management Accounting,"This course introduces students to managerial accounting and the role of accounting information in managerial decision-making. Topics include a description of basic cost elements; the interrelationship between fixed costs, variable costs, and profit; and methods of accumulating the costs associated with producing products and providing services (e.g., activity-based costing), so that students can make recommendations about performance evaluation, project evaluation and other management decisions.",Other,graduate,False,False,False,False,False,True
fairfield,2026,2026-2027,ACCT,2203,Intermediate Accounting I,"This course builds on the fundamental concepts of financial accounting and reporting covered in Introduction to Financial Accounting. It provides an in-depth study of financial accounting theory and concepts, including balance sheet valuations and their relationship to income measurement and determination, as well as the presentation of financial statements in conformity with Generally Accepted Accounting Principles (GAAP). Using a practice set, students create financial statements from transactions to reinforce their knowledge of the accounting cycle.",Other,graduate,False,False,False,False,False,True
fairfield,2026,2026-2027,ACCT,2204,Intermediate Accounting II,"This course continues the in-depth study of financial accounting theory and concepts, and the presentation of financial statements in conformity with Generally Accepted Accounting Principles (GAAP) begun in ACCT 2203 . In addition to balance sheet valuation and income measurement issues, the course includes special topics such as earnings per share, accounting for income taxes, leases, and cash flows.",Other,graduate,False,False,False,False,False,True
fairfield,2026,2026-2027,ACCT,2250,Role of Money and Accounting in Society,"This course is designed to give students two viewpoints on a variety of topics that involve personal finance and concepts that are not always taught in a practical way. One viewpoint will be from the eyes of a practicing accountant/CPA and the other will be from a sociologist. Assessing different perspectives and approaches is critical to personal, civic, and professional development, as well as the ability to critically engage social science scholarship and professional best practices. Topics will range from budgeting to buying a house versus renting, savings, retirement, investing, insurance, income taxes, banking, accounting, reading financials, and fraud, as well as general discussions about wealth and income inequality. The class explores a variety of theoretical as well as practical approaches to navigate the complexity regarding money and finance in contemporary American society as well as abroad. Crosslisted with SOCI 2130 .",Other,graduate,False,False,False,False,False,True
fairfield,2026,2026-2027,ACCT,2265,Standalone Accounting Systems: Development and Use,"This course covers how accounting data are captured, processed, stored and disseminated in a standalone accounting information system, and the importance of an effective system of internal controls. Employing a common general ledger program, the course incorporates a hands-on
approach in which students are taught the flow of data from system set-up, to data entry, and to report generation and customization. Students also develop a chart of accounts from scratch and learn how data flows into the financial reporting model.",Other,graduate,False,False,False,False,False,True
fairfield,2026,2026-2027,ACCT,2980,Internship,Students gain practical experience in accounting. Students must be matriculated in the Dolan School of Business and have a GPA of 2.5 or higher. Enrollment by permission only.,Other,graduate,False,False,False,False,False,True
fairfield,2026,2026-2027,ACCT,3255,Accounting Information Systems,"This course prepares students to be effective users, evaluators, designers and auditors of accounting information systems (AIS). It examines several typical business processes, such as order entry/sales, billing/accounts receivable/cash receipts, and purchasing/accounts payable/cash disbursements and their associated AIS. Major themes throughout the course include oral and written communication, objectives and procedures of internal control, typical business documents and reports, proper system documentation through flowcharts and other techniques, systems analysis and design methodologies, and assessment of information processing in support of operational and strategic objectives in the context of rapidly changing technological advances. The course presents students with hands-on experience with the process, risk and control implications of enterprise systems coupled with an in-depth field-based business process analysis and gives students exposure to state-of-the-art AIS.",Other,graduate,False,False,False,False,False,True
fairfield,2026,2026-2027,ACCT,3265,Enterprise-wide Accounting Systems: Design and Control,"This course covers fundamental concepts inherent in establishing and maintaining accounting systems that are integrated within a company’s enterprise resource planning (ERP) system, with an emphasis on mitigating financial reporting and data ethics risks. Topics include best 
practices in designing systems to promote data integrity and security (e.g., Completeness, Accuracy, Validity and Restricted access, referred to as “CAVR”).",Other,graduate,False,False,False,False,False,True
fairfield,2026,2026-2027,ACCT,3275,Data Analytics in Accounting and Taxation,"This course provides students with the opportunity to combine accounting/taxation, technology and analytical methods. Students will address real world problems in accounting and taxation using contemporary analysis tools to collect, clean and analyze large, accounting- and tax-specific sets of
data. Students also will learn to present project results using appropriate visualizations and reports.",Other,graduate,False,False,False,False,False,True
fairfield,2026,2026-2027,ACCT,3320,Cost Management,"This course focuses on the proactive management of costs and the effect of costs on managers' decision-making, planning, and control. Students learn to accumulate costs and assign them to products and services using several different techniques such as activity-based costing. Other topics include profit planning and resource allocation through the budgeting process; the evaluations of organizational performance in cost, profit, and investment centers; and the importance of cost in the strategic management of the organization.",Other,graduate,False,False,False,False,False,True
fairfield,2026,2026-2027,ACCT,3320L,Cost Management Lab,"In this lab, students practice applying cost accounting concepts. Activities include using computer applications (e.g., Excel) to solve and present solutions to cost management problems. Note: This optional lab is not required, but highly recommended.",Other,graduate,False,False,False,False,False,True
fairfield,2026,2026-2027,ACCT,3330,Auditing,"This course introduces the audit of financial statements by independent CPAs. It bridges the gap between knowledge of accounting principles and the professional practice of accounting and auditing in the working world. Students learn about the role of auditing in society and the professional standards for behavioral and technical competence. They also study the factors entering into judgments about audit risk and the fair presentation of financial statement assertions. The course presents programs and procedures for defining audit objectives, gathering evidence, making decisions, and exercising professional skepticism.",Other,graduate,False,False,False,False,False,True
fairfield,2026,2026-2027,ACCT,3343,Federal Income Taxation I,"This course introduces students to income tax, adjusted gross income, deductions from adjusted gross income, itemized deductions, property transactions, filing status and exemptions, passive activity losses, tax credits, and tax computations. The course also includes tax compliance and preparation considerations for individuals.",Other,graduate,False,False,False,False,False,True
