university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
findlay,2026,2025-2026,ACAD,111,Strategies of College Learning for Student Athletes,"This is a course for first-year, first-season student-athletes. It focuses on stress and adjustment, eligibility, and special challenges for student-athletes.",Other,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACAD,040,Job Search Training,Provides training in all aspects of job search preparation including résumé writing and interview skills. Open to students in any major who are sophomore A.A. degree candidates or junior/senior B.A. or B.S. degree candidates. This course is repeatable.,Other,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACAD,088,The Oiler Experience,"This course is an introduction to campus life and as such is designed for first-time, full-time freshmen. Topics will include transitional issues, study skills, fundamentals of time management, health, and wellness concerns. This course will not count toward the total hour requirement. This course will be graded S/U.",Other,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACAD,099,Strategies for College Success,"Students will learn and be encouraged to use appropriate academic, social, and personal skills important for success in college. The course is open to all students; however, it is required of all second-semester freshmen who earn below a 2.0 GPA first semester, yet have taken ACAD 110. This is a developmental course. This is a repeatable course.",Other,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACAD,190,"Exploring the Liberal Arts: Choices, Challenges, and Connections","This interdisciplinary seminar combines academic inquiry with the fundamental mission of the College of Arts, Humanities, and Social Sciences - to prepare students for lives of critical thinking, cultural awareness, and service. Course topics will vary each year, but all students will be exposed to issues in the humanities, arts, and social sciences. Classes will be small, will require substantial student participation, and will include an experiential learning component. Emphasis will be on developing and improving the reading, critical thinking, and communication skills necessary for success in college and beyond.",Other,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACAD,150,Portfolio Development,"This is a course in which students learn the strategies for developing a portfolio. As part of this course, students will also write material for their individual portfolios. This course is repeatable.",Other,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACAD,187,Oiler Success Seminar II,"This course is designed to meet the individual learning strengths, needs, and goals of students registered for this course. Students will learn effective and research-based strategies so their educational career goals are met through their degree program. This course can be taken twice for a combined total of two hours.",Other,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACAD,185,Oiler Success Seminar,"This course is designed to support and enhance students' academic literacy through analyzing and implementing effective reading, learning, and study strategies. Students will learn how to access, interpret, and evaluate information and think critically about university-level course content.",Other,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACAD,125,Approaches to Career Development,"Through the study of career planning theories and the factors that affect career choice, strategies for effective personal career decision-making and career development through the lifespan will be explored and applied. At various times the course may focus on special topics, such as career planning issues for adult learners. Repeatable up to four semester hours, provided the topics are different.",Other,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACCT,331,Intermediate Accounting II,"This course is a continuation of ACCT 330 . It expands the underlying framework and concepts of financial accounting in the context of how accounting fits into the overall business environment of a contemporary society. The course provides a deeper understanding of the theory and practice related to financial accounting with an emphasis placed on special problems, which include leases, bonds, investments, shareholder's equity, earnings per share, accounting changes and errors, statement of cash flows, and financial statement analysis. International financial reporting standards are incorporated.",Professional,undergraduate,True,False,False,False,False,True
findlay,2026,2025-2026,ACCT,180,Financial Spreadsheet,Introduction to spreadsheets used to accumulate and analyze financial information. Special attention will be given to the financial functions used in business.,Professional,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACCT,049,Accounting Club,"In the club, students are given the opportunity to meet with accounting professionals. Additionally, students become exposed to professional trends, employment opportunities, and education growth within the accounting discipline. This course is repeatable. This course is graded S/U.",Professional,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACCT,221,Principles of Managerial Accounting,"This course is a continuance of ACCT 220 with emphasis on developing a basic understanding of financial accounting pertaining to business organizations by focusing on debt/equity financing, the statement of cash flows, time value of money, and financial statement analysis. In addition, the course introduces students to various managerial accounting topics including job-order costing, cost-volume-profit analysis, cost allocation, activity-based costing, internal controls, performance evaluation, capital budgeting, and master budgets.",Professional,undergraduate,True,False,False,False,False,True
findlay,2026,2025-2026,ACCT,199,Fundamentals of Accounting Information,"This course is an introduction to financial and managerial accounting. The emphasis throughout the curriculum is on providing and utilizing accounting information to plan, control, and make effective decisions by applying principles of financial accounting, analysis of financial statements, and managerial accounting tools and techniques. Multiple functions of Microsoft Excel, such as financial modeling, reporting, and the automation of accounting tasks will be integrated to apply accounting skills to genuine business applications especially useful to businesses, not-for-profits, or other professions.",Professional,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACCT,330,Intermediate Accounting I,"This course is a continuation of the study of accounting principles. It expands the underlying conceptual framework and concepts of financial accounting in the context of how accounting meets the information needs of various users by developing and communicating information that is useful for external decision-making. The course provides a comprehensive review of the accounting process, a deeper understanding of the conceptual theory and practice of financial accounting, and a review of the preparation and understanding of classified financial statements in conformity with generally accepted accounting principles. International financial reporting standards are incorporated.",Professional,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACCT,370,Taxation-Individual,"This course provides an introduction to taxation in the United States. The primary orientation is the taxation of income. The rules for the taxation of income are found in Title 26 of the U.S. Code. The course will focus on research cases and problems oriented to answering questions relative to the application of the IRS Code. After an introduction to the basic tax model, the course examines gross income, its concept, and definitions of taxable and tax-exempt income. There follows a detailed examination of deductions and losses. In particular, self-employed business expenses, cost recovery, employee expenses, itemized deductions, and passive activity losses. Part of the assigned work is the completion of personal tax forms including Form 1040 and related forms. These forms are available from the IRS website, www.irs.gov. Shafer Library has access to legal databases, which permit the student to view code and regulation sections, as well as court cases relative to those code sections.",Professional,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACCT,220,Principles of Financial Accounting,"This course develops an understanding of the basic elements of financial accounting and the role of accounting in society. Students are introduced to fundamental accounting concepts, procedures, and terminology. Emphasis is placed on accrual accounting, revenue and expense recognition, accounting for assets, liabilities and equity, the accounting cycle, merchandise accounting, and internal controls. The course includes transaction analysis and the preparation and understanding of financial statements.",Professional,undergraduate,True,False,False,False,False,True
findlay,2026,2025-2026,ACCT,350,Accounting Information Systems,"This course takes an applied approach to introduce students to the use of information technology in support of accounting events resulting from major business processes such as sales, purchasing, production, and human resources. Students will have hands-on experience using current computer based accounting applications. Students will be introduced to information systems concepts including database design and implementation, information security, and systems designs.",Professional,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACCT,450,Accounting for Not-For-Profit Organizations,"This course expands student's accounting knowledge by introducing students to the importance of government and not-for-profit accounting and the challenges that it presents. The course emphasizes the reporting requirements of the Governmental Accounting Standards Board (GASB) for state and local government, the Federal Accounting Standards Advisory Board (FASAB) for the federal government, and the Financial Accounting Standards Board (FASB) for the private sector, including not-for profits. The course develops an awareness of the issues surrounding government and not-for-profit accounting, the reasons behind them, their strengths and limitations, and possible alternatives.",Professional,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACCT,371,Taxation-Business,"The study of tax law and regulation relative to the formation of various business entities including the sole proprietorship, C-corporations, partnerships, and S-corporations is examined in this course. We continue the study of the tax code, tax regulations, and court cases, in this course related to the formation of a sole-proprietorship, corporation, or partnerships and distributions to its owners. Emphasis is placed on calculating taxable income and the resultant tax liability. Tax problems involve the completion of Form 1120 for C-corporations, Form 1120S for S-Corporations, and Form 1065 for partnerships. The nature of distributions to owners, shareholders or partnerships, is extensively discussed. Comparing and contrasting various business entities regarding formation, and tax consequences in each case is studied in depth in order to develop an understanding of what issues (both tax and non-tax) to consider when forming a business entity.",Professional,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACCT,390,Cost Accounting,"This course provides a study of the theories and practices of cost accounting with emphasis on job order, process, and standard costs.",Professional,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACCT,475,Seminar in Managerial Accounting,"This is a capstone course in the managerial accounting concentration. The class will examine situations where the accountant, examining the available financial information, must provide management with an approximate analysis and options for action. Students will have the opportunity to apply technical knowledge from prior accounting courses. Additionally, this course builds competency for students considering part one of the CMA exam.",Professional,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACCT,470,Managerial Accounting,"This course presents accounting as a management tool in the decision-making process, and covers budgeting, break-even analysis, and differential cost analysis.",Professional,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACCT,499,Accounting Internship,"This course provides qualified students with a one-semester opportunity to receive academic credit for supervised training and experience with a cooperating business firm supervised by the accounting faculty. It encourages students to utilize their acquired knowledge and skills in an actual work environment. Details are available from the program director/department chair, the business intern adviser, or the Office of Internships and Placements. This course will be graded S/U and may be repeated with a maximum of 12 semester hours applying toward a degree.",Professional,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACCT,497,Seminar in Financial Accounting,"This is a capstone course for the financial accounting concentration. It will explore two areas of vital importance to today's accountant including international accounting and professional ethics and corporate governance. The framework focuses on a manager's perspective, as regards the utilization and understanding of international accounting issues and the ethical implications of accounting decision making on various stakeholder groups.",Professional,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACCT,480,Advanced Accounting,"This course is a continued study of financial accounting theory and practice in selected areas of accounting. It includes an in-depth study of the accounting and reporting issues related to business combinations, consolidated financial statements, partnerships, and fiduciary accounting.",Professional,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ACCT,485,Auditing Theory and Practices,"This course presents an introduction to auditing and other assurance services for students who have not had significant experience in providing such services. The primary emphasis is on the author's decision-making process, determining the nature and amount of evidence that must be accumulated after considering the unique circumstances of each engagement. Topic coverage includes professional ethics, legal liability, the elements of the audit process, and application of that process to various accounting cycles.",Professional,undergraduate,False,False,False,False,False,True
findlay,2026,2025-2026,ADDC,100,Alcohol and Other Drugs: The Fundamentals,"This course will present an introductory overview of addiction. It will investigate historical and cultural attitudes towards various types of addictions; the physical, psychological, social, emotional, and spiritual factors surrounding addiction; and the clinical manifestations of both prevention and treatment. The concept of addiction as a disease will be examined.",Social Sciences,undergraduate,False,False,False,False,False,True
