university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
fisk,2026,2025-2026,ACC,230,PRINCIPLES OF ACCOUNTING I,This course presents the fundamental principles of double- entry accounting and its usefulness in reporting financial information to individuals external to the business entity. Typical economic transactions are analyzed and then recorded.,Other,undergraduate,False,False,False,False,False,True
fisk,2026,2025-2026,ACC,350,350 ACCOUNTING INFORMATION SYSTEMS,"This course covers the structure of contemporary accounting systems with emphasis on controls, auditing, reporting, and efficient operation.",Other,undergraduate,False,False,False,False,False,True
fisk,2026,2025-2026,ACC,330,FEDERAL TAXATION I,"This course covers determination of taxable income with emphasis on the philosophy of taxation, including income concepts, exclusions from income, deductions, and credits. Research methodology is introduced.",Other,undergraduate,False,False,False,False,False,True
fisk,2026,2025-2026,ACC,240,PRINCIPLES OF ACCOUNTING II,This course is a continuation of ACC 230 but emphasizes managerial accounting techniques.,Other,undergraduate,False,False,False,False,False,True
fisk,2026,2025-2026,ACC,310,INTERMEDIATE FINANCIAL ACCOUNTING I,This course is the first in the two-course sequence that places emphasis on concepts underlying asset valuation and income measurement. Statements released by the Financial Accounting Standards Board will be considered as they affect the particular subject under study.,Other,undergraduate,False,False,False,False,False,True
fisk,2026,2025-2026,ACC,320,INTERMEDIATE FINANCIAL ACCOUNTING II,This course is the second in the two-course sequence. The study of concepts underlying asset valuation and income measurement will be completed. Problem areas under consideration by the profession will be analyzed and discussed.,Other,undergraduate,False,False,False,False,False,True
fisk,2026,2025-2026,ACC,440,AUDITING,"This course is a study of auditing. It explores internal and external audits of business operations, including a review of EDP systems. The course is intended to consider the theory, the legal and ethical responsibilities of an auditor, and the methods of certifying financial statements.",Other,undergraduate,False,False,False,False,False,True
fisk,2026,2025-2026,ACC,430,FEDERAL TAXATION II,"This course emphasizes advanced aspects of income, deductions, exclusions, and credits, especially as applied to tax problems of partnerships and corporations.",Other,undergraduate,False,False,False,False,False,True
fisk,2026,2025-2026,AERO,1013L,LEADERSHIP LABORATORY,"This course is for all cadets enrolled in the General Military Course (GMC) or Professional Officer Course (POC). They must take leadership laboratory each semester. The one- and one-half hours per week is typically taken throughout a cadetâs enrollment in AFROTC. Instruction is conducted within the framework of an organized cadet corps with a progression of leadership experiences designed to maximize leadership potential. Topics include military customs and courtesies, drill and ceremony, and group leadership problems. All cadets registered for Leadership Laboratory must be enrolled in the equivalent aerospace studies class.",Other,graduate,False,False,False,False,False,True
fisk,2026,2025-2026,AERO,2012,AIR POWER HISTORY,"This course examines the general aspects of air and space power through historical perspective. From this perspective, the course covers a time period from the first balloons and dirigibles to the war on terrorism. Historical examples are provided to extrapolate the development of Air Force capabilities (competencies), and missions to demonstrate the evolution of what has become todayâs USAF and space power.",Other,graduate,False,False,False,False,False,True
fisk,2026,2025-2026,AERO,1012,FOUNDATIONS OF THE U.S. AIR FORCE,"This course is a survey course designed to introduce students to the USAF and the AFROTC. Topics include: Mission and organization of the Air Force, officer ship and professionalism, military customs and courtesies, USAF officer opportunities, and an introduction to communication skills.",Other,graduate,False,False,False,False,False,True
fisk,2026,2025-2026,AERO,2013L,LEADERSHIP LABORATORY,"This course is for all cadets enrolled in the General Military Course (GMC) or Professional Officer Course (POC). They must take leadership laboratory each semester. The one- and one-half hours per week is typically taken throughout a cadetâs enrollment in AFROTC. Instruction is conducted within the framework of an organized cadet corps with a progression of leadership experiences designed to maximize leadership potential. Topics include military customs and courtesies, drill and ceremony, and group leadership problems. All cadets registered for Leadership Laboratory must be enrolled in the equivalent aerospace studies class.",Other,graduate,False,False,False,False,False,True
fisk,2026,2025-2026,AERO,3515,AIR FORCE LEADERSHIP STUDIES,"This course is a study of leadership management fundamentals, professional knowledge, Air Force personnel and evaluation systems, leadership ethics, and communication skills required of an Air Force junior officer.",Other,graduate,False,False,False,False,False,True
fisk,2026,2025-2026,AERO,3516L,LEADERSHIP LABORATORY,"This course is for all cadets enrolled in the General Military Course (GMC) or Professional Officer Course (POC). They must take leadership laboratory each semester. The one- and one-half hours per week is typically taken throughout a cadetâs enrollment in AFROTC. Instruction is conducted within the framework of an organized cadet corps with a progression of leadership experiences designed to maximize leadership potential. Topics include military customs and courtesies, drill and ceremony, and group leadership problems. All cadets registered for Leadership Laboratory must be enrolled in the equivalent aerospace studies class.",Other,graduate,False,False,False,False,False,True
