university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
fsu,2026,2025-2026,ARABIC,,Trailblazing Arab Women,"This course investigates Arab women through fourteen women pioneers in fields such as literature; economics; and  law and human rights, while building an understanding of the complexities of the various Arab societies’ expectations of women. It provides students with the legal context that govern those expectations and explores gender relations while highlighting their tumultuous journeys.",Other,unknown,True,False,False,False,False,True
fsu,2026,2025-2026,ARABIC,,Arab Culture and Civilization,"This course teaches students about everyday life in the Arabic-speaking MENA region (Middle East and North Africa).  It focuses both on the diversity of the area,  as well as on the common cultural characteristics and points of reference broadly shared by Arabic speakers.  The course also emphasizes comparisons between the cultural phenomena in the MENA region and student's own societies.",Other,unknown,True,False,False,False,False,True
fsu,2026,2025-2026,MODERN,,Business Culture in the Middle East,"This course introduces the cultural aspects of business in the Middle East, focusing on the economic, institutional, historical, religious, and cultural factors shaping business practices. Topics include Islam's influence on commerce, business etiquette, political and social norms, and communication with men and women in business. The course is taught online in an asynchronous format, with no prerequisites, and is entirely in English.",Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,COOPERATIVE EDUCATION WORK EXPERIENCE,Course Description not on file,Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Introduction to Financial Accounting,"This course offers an introduction to financial accounting concepts, placing emphasis on financial statements and how they reflect business transactions. Please note, Accounting Majors must earn at least a ""B"" in this course to proceed to required 3000 level accounting courses.",Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Introduction to Managerial Accounting,"This course offers an introduction to managerial accounting concepts. Please note, Accounting majors must earn at least a ""B"" in this course to proceed to required 3000 level accounting courses.",Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Financial Accounting and Reporting I,"This course offers an in-depth study of financial-reporting concepts and generally accepted practice, including an overview of the accounting-cycle assets and noncurrent assets. Emphasis is placed on analyzing financial events and the consequences of financial-reporting alternatives.",Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,INTERMEDIATE FINANCIAL ACCOUNTING I,REVIEW OF THE ACCUNTING CYCLE AND FINANCIAL STATEMENT PREPARATION. ACCOUNTING THEORY AND PRACTICE FOR CURRENT ASSETS;CURR-                 ENT LIABILITIES AND FIXED ASSETS.,Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Financial Accounting and Reporting II,"This course offers an in-depth study of financial-reporting concepts and generally accepted practice for long-term liabilities, leases, pensions, income taxes, and stockholder equity and earnings per share. Emphasis is placed on analyzing financial events and on the consequences of financial-reporting alternatives on financial statements.",Other,unknown,True,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,INTERMEDIATE FINANCIAL ACCOUNTING II,ACCOUNTING THEORY AND PRACTICE FOR LONG-TERM COMMITMENTS;IN- COME TAXES;STOCKHOLDERS EQUITY;EARNING PER SHARE;AND INFLAT-                  ION ADJUSTMENTS. PREPARATION OF THE STATEMENT OF FINAN.CHANGE,Other,unknown,True,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Analysis of Financial Statement Presentation,This course is intended to provide students with the tools needed to evaluate the content of financial statements and accompanying disclosures. This is achieved by developing an understanding of generally accepted accounting principles (GAAP) and their application.,Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,COST ACCOUNTING AND ANALYSIS FOR BUSINESS,STUDY OF TECHNIQUES OF COST ACCOUNTING AND COST ANALYSIS FOR VARIOUS BUSINESS DECISIONS.  CREDIT NOT ALLOWED FOR ACCOUNTING MAJORS.,Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Cost Accounting and Analysis for Business Decisions,This course studies techniques of cost accounting and cost analysis for various business decisions. Credit is not allowed for accounting majors.,Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Cost Accounting,"This course covers the planning and control of economic entities through cost-volume-profit relationships, job order, as well as process and standard cost accounting. Emphasis is placed on the relationship between accounting systems and decision making.",Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Cost Accounting II,"This course covers the planning and control of economic entities through direct and relevant costing, inventory management, decentralized operations, capital budgeting, and quantitative techniques. Emphasis is placed on the relationship between accounting systems and decision making.",Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,COST ACCOUNTING,PLANNING AND CONTROL OF ECONOMIC ENTITIES THROUGH COST-VOLUMEPROFIT RELATIONSHIPS;JOB ORDER;PROCESS AND STANDARD COST ACCOUNTING;RELATIONSHIP OF ACCOUNTING SYSTEMS TO DECISION-MAKING.,Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Experiential Learning,"This non-credit, experiential learning course offers students an opportunity to gain ""real world"" on-the-job work experience related to a specific academic field of study. Students must register for this course through the FSU Career Center.",Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Financial Accounting and Reporting III,"This course offers an in-depth study of financial reporting concepts and generally accepted practice for investments, business combinations, consolidated enterprises, foreign operations, and the statement of cash flows. Emphasis is placed on analyzing financial events and the consequences of financial reporting alternatives.",Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,ADVANCED ACCOUNTING,ACTG FOR PARTNERSHIPS/GOVERNMENTAL & NOT-FOR-PROFIT ORGANIZA-TIONS/BUSINESS COMBINATIONS/CONSOLIDATED & COMBINED STATE-   MENTS/FOREIGN OPERATIONS AND SEGMENTS.,Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,ADVANCED TOPICS IN COST ACCOUNTING,STUDY OF ADVANCED TOPICS IN COST/MANAGERIAL ACCOUNTING;      INCLUDING COST ALLOCATION;TRANSFER PRICING INVENTORY CONTROL AND DECISION MAKING UNCERTAINTY.,Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Accounting Information Systems,"This course is an introduction to manual and computerized accounting information systems. Transaction cycles, internal controls, and flowcharting are emphasized.",Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Accounting for Governmental and Not-for-Profit Entities,This course is an introduction to fund accounting procedures and financial reporting requirements for governmental units and not-for-profit entities.,Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Auditing Theory for Non-Majors,"This course introduces the student to fundamental concepts of auditing and explains the various stages of the audit process. The course familiarizes the student with such concepts as audit standards and auditor responsibilities, audit risk, materiality, and audit evidence. How to audit specific business cycles and accounts are identified and how to prepare audit reports are covered. Internal control concepts are also introduced to the student.",Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Auditing Theory and Application I,"This course covers legal and professional responsibility of CPAs; generally accepted auditing standards; audit programs, procedures, and evidence; review and evaluation of internal controls.",Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Auditing Theory and Application II,This course covers theory of auditing and development of audit programs; sampling; procedures of obtaining audit evidence; auditor responsibility under Securities and Exchange Commission requirements; and auditing computerized systems. Subsequent credit for ACG 5635 is not permitted.,Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Internal Auditing,"A comprehensive study of basic concepts, philosophy, standards, and practices of internal auditing. The course offers the student an overall understanding and appreciation of the role of internal auditing in an organization.",Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Investigative Accounting,"This course provides an introduction to issues in forensic accounting. Topics include criminal statutes related to financial crimes, techniques used in solving financial crimes, rules of evidence, interviewing techniques, and forensic accounting procedures.",Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Fraud Examination,"This course provides an introduction to the field of fraud examination. Topics include the nature of fraud, who commits it and why, deterring fraud, financial statement fraud, and fraud resolution.",Other,unknown,False,False,False,False,False,True
fsu,2026,2025-2026,ACCOUNTI,,Directed Individual Study,May be repeated to a maximum of five semester hours.,Other,unknown,False,False,False,False,False,True
