university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
gatech,2026,2026-2027,ACCT,2101,Principles of Accounting I,"A study of the underlying theory and application of financial accounting concepts. These concepts include measurement principles, financial statement preparation, and introductory financial analysis.",Professional,undergraduate,False,False,False,False,False,True
gatech,2026,2026-2027,ACCT,2102,Principles of Accounting II,"A study of the underlying theory and application of managerial accounting concepts. These concepts include cost measurement, decision making, budgeting, and variance analysis.",Professional,undergraduate,False,False,False,False,False,True
gatech,2026,2026-2027,AE,1355,Aerospace Systems Design Competition I,"Team-oriented aerospace systems design project directed by a faculty advisor.  Typically a national student competition in aircraft, rotorcraft, or spacecraft design. Technical role commensurate with freshman standing.",STEM,undergraduate,False,False,False,False,False,True
gatech,2026,2026-2027,AE,1601,Introduction to Aerospace Engineering,"Overview of aerospace engineering. Common terminology, introduction to use of engineering models, professional and ethical standards and experience with team-based design of aerospace systems. Students cannot receive credit for both AE 1601 and AE 1350.",STEM,undergraduate,False,False,False,False,False,True
gatech,2026,2026-2027,AE,1XXX,Aerospace Engineering Elective,,STEM,undergraduate,False,False,False,False,False,True
gatech,2026,2026-2027,AE,2010,Thermodynamics & Fluids Fundamentals,"Thermodynamic and fluid properties. Conservation laws, Isentropic flow, shocks and expansions, introduction to flows with friction and heat transfer. Applications to aerospace devices. Students cannot receive credit for both AE 2010 and AE 3450.",STEM,undergraduate,False,False,False,False,False,True
gatech,2026,2026-2027,AE,2010R,AE 2010 Recitation,This recitation is an optional session in support of AE 2010 . This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.,STEM,undergraduate,False,False,False,False,False,True
gatech,2026,2026-2027,AE,2011,Fluid Fundamentals,"Flowfield concepts, fluid properties, conservation equations for flows, isentropic flow, shocks and expansions, introduction to flows with friction and heat transfer. Applications to aerospace devices.",STEM,undergraduate,False,False,False,False,False,True
gatech,2026,2026-2027,AE,2011R,AR 2011 Recitation,This recitation is an optional session in support of AE 2011 . This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.,STEM,undergraduate,False,False,False,False,False,True
gatech,2026,2026-2027,AE,2220,Dynamics,"Motion of particles and mass center of bodies, kinematics and kinetics of rigid bodies in plane motion, work-energy and impulse-momentum methods, 3-D dynamics of rigid bodies.",STEM,undergraduate,False,False,False,False,False,True
gatech,2026,2026-2027,AE,2220R,AE 2220 Recitation,This recitation is an optional session in support of AE 2220 . This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.,STEM,undergraduate,False,False,False,False,False,True
gatech,2026,2026-2027,AE,2221,3D Dynamics,Kinematics and kinetics of rigid bodies in three-dimensional motion.,STEM,undergraduate,False,False,False,False,False,True
gatech,2026,2026-2027,AE,2221R,AE 2221 Recitation,This recitation is an optional session in support of AE 2221 . This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.,STEM,undergraduate,False,False,False,False,False,True
gatech,2026,2026-2027,AE,2355,Aerospace Systems Design Competition II,"Team-oriented aerospace systems design project directed by a faculty advisor. Typically a national student competition in aircraft, rotorcraft, or spacecraft design.  Technical role commensurate with sophomore standing.",STEM,undergraduate,False,False,False,False,False,True
gatech,2026,2026-2027,AE,2610,Introduction to Experimental Methods in Aerospace,"Introduction to laboratory instrumentation and measurement techniques used in aerospace. Basic application of sensor principles, uncertainty analysis, interpretation and analysis of experimental data, and documentation.",STEM,undergraduate,False,False,False,False,False,True
