university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
keene,2026,2026-2027,ARCH,120,ARCH Visualization/Communication,"Development of fundamental skills in graphic visualization, representation, and communication as used in architecture and related design fields. Integrates sketching and digital media as a means to imagine, develop architectural concepts, and represent basic design ideas that shape the built environment.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,180,Introduction to Architectural Design,"Introduction to the principles of architectural design through lectures and short design exercises. Emphasis is placed on developing visual communication skills necessary and related to architectural presentation including drawing, drafting and model making techniques. A final design project provides the framework for investigating and understanding the fundamental elements, design principles and processes necessary to explore the creation of architectural spaces.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,220,Architectural Representation & Analysis,"Development of digital technology skills using 3D modeling software/applications for architectural design, representation, fundamentals of tectonic assemblies, construction details and documents. Building Information Modeling (BIM) software is applied as a tool for design investigations and the generation of digital representations of physical, functional, and performance characteristics of buildings.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,230,Architectural Design I,"Studio investigations of fundamental design concepts, principles and elements. Projects and exercises focus on the creation of abstract architectural forms and spaces through an exploration of shape, hierarchy, organization, scale, proportion, materials, and light. Studio Design courses should be taken in sequence.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,260,Sustainable Design & Building Science,"Study of energy issues, sustainable building design, and introduction to building science. Focus is on energy efficient buildings, solar energy systems, related environmental issues, and basics of building science. Projects involve energy analysis of buildings, evaluation of renewable energy options, world energy issues, critical design decisions for building, and building forensics.",Other,undergraduate,False,False,False,True,False,True
keene,2026,2026-2027,ARCH,270,Commercial Construction,"Introduction processes of commercial building, including environmental and regulatory factors and analysis of foundation components, structural and enclosure building systems. Lectures, site visits, and projects, present students with an array of technical challenges in building design. Focus is on analyzing and designing architectural details, for a variety of building materials.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,275,Residential Construction,"A study of residential construction technology systems, including the planning, materials and processes used by building contractors to build residential structures. The interrelationship of societal needs, the environment, and quality of life as they affect building design and construction practices are examined. 2 hour lecture, 3 hour lab",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,280,Architectural Design II,"Collaborative project-based studio design course emphasizing a team approach to solving real world architectural problems in the community for clients with social, environmental, and civic design needs. Students engage in service to their communities, embracing inclusiveness and understanding of diverse views, through bi-weekly meetings with the clients.",Other,undergraduate,True,False,False,False,False,True
keene,2026,2026-2027,ARCH,290,Special Topics,Study of a selected topic in Architecture. May be repeated as topics change.,Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,294,Cooperative Education,"Work learning experience for which compensation may be received. Placements arranged and approved, supervised and evaluated by full time Architecture faculty. Elective credit only (cannot be applied to credits in the Major) to maximum of 12 credits per program. May be repeated for credit, normally 40 hours/credit. Graded Pass/Fail.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,320,Adv Architectural Representation,"Advanced digital technology skills using applications for architectural design, representation, tectonic assemblies, construction details and documents. Building Information Modeling (BIM) and rendering software is applied for design investigations, parametric modeling, and the generation of documents, which represent the physical, functional, and performance of buildings.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,330,Architectural Design III,"Studio investigations of fundamental design concepts, principles, and processes. Projects focus on the creation of both abstract and programmed architectural forms and spaces with an emphasis on formal and aesthetic values and the development of a visual vocabulary. The exercises are oriented toward the achievement of creative individual expression.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,350,Architectural History I,"An introduction to the history of architecture and the design concepts that are the building blocks of architectural history from prehistory to the Gothic period. The course surveys the traditional or canonical architectural works of Western Europe, the United States, Asia and the Middle East.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,355,Architectural History II,"Survey of architectural history, including built form, design theories, construction technologies, and social, political, religious influences from the Gothic period through 1960s. Examines the architecture of Western and non-Western civilizations. Lectures, exams, written reports and oral presentations serve as methods for learning about evolution of design in architectural history.",Other,undergraduate,False,True,False,False,False,True
keene,2026,2026-2027,ARCH,360,Solar Design & Building Science II,"Designing Passive and Active Solar Systems for buildings, performance modeling, and advanced building science. Includes the basic principles, performance calculations, design optimization, architectural integration of solar energy systems, air quality, and moisture control. Students design combined solar systems applying principles of advanced building science.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,370,Architectural Systems,"Designing mechanical and electrical systems in the context of high performance buildings. Course applies scientific principles in designing water supply systems, heating, cooling, electrical services, lighting, and sound control, extending the understanding of healthy building design. Emphasizes principles and concepts to help students design a variety of systems while creating healthy buildings.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,375,Statics and Structural Analysis,"Analysis of structural systems in static equilibrium. Begins with fundamental physical laws and progresses to equations of forces and movements on rigid bodies, analysis of frames, trusses, and internal forces and movements in beams, and loading diagrams and geometrical analysis of building loads.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,380,Architectural Design IV,"Intermediate-level studio design investigations that generate architectural solutions, which integrate aesthetic architectural factors of spatial, formal, and organizational principles, fundamental building science concepts, and basic building systems and materials selection. Design exercises include individual analysis and synthesis of built form through research into precedents, human, site, environmental, and contextual factors.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,430,Architectural Design V,"Advanced architectural studio investigations of a moderate scale site and building program. Emphasis is on research, analysis, simulating the professional design process. Design solutions must demonstrate sustainability through the integration of aesthetic design principles, program and occupant concerns, site context, and appropriate selection of tectonics, materials, environmental systems.",Other,undergraduate,False,False,False,True,False,True
keene,2026,2026-2027,ARCH,435,Portfolio Design,"Preparation of an architectural portfolio for employment, fellowships, grants and postgraduate academic opportunities. Course focuses on visual and written representation of individual studio work. Students engage in the representational process to provide a critical forum for written and visual communication in the field of architecture and their own work.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,480,Senior Design Project,"Culminating course in the architecture program where each senior defines and develops a complete design and set of drawings for a real client and site. The course emphasizes group interaction, peer review, and evaluation by independent architects.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,490,Advanced Special Topics,Study of a selected topic in Architecture at an advance level. May be repeated as topics change. Prerequisites vary with topics.,Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,494,Advanced Cooperative Education,"Sequential work learning experience for which compensation may be received. Placements arranged and approved, supervised and evaluated by full time Architecture faculty. Elective credit only (normally 40/hours credit) to maximum of 12 credits per program. May be repeated for credit. Graded Pass/Fail.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ARCH,498,Independent Study,"Advanced independent study of various fields of Architecture through independent reading, writing, laboratory work, or field investigation. Requires a written report. May be repeated to a total of 8 credits.",Other,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ACCT,213,Financial Accounting,"Introduces accounting information with an emphasis on its use in decision making by owners, creditors managers, and government for both profit and non profit organization. Topics include the accounting profession, double entry accounting system, information systems, ethics, taxation, and internal control systems. Course is intended for Management majors.",Professional,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ACCT,214,Managerial Accounting,"This course focuses on accounting information used by managers in planning, controlling operations and decision making within organizations. Topics include cost concepts and classifications, cost volume profit analysis, cost systems, and budgeting. Must be a Management Major or Minor.",Professional,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ACCT,215,Accounting for Decision Making,"A one-semester course focuses on critical concepts and skills related to managing by the numbers. Topics include financial statements, cost-volume-profit analysis, working capital management, budgets and planning, and return on investment. Course is intended for students pursuing a degree other than the BS in Business Management.",Professional,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ACCT,311,Intermediate Accounting I,"The course delves deeper into accounting principles and practices. Review of accounting cycle, balance sheet valuations, principles relating to financial statements, income determination, disclosure problems, cash management, investments, receivables, and plant assets. Includes alternative accounting procedures.",Professional,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ACCT,312,Intermediate Accounting II,"Explores additional topics such as intangibles, investments, time value of money, application of present value techniques, issuance of capital stock, stock rights, options, warrants, convertible securities, reacquired stock, retained earnings, dividends, earnings per share and other relevant areas.",Professional,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ACCT,319,Corporate Finance I,"Study of financial decision making in contemporary financial theory and world economic conditions. Focusing on financial theory/tools applicable to investing, capital budgeting, and capital structure decisions. Students are introduced to valuation techniques and capital markets and their influence on corporate financial decisions. Must be Business Management, Accounting or Finance Major.",Professional,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ACCT,321,Corporate Finance II,"This course takes a case study approach to examine the transformative nature of financial decision making in a corporate context. Topics include capital structure, mergers and acquisitions, dividend policy, risk management, and the implications of stock buy-backs on corporate strategy.",Professional,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ACCT,415,Cost Accounting,"The role of cost management and accounting in measuring, analyzing, and reporting information that relates to the cost of obtaining and using an entity's resources. Includes the ways of assigning various costs such as direct costs, indirect costs, fixed costs, variable costs, inventorial cost, and period costs.",Professional,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ACCT,416,Auditing,"Auditing is the process of examining and verifying financial statements and internal controls to ensure their accuracy and compliance with accounting standards. This course explores auditing procedures, ethics, and professional standards.",Professional,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ACCT,417,Taxation,"Emphasizes basic taxation, including federal and state income taxes, tax planning, tax compliance, and the impact of taxes on business decisions. Concepts of income, gain or loss, dividends, deductions as defined in the Revenue Code, and basic preparation of tax returns.",Professional,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ACCT,418,Quantitative Financial Analysis,"Building on Financial Accounting, Managerial Accounting, and Corporate Finance concepts, the course focuses on corporate finance and accounting, while emphasizing modeling and interpretation of financial data and enhance skills in quantitative financial analysis.",Professional,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ANTH,110,Cultural Anthropology,"Introduction to anthropological knowledge and understanding of human cultures and societies. Cross cultural comparison and review of tribal and industrialized societies. Application of anthropological concepts to provide understanding of other cultures and one's own culture. Course Type(s): GEE Social Sciences, GEE Intercultural Perspectives.",Social Sciences,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ANTH,111,Archaeology and Biological Anthropology,"An introduction to the biological and cultural evolution of human beings. In addition to the prehistoric record, the course will cover primatology, human variation, and problems of theory and practice in archeology. Course Type(s):GEE Social Sciences, GEE Intercultural Perspectives.",Social Sciences,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ANTH,290,Topics in Anthropology,Selected topics in anthropology. May be repeated as topics change to a total of 8 credits.,Social Sciences,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ANTH,314,Archaeology of the Americas,"In-depth, examination of cultural change and culture process in prehistoric societies in the Americas. The course begins with the first appearance of humans in the Americas and ends with the arrival of the first European explorers and includes multiple theoretical perspectives on prehistoric behavior from the social sciences. Course Type(s):GEE Social Sciences, GEE Intercultural Perspectives.",Social Sciences,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ANTH,320,Magic Witchcraft and Religion,"This course will provide a holistic and comparative approach to the study of religious beliefs and practices. Students will explore magical and religious behavior, ritual, myth, shamanism, curing, spirit possession, ancestor worship, witchcraft, and millennial and countercultural movements in a variety of tribal and state societies. Course Type(s):GEE Social Sciences, GEE Intercultural Perspectives.",Social Sciences,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ANTH,321,Lithic Technology,"This course focuses on stone tool technology from both a cultural evolutionary perspective and as a technological process. Students will examine stone tool classification and analysis with emphasis on raw material types, artifact typologies, reduction sequences, refitting studies, use wear analysis, and sourcing and dating methods.",Social Sciences,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ANTH,323,Anthropology of Conflict and Violence,"This course focuses on the nature of conflict in human societies around the world and examines the roles of violence from a cross cultural perspective. Conflict and violence are studied in societies ranging from food foragers to complex states, to explore the consequences of what is labeled 'violence'. Course Type(s):GEE Social Sciences, GEE Intercultural Perspectives.",Social Sciences,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ANTH,332,Forensic Anthropology,"This course is designed to provide an introduction to the discipline of forensic anthropology. It will cover the basic information and methods necessary to recognize, collect, identify, and process skeletonized human remains. Cross-listed as: CJS-332 .",Social Sciences,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ANTH,390,Studies in Anthropology,Intensive study of selected topics in anthropology May be repeated as topics change to a maximum of 8 credits.,Social Sciences,undergraduate,False,False,False,False,False,True
keene,2026,2026-2027,ANTH,430,Ethnographic Research Methods,"Introduction to ethnographic field research methods and techniques in anthropology, including research design, ethics, participant-observation, interviewing, notetaking, ethnohistory, report writing, and visual documentation. Students complete assigned and independent ethnographic field research projects. Fieldwork required.",Social Sciences,undergraduate,False,False,False,False,False,True
