university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
keuka,2026,2025-2026,ACC,101,Accounting I: Introduction to Financial Accounting,"Financial accounting deals with the preparation, presentation, and analysis of financial statements. The course involves the study of the terminology and conceptual framework underlying the measurement, processing, and communication of financial information to external and internal users. The course is required of all business and management majors, but is open to any student with an interest in learning this essential part of the language of business.",Professional,undergraduate,False,False,False,False,False,True
keuka,2026,2025-2026,ACC,351,Advanced Accounting,"This course studies the problems related to such specialized topics as partnerships, consignment and installment sales, agency and branch operations, consolidations and business combinations, foreign operations, fiduciaries, and non-profit organizations.",Professional,undergraduate,False,False,False,False,False,True
keuka,2026,2025-2026,ACC,399,Independent Study,"An in-depth, self-directed study for Junior- or Senior- level students under the guidance of a sponsoring faculty member on a planned topic that is not covered by an existing Keuka College course.",Professional,undergraduate,False,False,False,False,False,True
keuka,2026,2025-2026,ACC,401,Auditing,"An intensive examination of the methods and procedures used to obtain necessary evidence to form an independent professional opinion regarding the fair representation of clients' financial statements. Topics include the ethical and legal responsibilities of the auditor, evaluation of internal controls, the use of sampling techniques, and current AICPA auditing publications.",Professional,undergraduate,False,False,False,False,False,True
keuka,2026,2025-2026,ACC,402,Accounting Information Systems and Internal Controls,"This course will explore the business accounting processes and internal controls, with emphasis on ethics and corporate governance. The course will also cover the use of data flow diagrams and document flow charts to understand these business processes and evaluate internal controls. Lastly, students will learn how to use data analysis applications to aid in making real business decisions using this technology.",Professional,undergraduate,False,False,False,False,False,True
keuka,2026,2025-2026,ACC,302,Cost Accounting II,"This course is a continuation of ACC 301. Topics covered include absorption and variable costing, cost-volume-profit analysis, cost control, activity-based costing and other innovative techniques, transfer pricing decisions, performance evaluation, relevant costing, capital asset selection and capital budgeting, and quantitative planning tools, such as linear programming and regression analysis.",Professional,undergraduate,False,False,False,False,False,True
keuka,2026,2025-2026,ACC,411,Income Tax Accounting I,"This course is designed for all students who have completed the introductory accounting courses ( ACC-101 & ACC-102 ) and who have an interest in federal income tax matters concerning the individual taxpayer. After an introduction to the federal tax system in the United States, topics include: gross income, deductions allowable in determining adjusted gross income and taxable income, special tax computations and credits, recognition and non-recognition of gains and losses, basis rules, special treatment of capital assets, and administrative provisions of the tax law.",Professional,undergraduate,False,False,False,False,False,True
keuka,2026,2025-2026,ACC,201,Intermediate Accounting I,"This course is designed and required for the major in accounting. An in-depth study is made of the form, content, and objectives of corporate financial reporting. It includes controversial issues involved in revenue recognition, inventory evaluation, depreciation theory, and intangible assets, together with the impact these matters have on the determination of corporate earnings.",Professional,undergraduate,False,False,False,False,False,True
keuka,2026,2025-2026,ACC,412,Income Tax Accounting II,"This course is devoted to the taxation of corporations, partnerships, and fiduciaries. Topics include: transactions between partners and partnerships for retirement, death, transfer or partial liquidation of an interest; special deductions for corporations; Subchapters; corporate distributions; organization, reorganization, or liquidation; tax on accumulated earnings; personal holding examples; and tax research.",Professional,undergraduate,False,False,False,False,False,True
keuka,2026,2025-2026,ACC,490,International Accounting,"International accounting course is an examination of international accounting standards, worldwide accounting systems, international taxation, and covers topics of international transfer pricing and strategic accounting issues in multinational corporations.",Professional,undergraduate,False,False,False,False,False,True
