university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
lamar,2026,2026-2027,AASC,3102,Narrative for Prior Experential Learning Credit,Students are guided in the development of an outcome-based learning narrative which allows them the opportunity to translate knowledge and skills obtained through life and work experiences into academic credit.,Other,undergraduate,False,False,False,False,False,True
lamar,2026,2026-2027,AASC,3301,Leadership and Communication Strategies,"The Leadership and Communications Strategies course aims to equip students with the essential communication and leadership skills necessary for navigating the professional world. The course will focus on techniques for: conveying ideas and information effectively, becoming a credible influential leader, creating conditions in which individuals and teams thrive, developing measurable goals, and achieving actionable outcomes.",Other,undergraduate,False,False,False,False,False,True
lamar,2026,2026-2027,AASC,4301,Personal Productivity,"Personal productivity is a course based on the FranklinCovey framework, designed to empower individuals to significantly enhance their personal and professional effectiveness by focusing on five key decision-making principles that optimize their time, attention, and energy. This course integrates theoretical foundations with practical applications to develop students' abilities to make effective decisions, manage time efficiently, and achieve sustainable productivity in both personal and professional contexts.",Other,undergraduate,False,False,False,True,False,True
lamar,2026,2026-2027,ACCT,2301,Introduction to Financial Accounting,Concepts of financial accounting. Emphasis is on the conceptual framework of accounting and the preparation and uses of financial statements.,Professional,undergraduate,False,False,False,False,False,True
lamar,2026,2026-2027,ACCT,2302,Introduction to Managerial Accounting,"This course is designed for non-accounting majors. Uses of accounting information in managerial planning, decision making, and control. Includes study of cost behavior, cost-volume-profit analyses, and budgeting.",Professional,undergraduate,False,False,False,False,False,True
lamar,2026,2026-2027,ACCT,3310,Intermediate Accounting I,"Analysis of theory and its applications in the areas of cash, temporary investments, receivables, inventories, plant and intangible assets, long-term investments, current liabilities and revenue recognition.",Professional,undergraduate,False,False,False,False,False,True
lamar,2026,2026-2027,ACCT,3320,Intermediate Accounting II,"Continuation of ACCT 3310 with emphasis on long term debt, short term liabilities, leases, pensions, owner's equity and earnings per share.",Professional,undergraduate,True,False,False,False,False,True
lamar,2026,2026-2027,ACCT,3330,Governmental Accounting,Primary emphasis on governmental accounting and accounting for not-for-profit organizations. Also includes Statement of Cash Flows.,Professional,undergraduate,False,False,False,False,False,True
lamar,2026,2026-2027,ACCT,3340,Cost Accounting,Cost accounting with a managerial emphasis: Job order and process cost; standard cost and variance analysis; budgetary control; relevant costing for decision making; capital budgeting.,Professional,undergraduate,False,False,False,False,False,True
lamar,2026,2026-2027,ACCT,3350,Professional Ethics,"This course addresses the professional ethics of accountants who seek careers in (1) public accounting and pursue becoming a Certified Public Accountant (CPA) and (2) financial and management accounting and pursue becoming a Certified Management Accountant (CMA). It addresses the professional ethical standards set forth in (1) the American Institute of Public Accountants Code of Professional Conduct, (2) Public Company Accounting Oversight Board Ethics and Independence; and (3) Institute of Management Accountants Statement of Professional Ethical Practice. It will provide students with the importance of ethics and ethical choices in an accounting career.",Professional,undergraduate,False,False,False,False,False,True
