university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
lander,2026,2025-2026,AAI,201,Introduction to Applied AI Tools,"This course introduces students to foundational concepts of artificial intelligence with a focus on using existing AI platforms and services. Students will explore various AI tools including large language models, image generators, andâ¯no-code platforms. The emphasis is on understanding functionality and application rather than development.  Three credit hours.",STEM,undergraduate,False,False,False,False,False,True
lander,2026,2025-2026,ACCT,201,Financial Acctg Principles,"This course is the study of accounting principles underlying financial reporting of organizations to external users. The accounting model for capturing and processing the economic effects of financing, investing, and operating activities as well as the financial statements provided by the model are developed. Focus is placed on reading, interpreting, and applying the financial information in decision-making process. Prerequisite: MATH 121 . Three credit hours.",Professional,undergraduate,False,False,False,False,False,True
lander,2026,2025-2026,AAI,240,Data Access & Retrieval for AI,"This course focuses onâ¯acquiring, cleaning, and preparing data for use with AI tools. Students will learn to query databases, work with APIs, and manipulate data formats such as CSV, JSON, and XML to support AI workflows.â¯Prerequisite:â¯ AAI 201 or CIS 130 .â¯  Three credit hours.",STEM,undergraduate,False,False,False,False,False,True
lander,2026,2025-2026,ACCT,202,Managerial Acctg Principles,"This course includes the study of accounting information underlying financial reporting of organizations to internal users. Topics covered include product and process costing, cost systems, cost terminology and cost behavior. The focus is placed on management use of accounting information in production, merchandising and service decision-making. Prerequisites: ""C"" or better in ACCT 201 . Three credit hours.",Professional,undergraduate,False,False,False,False,False,True
lander,2026,2025-2026,ACCT,301,Intermediate Accounting I,"This course studies financial accounting theory and problems for the corporate form of organization. Preparation and presentation of financial statements according to generally accepted accounting principles is addressed. The analysis and interpretation of financial statements and other accounting problems are emphasized. Prerequisite: ""C"" or better in ACCT 202 . Three credit hours.",Professional,undergraduate,False,False,False,False,False,True
lander,2026,2025-2026,AAI,310,Cloud-Based AI Programming,"This course introduces students to cloud platforms and services used in applied artificial intelligence. Emphasis is placed on developing AI-enabled applications using tools such as Azure, AWS, and Google Cloud. Students will learn to configure cloud environments, integrate APIs, manage model inputs and outputs, andâ¯monitorâ¯performance and cost. The course prioritizes practical implementation skills in deploying AI tools for real-world use cases.â¯Prerequisite:â¯ AAI 240 and basic programming ( CIS 130 or DSCI 230 ).â¯  Three credit hours.",STEM,undergraduate,False,False,False,False,False,True
lander,2026,2025-2026,ACCT,302,Intermediate Accounting,"This course studies financial accounting theory and problems for the corporate form of organization. Preparation and presentation of financial statements according to generally accepted accounting principles is addressed. The analysis and interpretation of financial statements and other accounting problems are emphasized. Prerequisite: ""C"" or better in ACCT 301 . Three credit hours.",Professional,undergraduate,False,False,False,False,False,True
lander,2026,2025-2026,AAI,300,Developing AI Agents,"This course explores how to design and implement AI agents that can perform multi-step tasks using frameworks likeâ¯LangChain,â¯Flowise, or Zapier. Students will work with chained prompts, tool use, and decision logic in low-code environments.â¯Prerequisite:â¯ AAI 220 and AAI 240 .â¯  Three credit hours.",STEM,undergraduate,False,False,False,False,False,True
lander,2026,2025-2026,ACCT,312,Advanced Accounting,"The course is a study of accounting and reporting for complex topics with primary emphasis on business combinations, partnerships, foreign currency transactions, governmental accounting, and translation of foreign financial statements. Three credit hours.",Professional,undergraduate,False,False,False,False,False,True
lander,2026,2025-2026,ACCT,321,Income Tax I,"This course studies the Internal Revenue Code related to the determination of individual income tax liability. Major topics include filing status, gross income, exemptions, and deductions. Prerequisite: ""C"" or better in ACCT 202 . Three credit hours.",Professional,undergraduate,False,False,False,False,False,True
lander,2026,2025-2026,ACCT,322,Income Tax II,"This course is a continuation of ACCT 321 with emphasis upon the Internal Revenue Code sections related to the determination of the income tax liability for corporations, partnerships, estates, and trusts. Prerequisite: ""C"" or better in ACCT 321 . Three credit hours.",Professional,undergraduate,False,False,False,False,False,True
lander,2026,2025-2026,ACCT,331,Cost/Management Accounting I,"This course is an intensive study of cost concepts and their role in the planning, controlling, and decision-making of internal users of accounting. Major topics include cost terminology, cost systems, the information needs of managers, costing of products and services, and cost allocations. Prerequisite: ""C"" or better in ACCT 202 . Three credit hours.",Professional,undergraduate,False,False,False,False,False,True
