university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
lesley,2026,2025-2026,AINTD,2008,Transition Seminar: Lives in Context,"This course is a transition seminar that prepares the beginning adult student for success. Students will work on defining their personal and professional goals, as well as explore the foundation for understanding adult learning theory and its applications to program success. Students are exposed to the availability of library resources and how to effectively utilize them for the purposes of research and writing throughout the program. Additionally, this course focuses on the individual students and their personal lives within the context of contemporary society. Through the reading and writing of autobiography and biography, students will explore how life themes and transitions are shaped by and shape societal, historical, and political realities. Through both the content and the format of this introductory course, returning adult students build a supportive structure and community, implement strategies for success, and engage with Lesley services and resources, like credit for prior learning.",Other,graduate,False,False,False,False,False,True
lesley,2026,2025-2026,IANIM,1261,Principles of Animation 2 for 3D,This course will utilize digital 3D animation tools and keyframe methods to investigate and illustrate the full visual vocabulary of the Twelve Principles of Animation. Through a series of in-class demonstrations and projects students will practice and refine their understanding of the Twelve Principles of animation as well as combine several principles into one action to create more dynamic and interesting 3D animations. Students will be exposed to 3D animations from historically and artistically relevant films and TV series for inspiration and context.,Other,graduate,False,False,False,False,False,True
lesley,2026,2025-2026,AINTD,4002,Research Capstone,"Focuses on design and execution of the senior research project (a 20-page essay) by exploring topics, questions, and research methodologies. Students work with faculty to design, research, draft, and finalize a senior essay in the student's area of interest. Students do general and specialized reading in their field of inquiry while they participate in class discussion and activities to clarify their research processes.",Other,graduate,False,False,False,False,False,True
lesley,2026,2025-2026,IANIM,1250,Principles of Animation 1,"This course will introduce students to animation as an narrative art form, expose them to its wide range of aesthetic possibilities, and teach them the twelve principles of animation as well as basics of filmmaking. Class projects will focus on the physical manipulation of mediums such as clay, cut-paper, puppets and found objects. There will be an exploration of materials and methods of experimental animation that encourage students to work with paint, collage, sand and photographs within nonlinear narrative structures. Students will be introduced to basic technological production tools that will support project development and completion of their short animations.",Other,graduate,False,False,False,False,False,True
lesley,2026,2025-2026,IANIM,1300,Animation Foundation Studio,"This course focuses on the collaborative creation of a short animated film. Students will create an animated film while focusing on the twelve principles of animation, filmmaking, conceptual thinking, storyboarding, story structures, animatics, character design and lip-syncing. Each week students will work toward finishing a collaborative animated film culminating in presenting a complete 30-60 second animated piece by the end of the semester. The collaborative structure of this course mimics the Animation studio pipeline found in the professional world.",Other,graduate,False,False,False,False,False,True
lesley,2026,2025-2026,IANIM,2115,Sophomore Studio,"In this course students will create a short animated film using the class as a resource for discussion and critique. They will be introduced to a variety of storytelling structures such as: the 3 act story, universal themes and conceptual abstract narrative. Through historic and contemporary examples of short film, students will examine the relationship between narrative and medium. Students will develop and produce experiential time-based narratives utilizing visual language and audio soundscape while showcasing a narrative with clearly conveyed mood and emotion, a complete audio track, and clear visual design. At the end of the semester students will present a final 60 second animation that reflects their process and skills as an animator.",Other,graduate,False,False,False,False,False,True
lesley,2026,2025-2026,IANIM,2120,Animation Sophomore Seminar 2,"This course builds on the conceptual development and storytelling of Sophomore Seminar I. Students will create a short animated film based on their pre-production work, using the class as a resource for discussion and critique, as well as demonstrations of a wide variety of technical and conceptual tools that expand and enhance projects. At the end of the semester students will present a final 60 second animation that reflects their process and skills as an animator. A final grade of ""C"" or better is required for IANIM 2110 Sophomore Seminar I in order to enroll in IANIM 2120 Sophomore Seminar II. Failure to meet the minimum grade requirement may result in having to retake IANIM 2110 before enrolling in IANIM 2120 .",Other,graduate,False,False,False,False,False,True
lesley,2026,2025-2026,IANIM,2350,Storyboarding for Time Based Media,"This course will cover the history of storyboarding from the early age of animation through current film and television production. Students will examine and employ principles of composition and technical concepts such as frame axes, the rule of thirds, Hitchcock's Rule, aperture and focal length, and Eisenstein Theory of Montage. Students will develop narrative through cinematic language such as the use of a McGuffin, the theory of Chekhov's Gun, the hierarchy of framing, and color as a tool for storytelling. The relationship between writing, boarding, and directing will be explored in historic and contemporary examples.",Other,graduate,False,False,False,False,False,True
lesley,2026,2025-2026,IANIM,2470,Drawing for Animation,"Drawing for Animation includes drawing the dynamic structure of human figures and other lively objects, from the initial quick creation of these in sequential key poses through a series of revisions; designing characters executed in precisely drawn model sheets; composing figures and backgrounds in meaningful, dynamic cinematic sequences, expressed in storyboards, from rough to polished.",Other,graduate,False,False,False,False,False,True
lesley,2026,2025-2026,IANIM,2450,Stop Motion Animation,"This course explores various techniques of 3-D animation including clay, objects, puppets, and the animation of people (pixilation). The history and aesthetics of this genre are also examined. Students produce short 3-D experiments.",Other,graduate,False,False,False,False,False,True
