university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
louisville,2026,2026-2027,ACCT,200,Principles of Accounting for Non-Majors,"An introduction to basic accounting objectives and principles and how they relate to modern organizations. Students will be exposed to financial reporting, analysis of financial statements, internal controls and elements of managerial accounting and budgeting. Students will apply critical thinking to how to use financial data in an ethical framework to achieve organizational goals.",Professional,undergraduate,False,False,False,False,False,True
louisville,2026,2026-2027,ACCT,201,Principles of Financial Accounting,The course focuses on the relevance and interpretation of accounting information for decision making. Preparation of financial statements is also covered.,Professional,undergraduate,False,False,False,False,False,True
louisville,2026,2026-2027,ACCT,202,Principles of Managerial Accounting,"The course focuses on the information needed by management, where this information can be obtained, and how it can be used to carry out management's responsibilities within an organization.",Professional,undergraduate,False,False,False,False,False,True
louisville,2026,2026-2027,ACCT,205,Honors Principles of Accounting,Students explore financial statement analysis and managerial accounting techniques and use these tools to solve business problems.,Professional,undergraduate,False,False,False,False,False,True
louisville,2026,2026-2027,ACCT,301,Intermediate Accounting I,"Director approval required to enroll in ACCT 501 .  The first of two courses dealing with financial reporting as reflected in Generally Accepted Accounting Principles. The course will discuss the theoretical underpinnings and the practical applications of income determination and balance sheet valuations. Focus is on the accounting cycle and the nature of the financial statements.If students plan to double major in accounting and finance, or they plan to minor in accounting, they should take ACCT 301 to ensure no conflicts with future accounting prerequisites. Students may not receive credit for ACCT 301 , ACCT 501 and/or FIN 305 .",Professional,undergraduate,False,False,False,False,False,True
louisville,2026,2026-2027,ACCT,302,Intermediate Accounting II,A continuation of the study of income determination and balance sheet valuations which was begun in ACCT 301 ( ACCT 501 or FIN 305 ).Students who double major in accounting and finance should be sure to take ACCT 301 or ACCT 501 (instead of FIN 305 ) to prevent prerequisite conflicts with other accounting courses.,Professional,undergraduate,False,False,False,False,False,True
louisville,2026,2026-2027,ACCT,310,Introduction to Accounting Information Systems,"An introduction to Accounting Information Systems, covering systems and control concepts, procedures and technologies, as well as systems development processes and software applications.If students are double-majoring in accounting and finance, they should take ACCT 301 or ACCT 501 rather than FIN 305 .",Professional,undergraduate,False,False,False,False,False,True
louisville,2026,2026-2027,ACCT,315,Taxation for Business Entities,"An introduction to federal income taxation with an emphasis on the taxation of business entities, including C Corporations, S Corporations, Partnerships, Limited Liability Companies, and Sole Proprietorships.  Topics include issues relating to the formation, operation, reporting requirements, and termination of entities.  The course will also cover tax consequences resulting from transactions between entities and owners.   Students will also acquire the skills necessary to perform tax research and prepare federal tax returns.",Professional,undergraduate,False,False,False,False,False,True
louisville,2026,2026-2027,ACCT,320,Managerial Cost Accounting,"Accumulating, reporting, and analyzing costs from the point of view of the management accountant. Emphasis is placed on the determination of costs relevant to a specific purpose, whether inventory valuation, control of current operation, or special decisions.",Professional,undergraduate,False,False,False,False,False,True
louisville,2026,2026-2027,ACCT,353,Accounting for Not-For-Profit Organizations,"The application of accounting to governmental units, charitable organizations, hospitals, and universities. Subjects include budgeting, account structure, utilization of accounting in decision making, financial statement presentation, and an introduction to cost-benefit analysis.If students are double-majoring in accounting and finance, they should take ACCT 301 or ACCT 501 rather than FIN 305 .",Professional,undergraduate,False,False,False,False,False,True
