university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
marietta,2026,2025-2026,ACCT,205,Fundamentals of Accounting,"This course provides an overview of financial and management accounting concepts and their application. The course helps students understand how financial statements convey the activities of a corporation, and the way they are used by investors, creditors, and managers for business decision-making. Basic financial statement analytical tools are used to analyze financial condition, performance, and cash flows. Students will learn how accounting information supports management planning, control, and decision-making. Cost behavior, budgeting, and performance measurement are explored",Professional,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ACCT,410,Auditing,"Auditing introduces students to the auditor's environment, ethical standards, legal responsibilities and reporting requirements. Sampling and testing procedures used to attest to internal control systems and account balances will be explained.",Professional,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ACCT,303,Intermediate Accounting III,Intermediate Accounting III is the third of a three-semester sequence of courses which provide detailed study of the theory and practice of financial accounting in the United States. The course prepares you to handle matters related to GAAP financial reporting on specialized topics related to the income statement and balance sheet.,Professional,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ACCT,420,Federal Income Taxation,This course provides an introduction to individual and corporate taxation. The focus of the course will be to familiarize students with the various tax forms and tax law with emphasis on tax research and client communication. Offers a foundation for the accountant as a tax advisor to individuals and small business owners.,Professional,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ACCT,421,Advanced Federal Income Taxation,"This course provides an introduction to the federal taxation of non-individual entities. The focus of the course will be to familiarize students with various tax forms and tax law with emphasis on tax compliance and preparation with regards to corporations and partnerships, as well as other selected topics.",Professional,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ACCT,460,Accounting Research,This capstone course introduces students to research on current issues in accounting using the online Accounting Standards Codification database. Prepares students for the for the business simulations contained in the Uniform CPA Examination. Emphasizes making the transition from student to professional student to professional through seminars and events with local accounting practitioners and business people.,Professional,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ACCT,497,Accounting Internship,,Professional,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ART,101,Drawing I,"Fundamentals of drawing.  Perspective, line, form, and composition used for representational studies from nature, and still life. Additional fees apply.",Humanities,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ACCT,311,Cost Accounting,"Study of the process of measuring, interpreting, and communicating information that assists managers in achieving in achieving organizational goals. Topics include planning and controlling, costing products and services, analyzing performance variances and liking performance to strategy.",Professional,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ACCT,320,Accounting Information Systems,"Accounting Information Systems is concerned with the way information systems (computerized and semi-computerized) impact how accounting data is captured, processed, and communicated. The course introduces you to the people, technology, and operation of accounting information systems and concentrates on evaluating and developing effective internal controls for these systems.",Professional,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ART,102,Drawing II,This course instruction focuses on expressive drawing and the drawing of the human figure. Various media will used in exploring contemporary modes of drawing. Additional fees apply.,Humanities,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ACCT,401,Advanced Accounting,"Covers advanced accounting issues that are encountered regularly by the accounting professional. Topics include acquisitions and consolidated financial reporting for complex business structures, financial reporting to the SEC for publicly traded companies, accounting concepts for partnerships, governmental entities, and non-profit organizations.",Professional,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ACCT,206,Introduction to Financial Accounting,"Introduction to Financial Accounting is concerned with the system of gathering, processing, and communicating financial information to interested external users, primarily investors and creditors.  You will be introduced to the financial accounting process: measuring, processing, interpreting, and using accounting information for business decision-making.  Each semester special focus is given to the financial reports and business activities of three companies.",Professional,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ACCT,302,Intermediate Accounting II,Intermediate Accounting II is the second of a three-semester sequence of courses which provide detailed study of the theory and practice of financial accounting in the United States. The course prepares you to handle matters related to GAAP financial reporting on topics related to the balance sheet. Taken concurrently with ACCT 301 .,Professional,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ACCT,301,Intermediate Accounting I,"Intermediate Accounting I is the first of a three-semester sequence of courses which provide detailed study of the theory and practice of financial accounting in the United States. The course prepares you to handle matters related to GAAP financial reporting: asset, liability and equity classification; revenue/expense recognition and income determination, cash flow analysis, and financial statement analysis.",Professional,graduate,True,False,False,False,False,True
marietta,2026,2025-2026,ART,224,Painting I-Oil,Introductory techniques and methods of oils or acrylics. Emphasizes compositional development. Additional fees required.,Humanities,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ART,321,Intermediate Painting,Emphasizes individual development in various media. Additional fees apply.,Humanities,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ART,360,Digital Illustration,"This illustration course is focused on expanding creativity through the process of ideation and
visualization. Students will build upon previous skills to explore more in-depth ways of making
professional quality illustrations in a variety of fields including: advertising, editorial, sequential, and
experimental approaches. Emphasis will be placed on process, research, and the production of portfolio
quality pieces. Students will explore a variety of traditional and digital techniques while developing
critical thinking and problem-solving skills. Additional Fees may apply.",Humanities,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ART,487,Senior Capstone,"The course outlines the Capstone process for each Studio Art and Graphic Design major. Students in this
course create a body of work (self-designed project) specifically for display in the senior show. The
student chooses media and focus of work and quantity/breadth of work is determined by student and
instructor.",Humanities,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ART,240,Introduction to Photography,"This course is an introduction to using the digital camera as a tool to create works of art. Students will become familiar with the basic methods and tools of digital photography, including editing, retouching, working with digital SLR cameras, and camera phones. This course will cover the basics of the medium and help students use the techniques of digital photography to express ideas in new creative and challenging ways. Emphasis will be placed on photography as a form of creative expression, with a heavy focus on the elements and principles of design and the history of the photographic medium. Additional fees apply.",Humanities,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ARTH,162,Design Appreciation,"Enables the appreciation of various forms of design within our local and global community. The class will address the role and importance of the designer and the designer's creation within modern and historical context, providing opportunity for aesthetic experiences and a foundation for aesthetic judgment of design within modern society.",Humanities,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ARTH,161,Art Appreciation,"Offers aid in development of appreciation of various forms and styles of art, to provide opportunity for aesthetic experiences and foundation for aesthetic judgments.",Humanities,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ART,342,Advanced Photography,"This course will allow students with a basic knowledge of photography and photographic
principles to expand on the technical, creative, and practical applications of digital photography
as a mode of fine art and personal expression. Students will work with advanced shooting
modes on the DSLR, explore continuous lighting techniques in the studio, and work with
advanced methods of printing and presentation. Development of concept, artistic research, and
self-evaluation will be emphasized through process journaling, written assessments, and
critique. Additional fees apply.",Humanities,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ART,324,Advanced Oil Painting,Advanced techniques of oil painting. Emphasizes expressive and interpretive handling of the medium. Additional fees apply.,Humanities,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ART,347,Monoprint,"One-of-a-kind printmaking process using black and colored inks to create single, unique printed images on the etching press. The monoprints may be further enhanced with color pencils, acrylic paints, and collage techniques. Additional fees apply.",Humanities,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ARTH,262,Survey of Western Art II,"An introduction to the history of western art from about 1400 C.E. to the present. Focusing on specific artists and their creative pursuits, the class introduces students to some of the major western artistic movements, including the Renaissance, Impressionism, Post-Impressionism, Surrealism, and Abstract Expressionism.",Humanities,graduate,False,True,False,False,False,True
marietta,2026,2025-2026,ART,343,Video & Time-Based Art,"Students are introduced to the art of storytelling and the moving image through the use of lens-based media. Topics covered will include narrative, video art, and experimental strategies. Lectures and projects focus on the techniques and practices of time-based work including video, animation, sound, and performance. Students will explore these various forms of time-based media through multiple projects and readings, while learning about the historical and contemporary contexts of durational art with an emphasis on viewing and responding to important works. Additional fees apply.",Humanities,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ART,311,Printmaking,"A printmaking course in a variety of print media including silk screen, relief printing, etching, and/or monotype. Additional fees apply.",Humanities,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ARTH,373,Art and Gender,"Investigation of art and gender issues, including the female in art, women as subject by masculine and feminine artists, and image and gender identity. Geographic and chronological focus varies.",Humanities,graduate,True,False,False,False,False,True
marietta,2026,2025-2026,ASTR,106,Planetarium Seminar,"Learn to use the Anderson Hancock Planetarium. After several weeks of hands-on training in the planetarium, students will help give live public shows and develop new materials for future presentations. The course will meet for two hours per week for first five weeks of semester. Later in the semester, students will participate in roughly three hours per week of shows, planetarium practice, and show development. Public shows may occur during the day or in the evening.",STEM,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ARTH,261,Survey of Western Art I,"An introduction to the history of western art from the prehistoric through Gothic times, or a period ranging roughly from 25,000 BCE to 1400 C.E. The objective of the class is to study the works of art from the perspective of the people that made and used them and to understand their role in shaping the modern world.",Humanities,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ASTR,305,Big Bang and Beyond; Modern Cosmology,"Still have questions about the Universe? In this course, we will consider some of the broadest scientific questions imaginable. Topics include the Big Bang, the Cosmic Microwave Background, the formation of structure within the Universe, dark matter, dark energy, and the future prospects for our Universe, trillions of years from now. This course is appropriate for all interested students.",STEM,graduate,False,False,False,False,False,True
marietta,2026,2025-2026,ASTR,306,Astrophysics,"Delve deeper into stars and our own Milky Way While earlier astronomy classes are primarily qualitative in nature, here we will take a quantitative approach to learn more about the inner workings of stars. Topics include energy generation in stars, stellar structures, stellar evolution, white dwarfs, neutron stars, the interstellar medium and determining the structure of our Galaxy from within.",STEM,graduate,False,False,False,False,False,True
