university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
marshall,2026,2026-2027,ACC,198,Accounting Professionalism,"Introduction to the accounting profession, career options, professional responsibilities, and codes of conduct. Professionalism, networking, interviewing, job search, and technical writing skills are developed.",Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,215,Intro Financial Accounting(CT),"Introduction to financial accounting principles and procedures, including transaction analysis, journalizing, financial statement preparation, business formations, internal control, and financial statement analysis.  This course meets Core 1/Critical Thinking requirement.",Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,216,Intro Managerial Accounting,"Introduction to managerial accounting for use in managerial control and decision making.  the course explores cost application methods, budgeting, profitability analysis, and decision-making models.",Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,280,Special Topics,,Other,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,310,Acct for Entrepreneurs,"Principles, concepts and problems of accounting relevant to decision making for entrepreneurs
including: pro forma financial statements, cash flow, securing financing and cost structures.
NOT OPEN TO STUDENTS IN THE LEWIS COLLEGE OF BUSINESS",Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,311,Intermediate Accounting I,Study of U.S. and International accounting standards related primarily to assets and financial statement preparation.  Accounting standards research and application of Excel are integrated throughout the course.,Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,312,Intermediate Accounting II,Study of U.S. and International accounting standards related primarily to liabilities and revenue recognition.  Accounting standards research and application of Excel are integrated throughout the course.,Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,318,Cost Accounting I,"A study of fundamental cost accounting concepts and objectives including project cost accumulation, cost-volume-profit analysis, direct costing, budget techniques, standard costing, and differential cost analysis.",Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,341,Acc Information Systems,"Introduction to accounting systems. Emphasis on concepts of analysis, design, and implementation of accounting systems with attention on internal and audit trail.",Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,348,Federal Taxation,Problems and procedures of income tax accounting.,Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,364,Forensic & Investigative Acct,This course introduces students to forensic accounting focusing on criminal litigation and investigations of fraud.,Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,412,Governmental Accounting,A study of the use of accounting information in the financial management of governmental and non-profit entities.,Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,414,Adv Accounting Problems,Selected problems in advanced accounting principles and procedures.,Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,418,Managerial Accounting,The managerial approach to budgetary control.,Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,429,Auditing I,A study of the theory and procedures of auditing and the legal and social responsibilities of the auditor.,Other,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,435,Internal Auditing,"This course discusses the applicable current internal auditing theory and procedures, including a review of corporate governance and risk assessment.",Other,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,440,Accounting Analytics,This course studies the impact of data analytics on accounting and auditing and explores when and how various analytical procedures and tools can be used to address business questions.,Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,448,Federal Income Tax II,"Advanced course in taxation with emphasis on corporations, partnerships, estates, trusts, gifts, valuation and liquidity problems, and tax administration and practice.",Other,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,480,Special Topics,"Study of an advanced topic not normally covered in other courses.  Accounting majors only, with permission of Department Chair.",Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,485,Independent Study,,Other,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,490,Internship,A supervised internship in which the student works for a business firm/agency to gain practical experience in the student's major. The program of work and study will be defined in advance and the student's performance will be evaluated.,Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACC,499,Professional and Ethics Sem,"Designed to increase the student's awareness of the accounting environment, emphasizing ethics.  Communication skills are improved through impromptu speaking, written reports, group projects and formal presentations.  Capstone Course.",Social Sciences,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACE,201,Intro to Career & Technical Ed,"Designed to provide the new teacher guidance and supervision in implementing strategies in instructional planning, student engagement, and classroom management. Incorporates reflection and basic assessment strategies for students and instruction.",Professional,lower,no,no,no,no,no,no
marshall,2026,2026-2027,ACE,301,Occupational Analysis,"This course assists the CTC instructor in analyzing, classifying, and describing occupations, analysis procedures for determining CTC education curriculum, course content, technical skills, and knowledge.",Professional,lower,no,no,no,no,no,no
