university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
messiah,2026,2025-2026,ACCT,131,Survey of Accounting,"The role of accounting in business, preparation and use of financial statements, contents of certain accounts, business forms, and budgeting concepts, needed for external and internal decision-making. Fulfills Writing in the Major for the Department of Business.",Professional,undergraduate,False,False,False,False,False,True
messiah,2026,2025-2026,ACCT,343,Cost Accounting,"Job order and process cost accounting as well as standard cost systems. Includes the quantitative aspects of managerial accounting, cost-volume-profit analysis, budgeting, and the concept of relevant costs in managerial decisions. A computer spreadsheet program is utilized for each topic.",Professional,undergraduate,False,False,False,False,False,True
messiah,2026,2025-2026,ACCT,247,Basic Income Tax,"Provisions of the Internal Revenue Code and the revenue codes of the state of Pennsylvania and various local governments as they relate to low income, elderly, and handicapped individuals are presented. Part of the course requirements include the preparation of tax returns during the tax filing season.",Professional,undergraduate,False,False,False,False,False,True
messiah,2026,2025-2026,ACCT,347,Federal Individual Income Taxes,"Identify and apply provisions of the Internal Revenue Code that relate to individuals. Use tax laws and tax research to determine liabilities, examine case studies and prepare tax returns.",Professional,undergraduate,False,False,False,False,False,True
messiah,2026,2025-2026,ACCT,301,Intermediate Accounting I,"Critical study of generally accepted accounting principles as they relate to financial reporting, including theoretical foundations, accounting model and information processing, financial statements, future and present value, and inventory management and valuation. A component of this course is dedicated to learning writing and presentation skills related to the practice of accounting.",Professional,undergraduate,False,False,False,False,False,True
messiah,2026,2025-2026,ACCT,141,Financial Accounting,"Accounting procedures, use of special journals, general and subsidiary ledgers, preparation of financial statements, and contents of accounts and external reporting concepts.",Professional,undergraduate,False,False,False,False,False,True
messiah,2026,2025-2026,ACCT,291,Tax Practicum,"Students will receive training in the provisions of the Internal Revenue Code and the revenue code of the state of Pennsylvania and various local governments as they relate to low income, elderly, and handicapped individuals. Students will apply their training to preparations of tax returns during the tax filing season.",Professional,undergraduate,True,False,False,False,False,True
messiah,2026,2025-2026,ACCT,302,Intermediate Accounting II,"Analysis of topics including investments, asset valuation, revenue recognition, asset utilization, short-term and long-term liabilities. A component of this course is dedicated to working within groups and learning skills necessary for effective communication within a business context.",Professional,undergraduate,False,False,False,False,False,True
messiah,2026,2025-2026,ACCT,360,Topics in Accounting,Study of selected topics in accounting. Content dependent on faculty and student interest.,Professional,undergraduate,False,False,False,False,False,True
messiah,2026,2025-2026,ACCT,348,Federal Business Taxes,"Identify and apply provisions of the Internal Revenue Code that relate to sole proprietorships, partnership, corporations, estates and trusts. Use tax laws and tax research to determine liabilities, examine case studies and prepare tax returns.",Professional,undergraduate,False,False,False,False,False,True
