university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
montanastate,2026,2026-2027,AC,501,Chemical Dependency Counseling I,"(Sp)  ACCO-CERT, CNSL-MS, and SCNS-MED majors only. This course will provide an overall introduction to addiction counseling. The class will also provide an introduction to the assessment and treatment of alcoholism and other chemical dependencies, with emphasis on the application of specific clinical strategies to this specialized problem area. Since substance abuse may underlie or coexist with a variety of other problems, including family violence, mental illness, health issues, etc., the mental health professional trained in the assessment and treatment of chemical dependency will be better able to assess and intervene appropriately.",Other,graduate,False,False,False,False,False,True
montanastate,2026,2026-2027,AC,502,Psychopharmacology and Addictions,"(Sp)  ACCO-CERT, CNSL-MS, and SCNS-MED majors only. This course examines medications that are commonly prescribed for psychiatric disabilities; descriptions of medication effects, interaction, and side effects.",Other,graduate,False,False,False,False,False,True
montanastate,2026,2026-2027,AC,503,"Assessment, Treatment, Planning, and Ethics of Addiction Counseling I","(F)  ACCO-CERT, CNSL-MS, and SCNS-MED majors only. This course is designed to examine the psychological, behavioral, sociological, and cultural underpinnings in the assessment and treatment of clients affected by addictions. The course explores a variety of helping strategies for reducing the negative effects of substance use, abuse, dependence, and addictive disorders (CACREP, Section III, C.5.). Ethical issues related to the field of Addictions Counseling will also be explored. Department of Health  Human Development.",Other,graduate,False,False,False,False,False,True
montanastate,2026,2026-2027,AC,504,Alcohol and Drug Studies,"(F)  ACCO-CERT, CNSL-MS, SCNS-MED, and HLTH-MS majors only. This course is designed to offer in-depth exploration of alcohol and drug studies. Students will integrate overview information with cutting edge research within the field of addictions as it pertains to a particular population or topic specific to addiction counseling.",Other,graduate,False,False,False,False,False,True
montanastate,2026,2026-2027,AC,505,Cross Cultural & Ethical Considerations in Addictions Counseling,"(Su)  ACCO-CERT, CNSL-MS, SCNS-MED, and HLTH-MS majors only. This course is designed to examine cultural and ethical constructs related to addictions counseling.  The focus will be on current literature, theories, approaches, strategies, and techniques shown to be effective when working with populations of clients with addictions.",Other,graduate,False,False,False,False,False,True
montanastate,2026,2026-2027,AC,506,Group Counseling in Addictions Settings,"(F)  ACCO-CERT, CNSL-MS, SCNS-MED, and HLTH-MS majors only. This course provides students with the foundational concepts of group counseling within addiction settings. Topics will include group development, group roles, leadership roles/interventions, group planning/development, multicultural issues, and ethical issues relating to group counseling within addictions settings.",Other,graduate,False,False,False,False,False,True
montanastate,2026,2026-2027,AC,507,Systems and Settings in Addictions Counseling,"(Sp)  ACCO-CERT, CNSL-MS, SCNS-MED, and HLTH-MS majors only. This course fulfills the Treatment Planning and Documentation requirement for licensure as an Addictions Counselor in Montana. You will learn about systemic perspectives in addiction counseling, roles and duties of addictions counselors, addiction counseling licensure/certification, careers in addiction counseling, and clinical documentation in various addictions settings.",Other,graduate,False,False,False,False,False,True
montanastate,2026,2026-2027,AC,508,Counseling Theories in Addiction Settings,"(Su)  ACCO-CERT, CNSL-MS, and SCNS-MED majors only. This course examines multiple counseling theories and their application in the addictions setting. Development across the lifespan and theoretical approaches specific to addiction will also be examined.",Other,graduate,False,False,False,False,False,True
montanastate,2026,2026-2027,AC,509,Assess Treat Plan Addiction II,"(Sp)  ACCO-CERT, CNSL-MS, and SCNS-MED majors only. This course covers addiction assessment and patient placement, including the American Society of Addiction Medicine Patient Placement Criteria.  The course explores a variety of helping strategies for reducing the negative effects of substance use, abuse, dependence, and addictive disorders.  Department of Health  Human Development.",Other,graduate,False,False,False,False,False,True
montanastate,2026,2026-2027,AC,510,Chem Dependency Counseling II,"(F)  ACCO-CERT, CNSL-MS, and SCNS-MED majors only. This course provides instruction on chemical dependency counseling, emphasizing specific clinical strategies.  Substance abuse may coexist with other problems, professionals trained in comprehensive understanding of addiction will be better able to assess, intervene and counsel clients.",Other,graduate,False,False,False,False,False,True
