university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
msstate,2026,2026-2027,ABE,1001,First Year Seminar,One hour lecture. First year seminars explore a diverse array of topics that provide students with an opportunity to learn about a specific discipline from skilled faculty members,STEM,undergraduate,True,False,False,False,False,True
msstate,2026,2026-2027,ABE,1073,Technology Design I.,"(Prerequisite: For AETB majors  or Consent of Instructor).  One hour lecture.  Four hours laboratory.  Introduction to design process and parametric solid modeling.  Standards for materials, processes and parametric solid modeling.  Standards for materials, processes, and documentation.  Experimental learning of manufacturing processes within precision measurement, joining, machining, forming",STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,1083,Technology Design II,"(Prerequisite: ABE 1073 or Consent of Instructor).  One hour lecture.  Four hours laboratory.  Teams work on design prototypes to meet real-world constraints (manufacturability, economics, safety).  Intermediate parametric solid modeling.  Emphasis on project planning, scheduling, oral/written communication",STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,1863,Engineering Technology in Agriculture,"Three hours lecture. Introductory course emphasizing use of fundamentals for solving problems related to soil and water management, electrical power and control, agricultural machinery, and environmental control",STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,1912,Computational Problem Solving for Biological Systems,(Open to freshmen and sophomores or first-semester transfer students only). One hour lecture and two hours lab/week. Introduction to computer-based problem-solving techniques in Biosystems Engineering. Emphasis on the concepts and hands on implementation of computer programing to solve problems in distinct disciplines of biosystems engineering,STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,1922,Introduction to Design and Fabrication for Biological Systems,"(Prerequisite: ABE 1912 ). One hour lecture. Two hours laboratory. Introduction to the process of engineering design, including project management, computer-aided design, fabrication methods, technical writing and oral presentation",STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,2173,Principles of Agricultural and Off-Road Machines,"Two hours lecture.  Three hours laboratory.  Operational principles and construction of agricultural and off-road vehicles.  Engine, electrical, and fluid power systems.  Mechanical power transmission, traction performance, and human factors",STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,2543,Precision Agriculture I,"(Prerequisite:  Sophomore standing and MA 1313 ).  Two hours lecture.  Two hours lab.  This introductory course highlights site-specific crop management techniques.  Topics include:  Best Management Practices, economic and physical farm production models, and measurement of variability (same as PSS 2543 )",STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,2873,Land Surveying,(Prerequisite: MA 1323 or equivalent). Two hours lecture. Two hours laboratory. Fundamentals of measurements and traverse computations. Public land surveys. Surveying practice in traverse and topographic surveys,STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,2990,Special Topics in Agricultural and Biological Engineering:  1-9 hours.,Credit and title to be arranged. This course is to be used on a limited basis to offer developing subject matter areas not covered in existing courses. (Courses limited to two offerings under one title within two academic years),STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,3303,Transport Phenomena in Biological Systems,(Prerequisite: PH 2223 and ABE 1912 ). Three hours lecture. Principles of steady state and unsteady state energy and mass transfer as applied to biological systems,STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,3413,Bioinstrumentation I,"(Prerequisite: PH 2223 or equivalent). Two hours lecture. Two hours laboratory. Applied circuit analysis, electrodes and transducers, stress and strain, temperature measurements, human physiology, digital and programmable instrumentation",STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,3513,The Global Positional System and Geographic Information Systems in Agriculture and Engineering,"(Prerequisite: MA 1313 and MA 1323 , or equivalent). Three hours lecture. Basic theory and hands-on application of global positioning system (GPS) technology/hardware, and geographic information systems (GIS) software, for precise positioning in agriculture and engineering",STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,3700,Internship in Gin Management and Technology:  1-6 hours.,(Prerequisite: Minimum of junior standing or permission of instructor). Credits to be arranged. Work experience in approved cotton gins for Agricultural Engineering Technology and Business majors with an emphasis in Gin Management and Technology,STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,3773,Current Topics in Biomedical Engineering,Three hours lecture. This course offers an introduction to Biomedical Engineering for sophomore and junior level Biological and Biomedical Engineering students. This course will introduce students to current areas of research to advance the field of Biomedical Engineering. The course will also cover ethics related to Biomedical Engineering,STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,3813,Biophysical Properties of Materials,"(Prerequisite: PH 2213 ). Two hours lecture . Two hours laboratory. Physical properties of biological products and materials. Primary emphasis on measurement and evaluation of dimensional, mechanical, rheological, transport, thermal, electrical, and optical properties",STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,4000,Directed Individual Study in Agricultural and Biological Engineering:  1-6 hours.,Hours and credits to be arranged,STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,4163,Agricultural and Off-Road Machinery Management,"(Prerequisites: ABE 2173 or consent of instructor). Two hours lecture. Two hours laboratory. Selection, sizing and operation machine systems using cost analysis and systems techniques. Emphasis on agricultural machines used in farming; tillage, planting, harvesting, and conveying agricultural materials",STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,4263,Soil and Water Management,"(Prerequisite: ABE 2873 or Consent of Instructor). Two hours lecture. Two hours laboratory. Introduction to soil and water management principles; elementary hydrology, erosion control, irrigation, best management practices, and water quality",STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,4313,Biological Treatment of Nonpoint Source Pollutants,Three hours lecture. Fundamental principles and design of biologically based treatment systems used to remove pollutants and protect receiving waters from agricultural and urban/suburban storm water runoff,STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,4323,Physiological Systems in Biomedical Engineering,(Prerequisites: BIO 1504 or equivalent; EM 3313 or equivalent; ABE 3813 ; ABE 4803 or equivalent). Three hours lecture. Mathematical description and modeling of the behavior of physiological systems significant to biomedical engineers,STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,4383,Building Construction,"(Prerequisites: EG 1143 , junior standing.) Three hours lecture. An introduction to building terms, construction materials, structural components, construction methods, and mechanical systems pertaining to residential and commercial structures",STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,4423,Measurement and Control in Biological Systems,(Prerequisite: ABE 3413 or graduate standing). Two hours lecture. Two hours laboratory. Theory; application of automated measuring and control systems in biological sciences. Includes design/use of transducer interfaces; electronic signal conditioning; data logging; microprocessor based systems,STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,4433,Geospatial Computing for Biological Systems,"(Prerequisite: Senior or graduate standing or consent of instructor). Two hours lecture. Two hours laboratory. Course provides conceptual/practical introduction to geospatial data analysis and programming language for biosystems applications. Course discusses multiple available data sources, image processing techniques, and data visualization/interpretation. Students develop proficiency in programming concepts",STEM,undergraduate,False,False,False,False,False,True
msstate,2026,2026-2027,ABE,4443,Spectroscopic Sensing in Biological Systems,"(Prerequisite: Junior or graduate standing or consent of instructor). Three hours lecture. A comprehensive introduction to spectroscopic techniques and analysis in biosystems. Discuss the electromagnetic spectrum and its interaction with matter, UV-Vis-IR spectroscopy, other spectroscopic techniques, Agricultural and Biomedical applications of spectroscopy, and spectroscopic data analysis",STEM,undergraduate,False,False,False,False,False,True
