university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
mwcc,2026,2026-2027,ART,101,Introduction To Painting,"This studio course familiarizes the non-art major with the art of painting in oils and/or acrylics. Students learn basic fundamentals of color mixing and applying paint while painting from still life set-ups, portrait models and other typical subject matter. Discussions and reproductions introduce students to relevant painters and their work and a general appreciation of the craft of painting. Some art materials must be purchased for this course. Not open to art majors.",Humanities,undergraduate,False,False,False,False,False,True
mwcc,2026,2026-2027,ART,103,Introduction to Sculpture,"This studio course introduces principles of sculpture and three-dimensional design to the student with little or no previous art experience. The emphasis will be on learning to skillfully manipulate different materials and to develop an understanding of art concepts as they apply to the practice, viewing, and discussion of art. The student will gain an appreciation for three-dimensional work as they directly experience the process inherent in creating art. A range of media will be used. Not open to art majors.",Humanities,undergraduate,False,False,False,False,False,True
mwcc,2026,2026-2027,ART,105,Introduction To Drawing,"This course is designed as an introductory-level course for those with little or no previous experience in drawing. Its aim is to expose the student to a range of media and working approaches to the various problems of drawing. The task of learning to see will be met as a combination of close observation and spontaneous response to the media of drawing. In class, as well as out of class, drawings will be initiated by the students themselves. Subjects will include landscape, still life, interiors, portrait, and the clothed human figure.",Humanities,undergraduate,False,False,False,False,False,True
mwcc,2026,2026-2027,ART,109,Art History I,"This course is a chronological survey of the visual arts of the Western World from prehistoric times to the Renaissance. The course presents significant sculpture, architecture, and paintings of this period through slides, films, textual reproductions, and actual museum pieces. Lectures include critical, visual, and technical analysis of these works, biographical sketches of contributing artists, and relevant cultural and historical details that influenced the art of these centuries. The history of significant works of art from non-Western cultures will also be studied.  Spring. Prerequisites: ENG 098 , FYE 101 , RDG 098 , or placement.",Humanities,undergraduate,False,True,False,False,False,True
mwcc,2026,2026-2027,ART,110,Art History II,"This course is a chronological survey of the visual arts of the Western World from C.E. 1400 to present day. The course presents significant sculpture, paintings, and architecture of these years through slides and textual reproductions. Lectures include critical, visual, and technical analysis of these works, biographical sketches of the contributing artists, and the relevant cultural and historical events and personages that influenced and were influenced by the art of these centuries. Chapters on Islamic, Asian, African, North & South American Art introduce students to significant culturally diverse historical and contemporary works of art with an expansive global view on the history of art.  Fall. Prerequisites: ENG 098 , FYE 101 , RDG 098 , or placement.",Humanities,undergraduate,True,False,False,False,False,True
mwcc,2026,2026-2027,ART,212,Portfolio and Digital Tools,"This capstone course provides the student with practical skills and knowledge essential in preparing for future education or a career in the visual arts, articulating their identity and place in the arts. Students will critique and assess accomplishments to develop a comprehensive portfolio of work, after individual reviews with each art faculty.  Program competencies and learning outcomes evaluated. Students focus on developing individual portfolios for their pursuits, researching and preparing application materials for bachelor's degree programs and opportunities in the arts, creating an artist's statement and resume, and advancing written and oral communication skills. Students are introduced to digital tools necessary for success. Photographing and documenting work, and creating promotional materials will be presented. Students develop a series of work to strengthen their final portfolio and create a PowerPoint artist’s presentation of their final portfolio and aspirations and present it to the class.  Required course for ART majors.  Spring. Prerequisites: ART 263 , ART 264 , and ART 269 .",Humanities,undergraduate,True,False,False,False,False,True
mwcc,2026,2026-2027,ART,241,Watercolor Painting,This course explores the basic techniques of working in the medium of watercolors. Exercises using transparencies and opaque techniques will be assigned. Slides of historical works by masters of the medium will be screened and discussed. Prerequisites: ART 105 or ART 263 .,Humanities,undergraduate,False,False,False,False,False,True
mwcc,2026,2026-2027,ART,251,Two-Dimensional Design,"Two-Dimensional Design presents the principles of expressive design on flat surfaces through directed activities in painting, drawing, collage, and use of digital tools. Students practice the use of line, shape, color, value, and other design fundamentals. Lectures, critiques, discussions, and an exploration of diverse works of art further engage students in discovering what constitutes good design. Students will need to buy most of the course materials. Prerequisites: ENG 098 , FYE 101 , RDG 098 , or placement; ART 263 is recommended.",Humanities,undergraduate,True,False,False,False,False,True
mwcc,2026,2026-2027,ART,252,Three-Dimensional Design,"This course introduces students to the principles, processes, and materials often used to create three-dimensional work and prepares students for the sculpture course.  Students use close observations to study geometric and organic objects and construct forms with materials such as cardboard, foam, plaster, or clay while exploring the spatial context of parts to the whole in good design. Issues of scale and proportion are introduced, followed by measuring, drafting, and fabrication/refabrication. Students learn basic mold-making techniques and complete a portrait study in clay. Additional assignments stress the three-dimensional design aspects of weight, mass, density, rhythm, and tension and how they may be used to recreate objects from life as well as produce work based on abstraction. Diverse work by sculptors and designers, with a range of approaches and processes for working three-dimensionally, are presented.  Lectures, demonstrations, discussions, and critiques further engage students in their understanding of three-dimensional design.  Additional homework beyond class meeting times may be required. Prerequisites: ENG 098 , FYE 101 , RDG 098 , or placement.",Humanities,undergraduate,True,False,False,False,False,True
mwcc,2026,2026-2027,ART,253,Painting I,"Painting I offers basic instruction in oil and/or acrylic painting and is intended for art majors and other students with an art background. Class and home assignments allow the student to practice mixing colors and manipulating paint. Accurate translation of observed color, form, and space is emphasized. Personal expression is encouraged. Students also learn about brush selection, surface preparation, pigment composition, and the use of various mediums. Building and stretching a canvas and preparing a painting for exhibition will be presented. Lectures, discussions and critiques familiarize students with the history of painting from various cultures and what constitutes good painting. Students are responsible for supplying most of the materials needed for the course. For ART and LART majors only.  Spring. Prerequisites: ART 263 or permission of Division Dean.",Humanities,undergraduate,False,False,False,False,False,True
