university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
ncsu,2026,2026-2027,AA,500,Analytics Tools and Techniques,"This course equips the student with basic and advanced computer programming skills needed to use industry-standard analytics tools for data analysis, including but not limited to: data access and management, data cleaning, data mining, text mining, geospatial analytics, forecasting, and optimization.    Restricted to AA majors.",Other,graduate,False,False,False,False,False,True
ncsu,2026,2026-2027,AA,501,Analytics Foundations,"This course equips the student with basic knowledge of statistics required for further study in analytics. Topics include, but are not limited to: Exploratory Data Analysis, Linear Regression, Multiple Linear Regression, Regression Diagnostics, Logistic Regression, ANOVA, Cluster Analysis, Analysis of Tables, and Survey Data Analysis. Restricted to AA major.",Other,graduate,False,False,False,False,False,True
ncsu,2026,2026-2027,AA,502,Analytics Methods and Applications I,"This course equips the students with the methods and applications of advanced analytics. Topics include, but are not limited to: Time Series and Forecasting, Geospatial Data Analytics, Linear Algebra, Data Mining, Survival Data Analysis and Logistic Regression Models. Restricted to AA major.",Other,graduate,False,False,False,False,False,True
ncsu,2026,2026-2027,AA,503,Analytics Methods and Applications II,"This course equips the student with the methods and applications of advanced analytics. Topics include, but are not limited to: Advanced Data Mining, Text Mining, Financial Analytics, Risk Analytics, Marketing Science and Customer Analytics, Linear and Non-Linear Programming. Restricted to AA major.",Other,graduate,False,False,False,False,False,True
ncsu,2026,2026-2027,AA,504,Analytics Practicum I,This course equips the student with the knowledge and skills needed to conduct and present large-scale studies based on advanced analytics. Student teams conduct analysis using large amounts of real-world data. Restricted to AA major.,Other,graduate,False,False,False,False,False,True
ncsu,2026,2026-2027,AA,505,Analytics Practicum II,"A continuation of AA 504 , this course equips the student with the knowledge and skills needed to conduct and present large-scale studies based on advanced analytics. Student team conduct analysis using large amounts of real-world data. Restricted to AA majors.",Other,graduate,False,False,False,False,False,True
ncsu,2026,2026-2027,AA,591,Special Topics in Advanced Analytics,Special Topics in Advanced Analytics,Other,graduate,False,False,False,False,False,True
ncsu,2026,2026-2027,AA,691,Special Topics in Advanced Analytics,Special Topics in Advanced Analytics,Other,graduate,False,False,False,False,False,True
ncsu,2026,2026-2027,AFS,240,African Civilization,"An interdisciplinary study of centers of African civilization from antiquity to the 1960s.  Such centers include ancient Egypt, Nubia, Axum, Ghana, Mali, Songhai, Kilwa, Malinda, Sofola, Zinzibar and Monomotapa.",Other,undergraduate,False,False,False,False,False,True
ncsu,2026,2026-2027,AFS,241,Introduction to African American Studies,"Introduces students to the field of African American/Black Studies. A transdisciplinary approach is used that includes humanistic and social scientific disciplines. The course offers an intellectual and methodological framework for understanding the past, present, and future of people of African descent in the United States of America. Topical areas are covered that capture the historical, political, economic, cultural, sociological and psychological experiences of African Americans.",Other,undergraduate,False,False,False,False,False,True
ncsu,2026,2026-2027,AFS,248,Survey of African-American Literature,"African-American writing and its relationships to American culture and history.  Covers such writers as Wheatley, Douglass, Chesnutt, Dunbar, DuBois, Hughes, Hurston, Wright, and Morrison.",Other,undergraduate,False,False,False,False,False,True
ncsu,2026,2026-2027,AFS,260,History of Jazz,History of jazz and the contributions of major artists. Emphasis of the various styles that have contributed to this American art form. Investigation of structural forms in the jazz idiom.,Other,undergraduate,False,False,False,False,False,True
ncsu,2026,2026-2027,AFS,265,"Religion, Race, and Social Justice","This course examines the complex impact of religion on the politics of race in the American context. We will analyze how race, class, gender, and other social categories intersect with religion to maintain unjust social systems, and also how these intersections frame powerful acts of resistance. We will trace the historical roots of this intersection of American religion and race from slavery and Jim Crowism to contemporary society. The curriculum foregrounds African American voices through a variety of materials, including academic texts, documentaries, and social media.",Other,undergraduate,True,False,False,False,False,True
ncsu,2026,2026-2027,AFS,275,Introduction to History of South and East Africa,"The African kingdoms (Lunda, Buganda, and Zulu); the European encroachment; the origins of colonialism and the character of colonial societies and economies, South African apartheid; African protest, nationalism and independence.",Other,undergraduate,True,False,False,False,False,True
ncsu,2026,2026-2027,AFS,276,Introduction to History of West Africa,"The history of Western Africa. Forest civilizations and the slave trade, trade and the expansion of Islam, colonialism in West Africa; African nationalism and the achievement of independence; and postcolonial West Africa.",Other,undergraduate,True,False,False,False,False,True
ncsu,2026,2026-2027,AFS,305,Racial and Ethnic Relations,"Study of the nature of the relationships among racial and ethnic groups in societies around the world but with emphasis on the United States. Explores topics such as inequalities of wealth, power, and status, racism, conflict, and social boundaries among groups. Current trends in intergroup relations are discussed.",Other,undergraduate,True,False,False,False,False,True
ncsu,2026,2026-2027,AFS,342,Introduction to the African Diaspora,"Exploration of the global experiences of people of African descent.  Geographical areas include the Americas, Europe, Asia, and the Caribbean.  Exploration of the web of interrelated histories, social dynamics, and politico-economic processes affecting and reflecting world cultures and histories.  Foundational course for the exploration of methodological issues and theoretical concerns in the field of African Diaspora Studies.",Other,undergraduate,True,False,False,False,False,True
ncsu,2026,2026-2027,AFS,343,African American Religions,History of religions among Americans of African descent from the period of the development of the transatlantic slave trade to the present. Exploration of the complex ways religion has shaped the lifeworld of African Americans.,Other,undergraduate,False,False,False,False,False,True
ncsu,2026,2026-2027,AFS,344,Leadership in African American Communities,"Historical, cultural and political examination of the dynamics of leadership in African American communities.  Focus on the structure of leadership in the context of gender, ideology, and style.  Interdisciplinary examination of impact of leaders on broader American society.",Other,undergraduate,True,False,False,False,False,True
ncsu,2026,2026-2027,AFS,345,Psychology and the African American Experience,"Historical and cultural examination of the psychological experiences of African Americans from pre-American times to the present. Focus on mental health, personality, identity development, racism, oppression, psychological empowerment and an African-centered world view. Discussion of contemporary issues within the African American community.",Other,undergraduate,True,False,False,False,False,True
ncsu,2026,2026-2027,AFS,346,Black Popular Culture,"An interdisciplinary examination of contemporary black cultural expression in film, music, art, and the media. Emphasis on race, class, gender, and political discourse. This class may be scheduled with a small percentage of seats held for IDS Students Only.",Other,undergraduate,True,False,False,False,False,True
ncsu,2026,2026-2027,AFS,349,African Literature in English,"Anglophone literature in Africa.  Emphasis on the relationship between the African world-view and literary production and the persistent trend by African writers to connect literature with politics. Writers such as Achebe, Ngugi, Soyinka, and Serote.",Other,undergraduate,False,False,False,False,False,True
ncsu,2026,2026-2027,AFS,372,"African-American History Through the Civil War, 1619-1865","African background and continuity of the particular role, experience and influence of African Americans in the United States through the Civil War.",Other,undergraduate,False,False,False,False,False,True
ncsu,2026,2026-2027,AFS,373,African-American History Since 1865,The  history of African-Americans from the Reconstruction era through the Civil Rights movement of the 1950s and 1960s to the present.,Other,undergraduate,False,False,False,False,False,True
