university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
neiu,2026,2026-2027,ACAD,101A,Special Programs Seminar I: Help Program,,Professional,undergraduate,False,False,False,False,False,True
neiu,2026,2026-2027,ACAD,101B,Success Program Seminar I: Project Success,"This course covers college success strategies by: 1) developing students' self-awareness and self assessment; 2) promoting a better understanding and appreciation of educational, cultural and professional environments and specifically, the NEIU environment and 3) cultivating and enhancing students' learning, organizational and critical thinking skills as well as helping students define career options while integrating computer technilogy. Students will also understand and apply appropriate general education concepts.",Professional,undergraduate,False,False,False,False,False,True
neiu,2026,2026-2027,ACAD,101C,Special Programs Seminar I: Proyecto Pa'Lante,"This course covers college success strategies by (1) developing students' self-awareness and self assessment; (2) promoting a better understanding and appreciation of education, cultural and professional environments and specifically, the NEIU environment, and (3) cultivating and enhancing students' learning, organization and critical thinking skills and define career options while integrating computer technology. Students will also understand and apply appropriate general education concepts.",Professional,undergraduate,False,False,False,False,False,True
neiu,2026,2026-2027,ACAD,101D,Special Programs Seminar I: Student Support Services,,Professional,undergraduate,False,False,False,False,False,True
neiu,2026,2026-2027,ACAD,102B,Success Program Seminar II: Project Success,"This course expands upon college success strategies as described in Acad Dev 101B- Success Program Seminar I: Project Success. The course is designed for students who successfully completed Acad Dev 101B- Success Program Seminar I: Project Success, but did not successfully complete the first Fall term at Northeastern, with a term grade point average of 2.0 or higher, based on the Project Success Achievement Agreement.",Professional,undergraduate,False,False,False,False,False,True
neiu,2026,2026-2027,ACAD,102C,Special Programs Seminar II: Proyecto Pa'Lante,This course covers college success strategies as described in ACAD-101C Special Program Seminar I: Proyecto Pa'Lante and is designed for students who have not successfully completed the first Fall term or have not earned a C or better grade in ACAD-101C at NEIU based on the Proyecto Pa'Lante Participation Agreement.,Professional,undergraduate,False,False,False,False,False,True
neiu,2026,2026-2027,ACAD,102D,Special Programs Seminar II: Student Support Services,,Professional,undergraduate,False,False,False,False,False,True
neiu,2026,2026-2027,ACAD,102E,Special Programs Seminar II: Project Success' Topics On Pan Africanism,"Designed to further increase the retention of primarily African American students by developing their self-esteem through continued emphasis on increasing reading and writing/research skills acquired through the study of Afican/African American people, culture and experiences.",Professional,undergraduate,False,False,False,False,False,True
neiu,2026,2026-2027,ACAD,102F,Special Programs Seminar II:Topics In The Asian American Experience,"Designed to further increase the retention of primarily Asian American students by developing their self-esteem through continued emphasis on enhancing reading, writing and communication skills acquired through the teaching of topics concerning the Asian-American culture and experience.",Professional,undergraduate,False,False,False,False,False,True
neiu,2026,2026-2027,ACAD,103,University Seminar,,Professional,undergraduate,False,False,False,False,False,True
neiu,2026,2026-2027,ACTG,201,Introduction To Financial Accounting,"Accounting is a system for measuring economic activities.  This course introduces to students the underlying assumptions, concepts, and methods of financial accounting regarding the recording, processing, and reporting of an organization’s economic activities in financial statements to external decision makers.  Prereq.: MATH-165 . Prerequisite: MATH-165 with a minimum grade of C.",Professional,undergraduate,False,False,False,False,False,True
neiu,2026,2026-2027,ACTG,202,Introduction To Managerial Accounting,"This course focuses on managerial accounting. It emphasizes the use of accounting information for management planning and control decisions. Topics include analysis of cost behavior, budgeting, and other managerial issues. Prereq.: MATH-165 and ACTG-201 . Prerequisite: ACTG-201 with a minimum grade of C and MATH-165 with a minimum grade of C.",Professional,undergraduate,False,False,False,False,False,True
neiu,2026,2026-2027,ACTG,300,Principles Of Accounting,"This course surveys the basic accounting concepts and procedures used in the preparation of financial statements, statement analysis and managerial planning and control. Topics covered include accounting for internal planning. The course is targeted toward undergraduate non-business-major students with no prior knowledge of accounting, to study and obtain an overall fundamental understanding and appreciation of the use of accounting information. This course cannot be counted for credit toward a major in business. Prerequisite: ( MATH-092 - 499 or MATH-092A - 499Z or NEIU Math Placement Result 30 - 40 or ACT Math 22 - 36 or Accuplacer College Level Math 020 - 120 or SAT Math 530 - 800 or Accuplacer Adv. Algebra & Func 237 - 300).",Professional,undergraduate,False,False,False,False,False,True
neiu,2026,2026-2027,ACTG,301,Cost Accounting I,"The course expands upon the study of accounting information that is needed by management to plan and control various operations of an organization and to price products and services.  Topics include job order and process costing systems, standard costing and variance analysis, budgeting, direct, absorption and throughput costing, and cost-volume-profit (including break-even) analysis. Requirement: All Foundation Courses Including ACTG-202 Prerequisite: ACTG-202 with a minimum grade of C.",Professional,undergraduate,False,False,False,False,False,True
neiu,2026,2026-2027,ACTG,306,Accounting For Non-Profit Organizations,A study of the special techniques employed in recording and reporting financial data of non-profit government units and private non-profit organizations. Prerequisite: ACTG-322 with a minimum grade of C.,Professional,undergraduate,False,False,False,False,False,True
neiu,2026,2026-2027,ACTG,307,Auditing Theory And Problems,"Auditing contributes to the reliability of financial and other data. This course, comprised of theory and philosophy of auditing, makes it an essential part of an accountant's knowledge. Topics include standards-general, field work and reporting, evidential matter, review of internal control, auditing techniques, practices, problem-solving, and a study of A.I.C.P.A. industry audit guides. Prerequisite: ACTG-322 with a minimum grade of C.",Professional,undergraduate,False,False,False,False,False,True
