university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
northpark,2026,2025-2026,ACSR,0100,Online Orientation,The Online Orientation introduces students to various university support resources and helps them to build technical skills for negotiating the course management system. This orientation is a requirement for new students entering the various graduate schools and School of Professional Studies as well as any traditional undergraduate student taking and online or hybrid course for the first time at North Park University. The Online Orientation must be completed by the second week of their academic course.,Other,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,ACSR,1030,Career Planning,"Students will explore decision making, goal setting, and values clarification and investigate options in majors and careers. Consideration will be given to the transition from the academic arena to the world of work.",Other,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,ACSR,0800,Online Orientation,,Other,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,ACSR,1020,Topics in Skills Development,"Specific instruction and practice in study/learning skills and approaches essential for academic success in college. Lecture, small group/individual tutorial format. Topics vary by term. While credit for this course applies toward graduation, the course may not be used to fulfill general education or major/minor requirements. Special restrictions: enrollment by placement or by action of the Student Academic Standing Committee.",Other,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,ACSR,1015,Flourishing Student Experience,"An introduction to skills and strategies essential to success at the university level. Topics range from time management to critical thinking skills. A focus on character development and reflection to ensure they belong and contribute to the NPU community. Students will explore these topics through lectures, small groups, individual appointments, and practical application. Special restrictions: enrollment limited to first year students.",Other,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,ACSR,1010,Critical Reading Skills,"The course is designed to provide instruction and practice in reading skills essential for academic success in college. The course is intended to meet the needs of the beginning college student and is organized to accommodate students with a wide range of reading abilities. While credit for this course applies toward graduation, the course may not be used to fulfill general education or major/minor requirements. Special restrictions: enrollment by placement.",Other,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,ACSR,0500,Online Orientation,The Online Orientation introduces students to various university support resources and helps them to build technical skills for negotiating the course management system. This orientation is a requirement for new students entering the various graduate schools and School of Professional Studies as well as any traditional undergraduate student taking and online or hybrid course for the first time at North Park University. The Online Orientation must be completed by the second week of their academic course.,Other,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,ACSR,1005,Foundations for Academic Success,"An introduction to skills and strategies essential to success at the university level. Topics range from time management to critical thinking skills. Students will explore these topics through lectures, small groups, individual appointments, and practical application. Special restrictions: enrollment by instructor permission; limited to first year students.",Other,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,ACSR,4970,Internship Planning,Please refer to Internship section of catalog for internship requirements and guidelines.,Other,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,AMUS,1000,Non-Credit Instruction,Students mayregister for this course only with permission of the School of Music Director of Operations.,Humanities,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,AMUS,1010,Composition,This course involves one-on-one instruction in composition.,Humanities,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,AMUS,1110,Piano,Students will gain practical music  experience through one-on-one  instruction. Beginner to advanced level  music lessons.,Humanities,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,ACSR,4920,Study Abroad Program,Study Abroad Placement Holder,Other,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,AMUS,1005,Applied Theory/Sight Singing Tutorial,This applied class is required for undergraduate students who are deficient in music theory and/or sight singing as determined by a placement test during orientation or by recommendation of the supervisor of the theory and aural skills curriculum. The class provides tailored instruction to prepare students to pass courses in the theory and aural skills course sequence.,Humanities,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,AMUS,1120,Harpsichord,Students will gain practical music  experience through one-on-one  instruction. Beginner to advanced level  music lessons.,Humanities,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,AMUS,1200,Voice,"Principles of breath control, tone placement, and correct diction aiming toward technical mastery of standard vocal literature. Repertoire for four years includes art songs in English, Italian, German, and French and the standard sacred solos as well as arias from opera and oratorios.",Humanities,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,AMUS,1130,Organ,Students will gain practical music  experience through one-on-one  instruction. Beginner to advanced level  music lessons.,Humanities,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,AMUS,1310,Viola,Students will gain practical music  experience through one-on-one  instruction. Beginner to advanced level  music lessons.,Humanities,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,AMUS,1300,Violin,Students will gain practical music  experience through one-on-one  instruction. Beginner to advanced level  music lessons.,Humanities,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,AMUS,1320,Violoncello,Students will gain practical music  experience through one-on-one  instruction. Beginner to advanced level  music lessons.,Humanities,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,AMUS,1330,String Bass,Students will gain practical music  experience through one-on-one  instruction. Beginner to advanced level  music lessons.,Humanities,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,AMUS,1350,Harp,Students will gain practical music  experience through one-on-one  instruction. Beginner to advanced level  music lessons.,Humanities,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,AMUS,1400,Trumpet,Students will gain practical music  experience through one-on-one  instruction. Beginner toadvanced level  music lessons.,Humanities,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,AMUS,1420,Horn,Students will gain practical music  experience through one-on-one  instruction. Beginner to advanced level  music lessons.,Humanities,undergraduate,False,False,False,False,False,True
northpark,2026,2025-2026,AMUS,1410,Trombone,Students will gain practical music  experience through one-on-one  instruction. Beginner to advanced level  music lessons.,Humanities,undergraduate,False,False,False,False,False,True
