university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
northwestern,2026,2026-2027,AFST,101-7,College Seminar (1 Unit),"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated.",Other,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,AFST,101-8,First-Year Writing Seminar (1 Unit),"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated.",Social Sciences,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,AFST,276-0,African Literature in Translation (1 Unit),Continental African literature. Content varies. May be repeated for credit with different topic. Taught with COMP_LIT 270-0 ; may not receive credit for both courses with same topic.,Humanities,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,AFST,392-1,Herskovits Undergraduate Research Award (1 Unit),2-course sequence required for recipients of the Herskovits Undergraduate Research Award. Consecutive enrollment required in AFST 392-2 .,Other,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,AFST,392-2,Herskovits Undergraduate Research Award (1 Unit),2-course sequence required for recipients of the Herskovits Undergraduate Research Award.,Other,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,AFST,395-0,Senior Research Seminar (1 Unit),Capstone seminar addressing both techniques of research and the substance of a significant issue in African studies. Students develop skills at formulating a research topic and organizing research.,Humanities,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,AFST,399-0,Independent Study (1 Unit),May be repeated for credit with change of topic.,Other,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,ANTHRO,101-7,College Seminar (1 Unit),"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated.",Other,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,ANTHRO,101-8,First-Year Writing Seminar (1 Unit),"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated.",Social Sciences,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,ANTHRO,211-0,Culture & Society (1 Unit),"Introduction to the comparative study of culture, exploring different types of social organization and their economic and political correlates in the context of contemporary globalization.",Social Sciences,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,ANTHRO,213-0,Human Origins (1 Unit),"Emergence of the human species through the process of organic evolution, emphasizing genetics, the fossil record, and comparison with our nearest living relatives.",Other,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,ANTHRO,214-0,Archaeology: Unearthing History (1 Unit),The evolution of culture from its earliest beginnings through the development of urbanism and the state. Principles of archaeological research.,Humanities,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,ANTHRO,215-0,The Study of Culture through Language (1 Unit),"The scope of linguistic anthropology, from the study of language as an end in itself to the investigation of cultures through the medium of human languages.",Social Sciences,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,ANTHRO,221-0,Social and Health Inequalities (1 Unit),"Bidirectional relationship between social (e.g., class, gender, and racial/ethnic) and health inequalities, including institutional/structural, individual/family/psychosocial, and biological mechanisms.",Other,upper,yes,no,no,no,no,no
northwestern,2026,2026-2027,ANTHRO,232-0,Myth and Symbolism (1 Unit),"Introduction to different approaches to the interpretation of myth and symbolism, e.g., Freudian, functionalist, and structuralist.",Other,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,ANTHRO,235-0,Language in Asian America (1 Unit),"Survey of linguistic anthropological topics relevant to Asian American communities, including bilingualism, code switching, language socialization, language shift, style, sociolinguistic variation, indexicality, media, and semiotics. ANTHRO 235-0 and ASIAN_AM 235-0 are taught together; may not receive credit for both courses.",Humanities,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,ANTHRO,238-0,Food in Culture & Society (1 Unit),"This class explores food in all its cultural and social dimensions: deep history and origins; social, economic and political organization of the modern food industry; and cultural significance. Individual research projects allow in-depth study of one food; speakers, videos and experiential assignments take students out of the classroom to meet the people who sell, make, and grow our food.",Social Sciences,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,ANTHRO,240-0,Anthropology of Money (1 Unit),"A survey of cultural and ethnographic approaches to money and finance. Topics of investigation include “primitive money,” the uses of money in religious and ritual practices, social and cultural meanings of numbers, mobile money, crypto-currency and other alternative currency systems, and the politics of central banking.",Social Sciences,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,ANTHRO,242-0,"Porous Borders? Geography, Power and Techniques of Movement (1 Unit)","At the advent of globalization scholars have argued that the movements of capital, commodities and people across nation-states have rendered their borders increasingly porous. The death of the nation-state was announced elsewhere. Yet, in the epoch of offshored refugee processing centers and border walls, this assumed porosity of borders begs a reexamination of broader geographies of power and techniques of movement.",Social Sciences,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,ANTHRO,255-0,Contemporary African Worlds (1 Unit),Use of key anthropological insights about value judgments and cultural relativism to examine the survival strategies and turbulent histories of contemporary African societies.,Other,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,ANTHRO,275-0,Introduction to Forensic Anthropology (1 Unit),"This course provides an introductory overview of forensic anthropology by reviewing a range of issues associated with human skeletal identification including recovery techniques, time since death, biological profile development, trauma analysis, mass disasters investigation, and ethical consideration in forensic anthropology. These will serve as a model for understanding the broader aspects of the interaction between anthropology and the medicolegal system.",Social Sciences,upper,no,no,no,no,no,no
northwestern,2026,2026-2027,ANTHRO,290-0,Topics in Anthropology (1 Unit),Intermediate work in areas of developing interest and special significance. May be repeated for credit with different topic.,Social Sciences,upper,no,no,no,no,no,no
