university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
odu,2026,2026-2027,AAST,100S,Introduction to African American Studies,"An interdisciplinary examination of the African American experience in America.  The course examines the historical and contemporary conditions of African American people.  It also explores the various modes of artistic expression, values and philosophical underpinnings of African American culture.",Other,undergraduate,False,False,False,False,False,True
odu,2026,2026-2027,AAST,105H,Interpreting the African Past,"This course offers students a critical approach to interpreting the history of Africa. A fast-paced survey of African history, it affords students a grounding in the major themes of African history. The course focuses on the major economic, social, and political institutions of Africa, past and present, and explores how historical developments assist comprehension of present-day Africa.",Other,undergraduate,False,False,False,False,False,True
odu,2026,2026-2027,AAST,201,Introduction to Historical Methods,"Required of all history and secondary education social studies majors. Recommended prior to upper-division course work. Examines methods of historical research and primary and secondary source analysis, inclusive of internet usage. Explores historiography and historical writing. Introduces students to issues in the philosophy of history.",Other,undergraduate,True,False,False,False,False,True
odu,2026,2026-2027,AAST,308,Research Design,Covers the design and implementation of quantitative and qualitative methods of inquiry in social sciences.,Other,undergraduate,False,False,False,False,False,True
odu,2026,2026-2027,AAST,310,Human Rights and Social Change in Africa,"This course examines historical social movements in Africa such as economic, ethnic, women's, political, and religious social movements.  This course will also link micro-level, meso-level, and macro-level implications for the social structures and cultures of various African nations and communities.",Other,undergraduate,False,False,False,False,False,True
odu,2026,2026-2027,AAST,316,Politics of Africa,"This course is intended to familiarize students with the struggles, advances, and setbacks of African peoples for state-building and socioeconomic development during the colonial and post-independence eras.",Other,undergraduate,True,False,False,False,False,True
odu,2026,2026-2027,AAST,320,Introduction to Research Methods,This course is an introduction to social research methods.  The primary purpose of this course is to survey the major research designs and research techniques that are the core of contemporary approaches used to study social phenomena as well as the lives and experiences of African Americans.  Ethical implications of social research and data analysis will also be covered.,Other,undergraduate,False,False,False,False,False,True
odu,2026,2026-2027,AAST,323,Sociology of Minority Families,"Examination and explanation of minority families' lives in relationship to other societal institutions and historical developments. The course focuses on issues of minority families and places these issues in a sociological framework, e.g., stratification, poverty and gender.",Other,undergraduate,True,False,False,False,False,True
odu,2026,2026-2027,AAST,361,African-American History to 1865,"The course examines African-American history from the African background through the Civil War. Emphasis is placed on an analysis of African-Americans' role in the political, economic, social and cultural life of the United States.",Other,undergraduate,False,False,False,False,False,True
odu,2026,2026-2027,AAST,368,Internship,"Individual practical experience in community-based organizations, public bureaucracies, administrative agencies and other organizations and firms.  Student can gain exposure in the not-for-profit and profit sectors.",Other,undergraduate,False,False,False,False,False,True
odu,2026,2026-2027,AAST,381,Africa in the 20th Century,"This course surveys the political, social and cultural history of colonial and post-independent Africa. Major themes include colonization and resistance, anti-colonial movements, social and cultural transformations, urbanization and popular culture and post colonial challenges.",Other,undergraduate,True,False,False,False,False,True
odu,2026,2026-2027,AAST,395,Topics in African American Studies,"These courses are open to majors and non-majors.  Ethnic studies majors may take these courses to satisfy requirements for the concentration.  These courses will appear in the course schedule, and will be more fully described in information distributed to all academic advisors.",Other,undergraduate,False,False,False,False,False,True
