university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
oit,2027,2026-2027,A&S,207,Seminar,,Other,undergraduate,False,False,False,False,False,True
oit,2027,2026-2027,A&S,207P,Seminar,,Other,undergraduate,False,False,False,False,False,True
oit,2027,2026-2027,A&S,295,Individual Studies,,Other,undergraduate,False,False,False,False,False,True
oit,2027,2026-2027,A&S,298,Reading and Conference,,Other,undergraduate,False,False,False,False,False,True
oit,2027,2026-2027,A&S,299,Laboratory Practice,,Other,undergraduate,False,False,False,False,False,True
oit,2027,2026-2027,A&S,307,Seminar,,Other,undergraduate,False,False,False,False,False,True
oit,2027,2026-2027,A&S,405,Reading and Conference,,Other,undergraduate,False,False,False,False,False,True
oit,2027,2026-2027,A&S,407,Seminar,,Other,undergraduate,False,False,False,False,False,True
oit,2027,2026-2027,A&S,427,Sem: Comm Organ Diag/Dev,,Other,undergraduate,False,False,False,False,False,True
oit,2027,2026-2027,A&S,428,Sem: Comm Organ-Diag/Dev,,Other,undergraduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,501,ABA Colloquium,,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,502,"Int Training, Sci & Prac ABA I",,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,503,Int Training Sci & Prac ABA II,,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,504,"Intro Training, Sci & Prac ABA",,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,507,Seminar,,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,511,Foundations of ABA,,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,512,Foundations of ABA II,,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,515,Basic Behavior Analysis,,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,516,ABA & Human Development,,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,521,Ethics,,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,522,Ethics & Profess Issues II,,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,524,Observations and Measurements,,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,525,Research Methods in ABA,,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,526,Behavioral Assessment,,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,527,Behaviorism,,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,531,Decreasing Behavior,,Other,graduate,False,False,False,False,False,True
oit,2027,2026-2027,ABA,532,Increasing Behavior,,Other,graduate,False,False,False,False,False,True
