university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
okstate,2026,2026-2027,ACCT,2003,Survey of Accounting,Introduction to financial and managerial accounting concepts and objectives. May not be used for degree credit with ACCT 2103 and ACCT 2203 .,Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,2103,Financial Accounting,Financial accounting concepts and the use of financial accounting information in decision-making.,Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,2203,Managerial Accounting,"Managerial accounting concepts and objectives, planning and control of sales and costs, analysis of costs and profits.",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,3001,Practicum in Professional Accounting I,Study of current and emerging issues in the accounting profession. Graded on a pass-fail basis.,Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,3003,Foundational Accounting Skills,Foundational skills and concepts underlying financial accounting and reporting. May not be used for degree credit with ACCT 3004 .,Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,3004,Foundational Accounting and Data Skills,Foundational skills and concepts underlying financial accounting and reporting and data analytics in accounting. May not be used for degree credit with ACCT 3003 .,Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,3013,Federal Income Taxation,Federal income tax and its relationship to business decision-making; primary emphasis on recognition of the important tax consequences that attach to business transactions and the impact on decision-making.,Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,3103,Intermediate Accounting I,Theory and concepts underlying financial accounting and reporting. Previously offered as ACCT 3433 and ACCT 3303. May not be used for degree credit with ACCT 3104 .,Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,3104,Intermediate Accounting I and Data Analysis,Theory and concepts underlying financial accounting and reporting. Foundational accounting data analytics skills. May not be used for degree credit with ACCT 3103 .,Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,3113,Intermediate Accounting II,Theory and concepts underlying financial accounting and reporting. Continuation of ACCT 3103 . Previously offered as ACCT 4433 and ACCT 3403.,Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,3203,Cost Accounting,"Cost accounting knowledge and skills required of early career accountants. Topics covered likely to include cost accumulation systems, allocating product costs, planning and controlling costs, standard costing, and profitability analysis.",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,3603,Accounting Information Systems and Data Analytic Tools,"Accounting information systems knowledge and skills required of early career accountants. Topics likely to include accounting system design and installation, and related internal controls, as well as relevant data analytic tools. Course previously offered as ACCT 4603.",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4033,Advanced Federal Income Taxation,"Federal income tax law applicable to individuals, corporations, partnerships, trusts and estates, and other specialized topics. Previously offered as ACCT 4013.",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4073,Tax Planning for Financial Professionals,"Fundamental tax law, income taxation for individuals and businesses, and advanced tax reduction strategies. Emphasis on practical application, teaching students how to understand the tax implications of various financial decisions. May not be used for degree credit with ACCT 5073 .",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4133,Advanced Accounting,"Advanced accounting knowledge and skills required of early career accountants. Topics likely to include accounting for business combinations and consolidations, accounting for governmental and not-for-profit entities. Previously offered as ACCT 4403.",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4233,Internal Auditing,"Internal auditing theory, procedures, and practices required of early career accountants. Previously offered as ACCT 4203.",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4503,External Auditing,"External auditing theory, procedures, and practices required of early career accountants.",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4553,Ethics for Public Accountants,"Ethics concepts and applications required of early career accountants. Topics likely to include basic theories of ethics, including moral reasoning, moral values, relativity and objectivity, freedom and responsibility. Lecture and case approach for examination of issues such as independence, integrity, objectivity, client relationships, employee-employer relations, advertising, preferential treatment, core values and the corporation, and corporate governance, such as Sarbanes-Oxley Act, Foreign Corrupt Practices Act, and SEC regulations. Some states, including Texas, California, Colorado, and Virginia, require the completion of an ethics course to be eligible to sit for the CPA Exam. May not be used for degree credit with ACCT 5453 .",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4623,Expanding Accounting Horizons in the U.S. for Non-Majors,"A visit to a region or regions within the United States. An integrated approach to the organization, economic, political, historical, and technological issues impacting the firms, industries, or standard setters visited. May not be used for degree credit with ACCT 4723 .",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4723,Expanding Accounting Horizons in the US,"A visit to a region or regions within the United States. An integrated approach to the organizational, economic, political, historical, and technological issues impacting the firms, industries, and standard settlers visited. Effect on the accounting profession of the firms, industries, and standard settlers visited is also examined. May not be used for degree credit with ACCT 4623 .",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4743,Oil and Gas Accounting,Generally accepted accounting practices and procedures in the oil and gas industry. May not be used for degree credit with ACCT 5133 .,Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4763,International Accounting Abroad (G),"A visit to a location or locations outside the United States. An integrated approach to the cultural, economic, political, historical, and technological effects of the region on international accounting. Comparison of the accounting issues of the region to that of the U.S.",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4901,Advanced Accounting Tools and Technologies,Advanced accounting analytics and technology skills.,Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4911,Practicum in Professional Accounting II,"Study of current and emerging issues in the accounting profession, focusing on the impact of emerging technology.",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4930,Accounting Projects,"Special topics, projects and independent study in accounting. Previously offered as ACCT 4010.

Offered for variable credit, 1-9 credit hours, maximum of 9 credit hours.",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4933,Internship in Accounting,"Supervised internship of at least 320 hours in public accounting, industry, government, or not-for-profit sector. Does not count toward upper-level accounting requirements for CPA Exam eligibility in all states. May not be used for degree credit with ACCT 5830. Graded on a pass-fail basis.",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4943,CIA Review,"Review of content and skills tested on the Certified Internal Auditor exam. Does not count toward upper-level accounting requirements for CPA Exam eligibility in all states. Graded on a pass-fail basis. Please see instructor for additional costs associated with the course and related materials. May not be used for degree credit with ACCT 4953 , ACCT 4963 , ACCT 4970 , ACCT 5994, or ACCT 5980 .",Professional,graduate,False,False,False,False,False,True
okstate,2026,2026-2027,ACCT,4953,CMA Review,"Review of content and skills tested on the Certified Management Accountant exam. Does not count toward upper-level accounting requirements for CPA Exam eligibility in all states. Graded on a pass-fail basis. Please see instructor for additional costs associated with the course and related materials. May not be used for degree credit with ACCT 4943 , ACCT 4963 , ACCT 4970 , ACCT 5994, or ACCT 5980 .",Professional,graduate,False,False,False,False,False,True
