university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
ottawa,2026,2025-2026,ACC,20364,ACCOUNTING FOR BUSINESS OPERATIONS (4),Introduces operating activities of business. Emphasis on using income statements to plan and evaluate the operations of a for-profit entity.,Professional,undergraduate,False,False,False,False,False,True
ottawa,2026,2025-2026,ACC,44163,AUDITING (4),"Independent analysis of financial statements and the determination of their fairness and reliability. Analysis includes assessing the internal control system, applying statistical sampling and evaluating employee competence. Examines professional judgment, generally accepted auditing standards and the Code of Professional Ethics. Prerequisites: ACC 33164 Intermediate Accounting I, ACC 36264 Federal Income Tax, MAT 20044 Introduction to Statistics or OAD 30763 Business Statistics.",Professional,undergraduate,False,False,False,False,False,True
ottawa,2026,2025-2026,MAT,20044,INTRODUCTION TO STATISTICS (4),"Offers the student an intuitive introduction to descriptive and inferential statistics. Topics covered include data organization, averages and variation, elementary probability theory, binomial and normal probability distributions, Central Limit Theorem, estimation, hypothesis testing, linear regression and correlation.  Prerequisite: Score of 16 on non-math track initial placement or MAT 10443 Intermediate Algebra.",Other,undergraduate,False,False,False,False,False,True
ottawa,2026,2025-2026,ACC,36264,FEDERAL INCOME TAX (4),"Basic U.S. federal tax law as it relates to an individual's income. Procedures, reports and requirements of U.S. federal income tax law for individuals and the general types of income and deductions. Introduces partnership and corporation income tax law and procedures.  Prerequisite: ACC 20464 Financing and Investing Activities.",Professional,undergraduate,False,False,False,False,False,True
ottawa,2026,2025-2026,ACC,30163,COST MANAGEMENT (4),"Study of accounting for use by management in planning and control. Includes product costing techniques, comprehensive budgeting procedures, inventory planning control and valuation. Prerequisites: ACC 20464 Financing and Investing Activities or concurrently with consent of advisor.",Professional,undergraduate,False,False,False,False,False,True
ottawa,2026,2025-2026,ACC,33264,INTERMEDIATE ACCOUNTING II (4),"Emphasis on accounting theory and concepts as they apply to financial accounting. Special accounting problems peculiar to corporations, specifically stockholder's equity and long term debt and disclosure requirements. Statement of Changes in Financial Position revisited. Objectives and procedures of financial analysis discussed. Prerequisite: ACC 33164 Intermediate Accounting I.",Professional,undergraduate,True,False,False,False,False,True
ottawa,2026,2025-2026,ACC,40164,ADVANCED ACCOUNTING (4),"Focuses on advanced theoretical concepts of accountancy. Includes measurement and analysis of economic data and formation, ownership and dissolution of business entities, including partnerships, mergers, consolidations and public institutions, liquidations and bankruptcies.  Prerequisite: ACC 33264 Intermediate Accounting II or consent of advisor.",Professional,undergraduate,False,False,False,False,False,True
ottawa,2026,2025-2026,OAD,30763,BUSINESS STATISTICS (4),"Focuses on basic methods of research design and analysis of data including descriptive and inferential statistics. Topics include mean, median, mode, frequency distribution, range, standard deviation, probabilities of sampling selection, Z-score, T-value, regression and correlation, hypothesis testing, analysis of variance and Chi-square analysis.",Other,undergraduate,False,False,False,False,False,True
ottawa,2026,2025-2026,ACC,40165,ADVANCED ACCOUNTING II (4),"Continuation of advanced theoretical concepts in accountancy. Includes further analyses of economic data and business ownership and dissolution. Advanced examination of topics in foreign currency transactions and reporting requirements, interim reporting and segment reporting requirements, partnerships, governmental and not-for-profit entities, and corporations in financial difficulty. Prerequisite: ACC 40164 Advanced Accounting or consent of advisor.",Professional,undergraduate,False,False,False,False,False,True
ottawa,2026,2025-2026,ADC,30000,INTRO TO SUBSTANCE ABUSE DISORDERS AND ADDICTION COUNSELING (3),"Examines substance use disorders and process addictions inclusive of compulsive sexual behaviors, eating disorders, and pathological gambling.",Other,undergraduate,True,False,False,False,False,True
ottawa,2026,2025-2026,ADC,30003,HUMAN DEVELOPMENT AND ADDICTION (3),"Examines theories and research of human growth and development.  Includes a focus on developmental diagnostic and assessment tools, strategies, and their application within addiction counseling.",Other,undergraduate,False,False,False,False,False,True
ottawa,2026,2025-2026,ACC,49060,SEMINAR IN APPLIED ACCOUNTING (4),"Capstone course that guides student to the analysis of accounting theories as applied to financial accounting, application of advanced accounting topics for accounting professionals including computer applications, and exploration of accounting theory and Financial Accounting Standards Board's notices and updates as they apply to various financial statements. Prerequisites: ACC 30163 Cost Accounting, ACC 44163 Auditing, ACC 40164 Advanced Accounting or consent of advisor.",Professional,undergraduate,False,False,False,False,False,True
ottawa,2026,2025-2026,ADC,40000,THEORIES OF PERSONALITY AND ADDICTION (3),"Examines psychoanalytic, behaviorist, cognitive and humanistic theories of personality development.  Emphasizes their application within addiction counseling.",Other,undergraduate,False,False,False,False,False,True
ottawa,2026,2025-2026,ADC,40003,PSYCHOPHARMACOLOGY AND ADDICTION (3),Examines the psychoactive and addictive properties of major drug classifications.  Includes psychopharmacology treatment interventions and their application within addiction counseling.,Other,undergraduate,False,False,False,False,False,True
ottawa,2026,2025-2026,ADC,40006,PSYCHOPATHOLOGICAL AND CO-OCCURRING DISORDERS (3),"Study of biological, psychological, and sociocultural influences contributing to abnormal behavior patterns including substance use disorders and co-occurring disorders.  Includes a focus on intake, assessment, diagnosis, treatment, and case management of various psycho-pathological and co-occurring disorders.",Other,undergraduate,False,False,False,False,False,True
ottawa,2026,2025-2026,ADC,40009,CLINICAL ADDICTION COUNSELING ISSUES (3),"Examines the processes of client screening, intake, assessment, treatment planning, crisis interventions, case management reports, record keeping, and client education in addiction counseling.",Other,undergraduate,False,False,False,False,False,True
ottawa,2026,2025-2026,ADC,40012,IDENTITY AND EXPERIENCE COMPETENCIES IN ADDICTION COUNSELING (3),"Study of patient identities and experiences related to working with people of various backgrounds, beliefs, and concerns.  Includes a focus on their application to addiction counseling.",Other,undergraduate,True,False,False,False,False,True
ottawa,2026,2025-2026,ADC,40015,PROFESSIONAL RESPONSIBILITY: LEGAL AND ETHICAL ISSUES OF ADDICTION COUNSELING (3),"Examines addiction counseling professional responsibilities, legal standards, and ethics issues.",Other,undergraduate,False,False,False,False,False,True
ottawa,2026,2025-2026,ADC,40024,GROUP COUNSELING IN ADDICTION (3),"Examines addiction counseling skills required to perform therapeutic group sessions.  Focuses on types of groups, client placement, group development, stages of treatment, client confidentiality, client education, and the client referral process.",Other,undergraduate,False,False,False,False,False,True
