university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
University of Oklahoma,2024_2025,2024-2025,AAI,3103,Robotic Systems,Prerequisite: C S 1213 and MATH 1914 or MATH 2123 or MATH 2423 . This course introduces the field of robotics and robotic control systems. The course reviews the history of robotics and then focuses on the concepts of reactive and deliberative paradigms. It then presents concepts and practical examples of guidance systems. Much of the course is dedicated to a major project involving the construction of a robotic system. (F),STEM,Upper,0,0,0,0,0,0
University of Oklahoma,2024_2025,2024-2025,AAI,3113,Applied Data Analysis for AI - Fundamentals,"Prerequisite: POLY 2203 and AAI 3303 , or equivalent. This course provides a hands-on, practice-driven introduction to Exploratory Data Analysis (EDA), data quality assessment, missingness mechanisms, imbalanced learning strategies, synthetic data generation, dimensionality reduction, similarity metrics, and foundational clustering methods. Students will work with real datasets and learn applied techniques used in analytics, machine learning, and data science pipelines. (Sp)",STEM,Upper,0,0,0,0,0,0
University of Oklahoma,2024_2025,2024-2025,AAI,3213,Big Data Computing,"Prerequisite: CYBS 3913 . This course provides an overview of systems used to manage and process big data. It describes GPU architecture and their use in computing. Students learn how to configure CUDA and use of GPUs in Python programming. The course presents an overview of distributed computing and applications. A practical description of Apache Hadoop is provided, including Hive, MapReduce, and Spark. (Sp)",STEM,Upper,0,0,0,0,0,0
University of Oklahoma,2024_2025,2024-2025,AAI,3303,Machine Learning I,"Prerequisite: POLY 1203 and co-requisite AAI 4003 . This course reviews the machine learning (ML) process and presents a set of basic ML methods. The course describes proper modeling techniques, including model evaluation and hyperparameter tuning. The course presents some methods from basic ML categories: supervised learning including regression and classification, and unsupervised learning. For each method, its mathematical intuition is presented with applied programming. (F)",STEM,Upper,0,0,0,0,0,0
University of Oklahoma,2024_2025,2024-2025,AAI,3313,Machine Learning II,"Prerequisite: AAI 3303 and AAI 4003 . This course builds upon concepts from Machine Learning I by going into further detail regarding machine learning (ML) methods. Additionally, time series and mathematical optimization methods are introduced. Common methods in regression, classification, and unsupervised learning are explored. (Sp)",STEM,Upper,0,0,0,0,0,0
University of Oklahoma,2024_2025,2024-2025,AAI,3323,Reinforcement Learning,"Prerequisite: CS 1213 and MATH 1914 or MATH 2123 or MATH 2423 . This course will introduce reinforcement learning (RL), a computing method in which agents solve problems, through repeated attempts resulting in penalties or rewards based on trial outcomes. The course discusses multi-armed bandits and progresses to other topics including Markov decision processes, on-policy and off-policy learning. The course reviews practical applications of RL. Lectures are supported by coding assignments in Python. (F)",STEM,Upper,0,0,0,0,0,0
University of Oklahoma,2024_2025,2024-2025,AAI,3333,Mathematics of Artificial Intelligence,"Prerequisite: MATH 1914 or MATH 2123 or MATH 2423 . This course introduces two mathematical disciplines that form a foundation for AI/ML algorithms. Linear algebra lessons cover systems of linear equations, matrices, determinants, vector spaces, bases, dimension, eigenvalues, and eigenvectors. Probability theory covers counting, conditional probability, discrete and continuous random variables, probability distributions, likelihood, curve fitting, and regression. This course focuses on applications and emphasizes conceptual understanding and application. (F)",STEM,Upper,0,0,0,0,0,0
University of Oklahoma,2024_2025,2024-2025,AAI,3440,Mentored Research Experience,"0 to 3 hours. Prerequisite: ENGL 1113 or equivalent, and permission of instructor; May be repeated, maximum credit 12 hours. For the inquisitive student to apply the scholarly processes of the discipline to a research or creative project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it the with the URCP office. Not for honors credit. (F, Sp, Su)",STEM,Upper,0,0,0,0,0,0
University of Oklahoma,2024_2025,2024-2025,AAI,3990,Independent Study. 1-,"1 to 3 hours. Prerequisite: Permission of instructor and junior standing. May be repeated once with change of content. Independent study may be arranged to study a subject not available through regular course offerings. (F, Sp, Su)",STEM,Upper,0,0,0,0,0,0
University of Oklahoma,2024_2025,2024-2025,AAI,4003,Essential Math for AI,"(Slashlisted with AAI 5003 ) Prerequisite: MATH 1503 , junior standing or permission of the instructor. This course introduces the mathematical disciplines that form the foundation for AI/ML algorithms and methods. Selected topics include: linear algebra, matrix decompositions, analytic geometry, elements of vector calculus, and probability/statistics. No student may earn credit for both 4003 and 5003. (F, Sp)",STEM,Upper,0,0,0,0,0,0
University of Oklahoma,2024_2025,2024-2025,AAI,4103,Natural Language Processing,"(Slashlisted with AAI 5103 ) Prerequisite: AAI 3303 or equivalent. This course will provide a review of natural language processing (NLP) methods. It presents the intuition behind major approaches to NLP problems such as translation. Concepts include word corpora, probabilistic methods, and Python libraries including NLTK and SpaCy. The course presents generative AI with a focus on transformers and modern tools such as OpenAI. No student may earn credit for both 4103 and 5103. (Sp)",STEM,Upper,0,0,0,0,0,0
University of Oklahoma,2024_2025,2024-2025,AAI,4113,Computer Vision and Image Recognition,"(Slashlisted with AAI 5113 ) Prerequisite: AAI 3313 . This course introduces the field of computer vision. Topics include image recognition and formation, reconstruction of 3D images from 2D renderings, scene understanding, and motion tracking. It includes reviews and overviews of the mathematics behind computer vision. It also includes a conceptual overview of convolutional neural networks and their application to image recognition. No student may earn credit for both 4113 and 5113. (F)",STEM,Upper,0,0,0,0,0,0
University of Oklahoma,2024_2025,2024-2025,AAI,4203,Advanced Database Systems,"(Slashlisted with AAI 5203 ) Prerequisite: CYBS 3913 . This course focuses on technologies used for massive datasets and unstructured data. Students learn how to implement Spark RDBs with distributed computing resources. The course presents NoSQL databases, their use and implementation. Graph databases and management of unstructured data and its incorporation into databases are presented. In all cases, students will build and manage databases using current common application frameworks. No student may earn credit for both 4203 and 5203. (Sp)",STEM,Upper,0,0,0,0,0,0
University of Oklahoma,2024_2025,2024-2025,AAI,4303,Deep Learning I,"(Slashlisted with AAI 5303 ) Prerequisite: AAI 3313 . This course will introduce deep learning through neural network programming. The course introduces the concept of the artificial neuron and progresses to describe multi-layer neural networks with a focus on the mathematics that make them work. The course describes how TensorFlow and PyTorch solve neural networks, and students build basic neural networks using these tools. No student may earn credit for both 4303 and 5303. (F)",STEM,Upper,0,0,0,0,0,0
University of Oklahoma,2024_2025,2024-2025,AAI,4313,Deep Learning II,"(Slashlisted with AAI 5313 ) Prerequisite: AAI 4303 . This course reviews various modifications to basic neural networks. Topics include convolutional neural networks (CNNs), recurrent neural networks (RNNs), and long short-term memory neural networks (LSTMs). The intuition behind the algorithms is presented and the mathematics for each compute element are reviewed. Students program the methods in TensorFlow or PyTorch. This course emphasizes the practical applications for each method. No student may earn credit for both 4313 and 5313. (F, Sp)",STEM,Upper,0,0,0,0,0,0
University of Oklahoma,2024_2025,2024-2025,AAI,4323,Ethics of AI and Machine Learning,"(Slashlisted with AAI 5323 ) Prerequisite: AAI 3313 . This course provides a survey of legal and ethical topics associated with AI and ML. Global laws and regulations associated with AI and ML are reviewed and their impact on practitioners will be discussed. The algorithmic causes of bias will be reviewed, and methods to alleviate those will be discussed. Methods for bias measurement in AI/ML models will be presented. No student may earn credit for both 4323 and 5323. (F)",STEM,Upper,0,0,0,0,0,0
