university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
University of Pittsburgh,2024_2025,2024-2025,MEMS,1001,MATERIALS SCIENCE AND ENGINEERING LABORATORY 1,"Maximum Credits: 3 In this hands-on laboratory class, students will be introduced to and develop practical skills in sample preparation, testing, and characterization of various materials.  Emphasis is also placed on maintaining laboratory notebooks, writing reports, collecting and analyzing data, presenting results, as well as technical communication, while exploring the relationships between microstructure, properties, and processing of materials. Academic Career: Undergraduate Course Component: Credit Laboratory Grade Component: Letter Grade Click here for class schedule information . Print-Friendly Page (opens a new window) Add to Portfolio . Close Window",Other,Lower,0,0,0,0,0,0
University of Pittsburgh,2024_2025,2024-2025,BUSACC,1204,INTERMEDIATE FINANCIAL REPORTING 1,"Maximum Credits: 3 Covers the conceptual framework of financial accounting and its influence on Generally Accepted Accounting Principles (GAAP), with special emphasis on the valuation of assets and measurement of income. Academic Career: Undergraduate Course Component: Lecture Grade Component: Letter Grade Course Requirements: PREQ:(BUSACC 0030or BUSERV 1920or CDACCT 6030or MGMT 0022or ACCT 0115or ACCT 0201)andCREQ: (BUSACC 0040 or BUSERV 1925 or CDACCT 6040 or MGMT 0023 or ACCT 1100 or ACCT 0202) MINGRADE 'C' For Listed Courses;PROG: UCBA;PLAN:NOT CASBUS-UNKorBUSNB-MN Click here for class schedule information . Print-Friendly Page (opens a new window) Add to Portfolio . Close Window",Other,Lower,0,0,0,0,0,0
University of Pittsburgh,2024_2025,2024-2025,BUSACC,1205,INTERMEDIATE FINANCIAL REPORTING 2,"Maximum Credits: 3 Topics covered include valuation of liabilities, owners' equity, cash flow statements, and disclosure outside the primary financial statements. Like intermediate financial reporting 1, this course also engages students as active participants in the learning process. Required for all accounting majors. Academic Career: Undergraduate Course Component: Lecture Grade Component: Letter Grade Course Requirements: PREQ: BUSACC 1204 or CDACCT 6204; PROG: UCBA; PLAN: NOT CASBUS-UNK or BUSNB-MN Click here for class schedule information . Print-Friendly Page (opens a new window) Add to Portfolio . Close Window",Other,Lower,1,0,0,0,0,0
University of Pittsburgh,2024_2025,2024-2025,BUSACC,0040,MANAGERIAL ACCOUNTING,"Maximum Credits: 3 Introduces students to the basic terminology and concepts of cost accounting, including product costing, budgetary control, responsibility accounting, and the use of cost information in resource allocation and other managerial decisions. Textbook material and various applications in actual organizations are used to engage students in applying the concepts and methods that have been developed. Academic Career: Undergraduate Course Component: Lecture Grade Component: Letter Grade Course Requirements: PREQ: BUSACC 0030 or BUSERV 1920 or CDACCT 6030 or MGMT 0022 or ACCT 0115 or ACCT 0201; PROG: College of Business Administration Click here for class schedule information . Print-Friendly Page (opens a new window) Add to Portfolio . Close Window",Other,Lower,0,0,0,0,0,0
University of Pittsburgh,2024_2025,2024-2025,BUSACC,0030,FINANCIAL ACCOUNTING,"Maximum Credits: 3 Helps students become informed users of firms' external financial accounting reports. The basic structure and contents of such reports and the process by which they are prepared will be studied. Discussion will involve what items are included in financial accounting reports, how such items are measured, and how various economic events affect the reports. An understanding of what can be inferred from the reports about the past performance, present position, and future prospects of the firm will be developed. Academic Career: Undergraduate Course Component: Lecture Grade Component: Letter Grade Course Requirements: PREQ: ECON 0100 or 0102 or 0103 or 0105 or 0110 or 0115; PROG: College of Business Administration Click here for class schedule information . Print-Friendly Page (opens a new window) Add to Portfolio . Close Window",Other,Lower,0,0,0,0,0,0
University of Pittsburgh,2024_2025,2024-2025,BUSACC,1210,FINANCIAL STATEMENT ANALYSIS,Maximum Credits: 3 Financial statement analysis focuses on the evaluation of publicly traded company financial statements and related note disclosures as well as the correlation of this historic financial performance to the company's stock prices. This course will assist students' development of a systematic approach to analyzing reported financial data and understanding the underlying risks and possible inconsistencies among comparative companies. Requirements of the course include interim exams and written and oral presentations of analysis. Academic Career: Undergraduate Course Component: Lecture Grade Component: Letter Grade Course Requirements: PREQ: BUSACC 1205 or CDACCT 6205; PROG: UCBA; PLAN: NOT CASBUS-UNK or BUSNB-MN Click here for class schedule information . Print-Friendly Page (opens a new window) Add to Portfolio . Close Window,Other,Lower,0,0,0,0,0,0
University of Pittsburgh,2024_2025,2024-2025,BUSACC,1221,STRATEGIC COST MANAGEMENT,Maximum Credits: 3 Topics covered include how product cost measurement affects resource allocation decisions; how to design modern cost systems; the strategic role of cost information and the relationship between process improvement and cost reduction; performance measurement and organizational transformation for value creation. Academic Career: Undergraduate Course Component: Lecture Grade Component: Letter Grade Course Requirements: PREQ: (BUSACC 0030 or BUSERV 1920 or CDACCT 6030 or MGMT 0022 or ACCT 0115 or ACCT 0201)and (BUSACC 0040 or BUSERV 1925 or CDACCT 6040 or MGMT 0023 or ACCT 1100 or ACCT 0202) MINGRADE 'C' For Listed Courses;PROG:UCBA;PLAN:NOT CASBUS-UNKorBUSNB-MN Click here for class schedule information . Print-Friendly Page (opens a new window) Add to Portfolio . Close Window,Other,Lower,0,0,0,0,0,0
University of Pittsburgh,2024_2025,2024-2025,BUSACC,1236,ACCOUNTING INFORMATION SYSTEMS,"Maximum Credits: 3 Focuses on the design and implementation of accounting information systems and their ability to: collect data on the activities of an organization, accumulate and summarize the data, and make the information available to managers for analysis, decision-making and control. Academic Career: Undergraduate Course Component: Lecture Grade Component: Letter Grade Course Requirements: PREQ: (BUSACC 0030or BUSERV 1920or CDACCT 6030or MGMT 0022or ACCT 0115or ACCT 0201)and(BUSACC 0040 orBUSERV 1925 orCDACCT 6040 orMGMT 0023 or ACCT 1110 or ACCT 0202 or ACCT 1303) MINGRADE 'C' For Listed Courses;PROG: UCBA;PLAN: NOT CASBUS-UNK or BUSNB-MN Click here for class schedule information . Print-Friendly Page (opens a new window) Add to Portfolio . Close Window",Other,Lower,0,0,0,0,0,0
University of Pittsburgh,2024_2025,2024-2025,MEMS,1106,IRONMAKING AND STEELMAKING PROCESSES,"Maximum Credits: 3 This course will cover the various routes of modern ironmaking and steelmaking processes from raw materials through semi-finished products such as steel plates, coils, and pipes.  The primary focus will be on existing processes, but the course will also cover topics in the development of alternative processes to lower the carbon intensity in the steel industry.  The blast furnace process for ironmaking will be analyzed and contrasted with alternative technologies.  The basic oxygen furnace and electric arc furnace steelmaking routes will be compared, and their strengths and limitations will be outlined.  Some technical aspects of ingot casting and continuous casting will be covered, followed by coverage of rolling, coating, and other finishing processes.  Some of the challenges facing the steel industry will also be discussed. Academic Career: Undergraduate Course Component: Lecture Grade Component: Letter Grade Click here for class schedule information . Print-Friendly Page (opens a new window) Add to Portfolio . Close Window",Other,Lower,0,0,0,0,0,0
University of Pittsburgh,2024_2025,2024-2025,BUSACC,1216,ADVANCED FINANCIAL ACCOUNTING,"Maximum Credits: 3 Covers topics that are of particular interest to financial report preparers and auditors. Special emphasis placed on accounting for business combinations and consolidated financial reporting. Other topics include international accounting, accounting for partnerships, and accounting by fiduciaries. Required for all accounting majors pursuing the CPA track. Academic Career: Undergraduate Course Component: Lecture Grade Component: Letter Grade Course Requirements: PREQ: BUSACC 1205 or CDACCT 6205; PROG: UCBA; PLAN: NOT CASBUS-UNK or BUSNB-MN Click here for class schedule information . Print-Friendly Page (opens a new window) Add to Portfolio . Close Window",Other,Lower,0,0,0,0,0,0
