university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed
pitt,2026,2025-2026,AFRCNA,0127,INTRODUCTION TO AFRICA,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ADMJ,1210,JUVENILE DELINQUENCY,,Other,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0150,AFRICAN AMERICAN LITERATURE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ADMJ,1246,FINANCING TERRORISM,,Other,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0220,THE BLACK POWER MOVEMENT IN THE U.S. AND BEYOND,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0212,WEST AFRICAN DANCE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0120,AFRICAN AMERICAN EXPERIENCE SPORTS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0031,INTRODUCTION TO AFRICANA STUDIES,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0242,AFRICANA URBAN WOMAN,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0300,RACIALIZED POLICE VIOLENCE IN GLOBAL PERSPECTIVES,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0311,INTRODUCTION TO THE AFRICAN AMERICAN FAMILY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0313,THE BLACK CHURCH,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0318,HISTORY OF AFRICA BEFORE 1800,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0316,INTRODUCTION AFRICAN AMERICAN THEATER,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0352,AFRICAN AMERICAN DANCE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0385,CARIBBEAN HISTORY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0434,PSYCHOLOGICAL EXPERIENCE AFRICAN AMERICAN FEMALE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0400,"COVID-19, RACISM AND PUBLIC HEALTH",,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0454,MAN/WOMAN LITERATURE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0508,SWAHILI LANGUAGE AND CULTURE IMMERSION,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0517,INTRODUCTION TO AFRICAN AMERICAN POETRY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0523,SWAHILI 1,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0522,INTRODUCTION TO AFRICAN LITERATURE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0524,SWAHILI 2,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0586,EARLY AFRICAN CIVILIZATIONS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0525,SWAHILI 3,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0536,20TH CENTURY AFRICAN AMERICAN WOMAN HISTORY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0628,AFRO-LATIN AMERICA,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0629,AFRICAN AMERICAN HISTORY 1877,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0630,AFRICAN AMERICAN HISTORY SINCE 1865,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0639,HISTORY OF JAZZ,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0787,BLACK CONSCIOUSNESS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0885,"SENEGAL: INTERSECTIONS OF CULTURE, HISTORY, RELIGION & DANCE",,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0805,BLACK PERFORMANCE AESTHETICS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,0808,BLACK LIFE ONSCREEN,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1012,EARLY 20TH CENTURY BLACK SOCIAL MOVEMENT,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1021,HISTORY OF THE AFRICAN DIASPORA,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1024,WEST AFRICAN CULTURES AND SOCIETY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1026,AFRICAN PRESENCE IN LATIN AMERICAN LIT/CULTURE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1030,INTRODUCTION TO AFRICAN POLITICS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1083,SPECIAL TOPICS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1033,AFRICAN AMERICANS AND MASS MEDIA,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1110,BLACK LIFE IN THE POST-INDUSTRIAL CITY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1108,AFRICAN AMERICAN FOLK CULTURE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1120,MORE BLACK FUTURES,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1240,AFRICAN LITERATURE AND SOCIETY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1245,STUDIO IN AFRICAN AMERICAN POETRY AND POETICS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1250,BLACK EUROPE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1255,AFRICAN INDIGENOUS-KNOWLEDGE SYSTEM,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1306,WORLD LITERATURE IN ENGLISH,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1309,WOMEN OF AFRICAN AND AFRICAN DIASPORA,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1310,CULTURES OF AFRICA,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1330,SCIENCE AND TECHNOLOGY IN AFRICANA CONTEXT,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1334,MUSIC IN AFRICA,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1335,AFRICAN-AMERICAN MUSIC IN THE UNITED STATES,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1331,AFRICAN LIBERATION MOVEMENTS,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1347,FRANCOPHONE AFRICANA LITERATURE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1349,CONTEMPORARY CARIBBEAN LITERATURE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1397,MUSIC AND RACE,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1353,COMPARATIVE DANCE EXPRESSION,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1402,LEARNING PARADIGMS AFRICAN AMERICAN CHILD DEVELOPMENT,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1415,RELIGION AND RACE,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1418,FROM VODOU TO SANTERIA: RELIGIONS OF THE WEST AFRICAN DIASPORA,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1410,TRADITIONAL MEDICINE: HEALTH AND HEALING,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1450,AFRICANA CULTURAL MEMORY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1510,HEALTH IN THE AFRICAN DIASPORA,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1522,SEX AND RACISM,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1535,DIMENSIONS OF RACISM,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1555,AFRO CARIBBEAN DANCE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1537,RACE AND THE CRIMINAL JUSTICE SYSTEM,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1616,AFRICAN AMERICAN WOMEN WRITERS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1628,AFRO-LATINOS IN THE UNITED STATES,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1655,AFRICAN CINEMAS/SCREEN GRIOTS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1538,HISTORY OF BLACK PITTSBURGH,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1656,HISTORY OF AFRICA SINCE 1800,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1661,POLITICAL ECONOMY OF AFRICA,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1710,AFRICAN AMERICAN HEALTH ISSUES,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1720,WEST AFRICA IN THE ERA OF THE SLAVE TRADE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1704,AFRICANA WORLD LITERATURE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1725,SOCIAL AND HEALTH ISSUES IN EAST AFRICA,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1768,AFRICANA SENIOR RESEARCH SEMINAR,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1900,INTERNSHIP,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1901,INDEPENDENT STUDY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1902,DIRECTED READING,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1903,DIRECTED RESEARCH,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,1904,REBELS AND REVOLUTION,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFRCNA,2990,INDEPENDENT STUDY,,Social Sciences,graduate,False,False,False,False,False
pitt,2026,2025-2026,AFROTC,0001,HERITAGE AND VALUES OF UNITED STATES AIR FORCE 1,,Other,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,AFROTC,0002,HERITAGE AND VALUE OF US AIR FORCE 2,,Other,undergraduate,False,False,False,False,False
