university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
rice,2026,2026-2027,AAAS,110,INTRODUCTION TO AFRICAN RELIGIONS,"Introduction to the structures of African religions through readings. Topics include community, cosmology, ritual, ethical values, magic, witchcraft, spirit possession, contribution to nationalism, social change, religion and art, and transplantation of African Religions in the Americas. Cross-list: RELI 111.",Humanities,undergraduate,False,False,False,False,False,True
rice,2026,2026-2027,AAAS,115,BLACK GODS OF THE CARIBBEAN,"In Caribbean religions, practitioners may seek to be possessed by the spirit. This course uses a diverse range of texts to examine the process of interacting with the divine. We will explore the vibrant spiritual energy that sustains communal connections during ceremonies and the transnational imaginations that animate Caribbean religious practices. Special attention will be given to Santeria, Candomble, Vodou, Myal, Palo Monte, and Revival Zion in the Americas. Cross-list: RELI 115.",Humanities,undergraduate,True,False,False,False,False,True
rice,2026,2026-2027,AAAS,157,RELIGION AND HIP HOP CULTURE IN AMERICA,"Hip Hop culture has changed how life is discussed and conducted. However, one of the under-explored dimensions of Hip Hop culture involves its religious sensibilities. Using lectures, discussions, films, and video presentations, this course explores Hip Hop culture's religious dimensions through its musical language-rap music. Cross-list: RELI 157, Equivalency: RELI 157, RELI 311. Mutually Exclusive: Cannot register for AAAS 157 if student has credit for RELI 311.",Humanities,undergraduate,False,False,False,False,False,True
rice,2026,2026-2027,AAAS,200,KNOWING BLACKNESS: INTRODUCTION TO AFRICAN AND AFRICAN AMERICAN STUDIES,"An exploration of the origins and development of African Studies and African American Studies. Through a focus on the articulation and resolution of field-changing debates, the course introduces students to methodologies and practices that have led to and that continue to lead to knowing Africa and African-descendent people with earnest regard for the complexity and subtlety that the subjects require.",Humanities,undergraduate,False,False,False,False,False,True
rice,2026,2026-2027,AAAS,204,INTRODUCTION TO BLACK ART IN AMERICA: 1900S TO TODAY,"This class examines the history of Black art in America since the early 1900s. What is Black Art? Who are the artists, curators, scholars, and theorists who have asked and answered this question over the decades? Is a Black aesthetic inherently revolutionary and interested in the political lives of black people and their liberation? Or is a Black aesthetic best exemplified by the manipulation of materials, visual composition, and saturation? Or both? We will engage theories of black art and aesthetics that emerged in the 1920s through today to take seriously the question: how does the visual life of blackness matter? In this class we will break through the traditional rhetoric of diversity and representation and discuss how artists over the decades have insisted instead on redistributions of power, radical and speculative material practices, and structural change. It is my priority to make this course on black aesthetics joyous, safe, and accessible to students of all genders, sexualities, and disabilities. Cross-list: HART 204.",Humanities,undergraduate,True,False,False,False,False,True
rice,2026,2026-2027,AAAS,210,INTRODUCTION TO AFRICAN RELIGIONS,"Introduction to the structures of African religions through readings. Topics include community, cosmology, ritual, ethical values, magic, witchcraft, spirit possession, contribution to nationalism, social change, religion and art, and transplantation of African Religions in the Americas.",Humanities,undergraduate,False,False,False,False,False,True
rice,2026,2026-2027,AAAS,211,AFRICAN MODERNISM,"This course introduces students to the modern art of Africa, drawing attention to its variants in the continent’s different local and regional geographies. Defined by art historian Clement Emeka Akpang (2016) as the intersection of art with political and social concerns, the era of modernism marked a phase of great experimentation in art characterised by the introduction of new ideas, new media, and a shift in the materiality and many other aspects of art. As such, African artists were part of it, yet as Partha Mitter (2008) argues, the discourse of modernism, is an ‘unmarked case’ that implicitly stands for ‘Western’ modernism. In the course, students will cover different aspects of African modernism discourses drawing from literature and artworks from at least each of the continent’s major regions. The main objective is to gain insights into Africa’s contribution to global art. Besides the few celebrated African modernists known in the West, by the end of the course students will have amassed considerable knowledge of more artists ‘on the other side of modernity’ as these will be highlighted throughout the course. Cross-list: HART 211.",Humanities,undergraduate,False,False,False,False,False,True
rice,2026,2026-2027,AAAS,217,RELIGION AND SOCIAL ACTIVISM IN THE 21ST CENTURY,"This course explores the intersections of religion, politics, and social justice during the period of history marked by the emergence and activities of the Black Lives Matter Movement. Cross-list: RELI 216.",Humanities,undergraduate,True,False,False,False,False,True
rice,2026,2026-2027,AAAS,223,FREEDOM AND STRUGGLE IN MODERN AFRICA,"This course explores how slavery, anti-colonial, anti-imperial, anti-racism, and anti-capitalist struggles had a profound impact on Africa and the world. These seismic conflicts resulted in significant psychological, spiritual, and physical traumas that are still keenly felt in Africa today. In this course, students will get a sample of some of these traumas that Africans encountered and the ideological painkillers they concocted to address them. Thus, students will become familiar with systems, ideologies, and terms such as slavery, apartheid, socialism and communism in Africa, Pan-Africanism, Black Consciousness, female suicide bombers, neo-colonialism, and the psychological encounter between the colonized and colonizer. Cross-list: HIST 223.",Humanities,undergraduate,True,False,False,False,False,True
rice,2026,2026-2027,AAAS,225,"DYNAMICS OF EMPIRE: PORTUGUESE, AFRICAN, AND BRAZILIAN INTERCONNECTIONS","The arrival of the Portuguese in Africa in the 15th century marked the beginning of European oceanic expansion, a movement that profoundly shaped the modern world. This expansion introduced dichotomous dynamics of center and periphery, along with new global relations rooted in racial hierarchies, often resulting in violent consequences for African peoples. Despite these oppressive systems, resistant voices have emerged and continue to grow as African people strive to redefine Blackness. This seminar covers key topics such as the Transatlantic Slave Trade, the development of African diasporic communities, colonialism in Africa, and Afro-Atlantic intellectual and ideological exchanges. We will also explore contemporary representations and mobilizations of Black culture and identity. Through critical readings and engaging discussions of prose, poetry, film, and music, we will analyze imperialism's history and enduring legacies.",Humanities,undergraduate,True,False,False,False,False,True
