university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
University of Rochester,2024_2025,2024-2025,AAS,104,Contemporary Issues & Anthropology,"This course explores the complex inter-relation of race, class and gender in contemporary America, both in people's subjective identities in their objective life chances. The materials assigned include first-person narratives of particular life experiences; quantitative analyses of general statistical patterns; and long-term historical explanations of these experiences and patterns.",Humanities,Lower,0,0,0,0,0,0
University of Rochester,2024_2025,2024-2025,AAS,106,Colonial & Contemporary Africa,"This course uses film, literature, and historical studies to understand the transformation of African societies during the colonial era and its neocolonial aftermath. It maps out the forging of new national identities, creation of wage laborers, restructuring of rural communities, and changing power relations between women and men, the young and old. Students will also explore how African men and women, from their homes and workplaces, and as part of nationalist and national liberation movements during and after the Cold War, have sought to redefine their place in the global economy amidst new opportunities and challenges presented by environmental degradation, the HIV/AIDS pandemic, hunger, international debt, and Chinas growing thirst for the continents seemingly inexhaustible natural resources.",Humanities,Lower,1,0,0,1,0,0
University of Rochester,2024_2025,2024-2025,AAS,107,History Of Islam,"The development of Islam from its origins in the Qur'an and Muhammad's teachings, through the codification of the classical tradition in its various forms, and finally to the living Islam of the contemporary world.",Humanities,Lower,0,0,0,0,0,0
University of Rochester,2024_2025,2024-2025,AAS,121,World Music In Context,"Engaging an extraordinary diversity of sound, this course explores some of the world's major traditions of musical performance, including classical, ritual, and ceremonial music from around the globe. Through weekly reading and listening assignments, we will study musical sound structures within a variety of social, political, and religious contexts, investigating relationships between music, people, and place. In addition to well-known modes of music making, we will look at many fascinating but less familiar forms of musical expression, such as aboriginal pop music from Australia, the throat-singing traditions of Tuva and Mongolia, and the freedom songs of South Africa. The course will culminate in a semester-long final project.",Humanities,Lower,1,0,0,0,0,0
University of Rochester,2024_2025,2024-2025,AAS,122,History Of Jazz,"This study of Jazz, as an American musical art form, will be structured around the lives and music of jazz musicians, across a range of instrumental, vocal, and ensemble genres. Course focuses on jazz titans, those individuals and musical groups distinguished by their seminal and permanent influences, such as Louis Armstrong, Miles Davis, or Coleman Hawkins or shorter intense careers, such as Charlie Parker. Blues, ragtime, swing, bebop, cool, progressive, and free jazz are landmark terms. And finally, study of the musical history will be enhanced by considerations from sociological, linguistic, and philosophical perspectives. The instructional format includes lectures, discussion and intense emphasis on listening. This course is designed for students with little or no musical training; simple technical, musical vocabulary and concepts will be provided. Reading, listening assignments, brief written assignments and two exams. No prerequisites. (Fall Only)",Humanities,Lower,0,0,0,0,0,0
University of Rochester,2024_2025,2024-2025,AAS,125,"Rel,Race,Ethnicty In America",,Humanities,Lower,0,0,0,0,0,0
University of Rochester,2024_2025,2024-2025,AAS,141,African-American History I,"After examining the primary features of pre-European African society we will assess the disruptions triggered by European arrival. A discussion of the ""Middle Passage"" -- the transportation of enslaved Africans to North America -- and the Africans' adjustment to their new environment will compose the first section of the course. We will then focus on the process of ""Americanization"" as the Africans became African-Americans. The struggle for freedom and citizenship will conclude our survey. The course readings will be selected from autobiographies by African and African-American authors, and some brief selections from secondary texts. Using the autobiographies as historical source material, we will examine the values and cultural practices of Africans in America, and the ways in which African-Americans adapted to and shaped American life and culture.",Humanities,Lower,0,0,0,0,0,0
University of Rochester,2024_2025,2024-2025,AAS,151,The Blues,"The course covers the history and influence of the music called ""the Blues""; the origins of blues in the context of African American culture in the late 19th and early 20th centuries, the blues' rapid rise to becoming the dominant popular music in the African American community, and the discovery of blues by white audiences. Class format combines lecture, listening and discussion.",Humanities,Lower,0,0,0,0,0,0
University of Rochester,2024_2025,2024-2025,AAS,156,Introduction To African-American Literature,"This course surveys African-American literature of a variety of genres-poetry, drama, autobiography, fiction, and non-fiction essays-from the 18th Century to the 20th. The course interprets this tradition not only as the production of American writers of African descent, but also as a set works that display formal characteristics associated with black cultural traditions. Discussion topics include the meanings of race, the construction of black identity, and intra-racial differences of class, gender, and sexuality. Special attention will be paid to approaching literary texts from a variety of critical perspectives.",Humanities,Lower,1,0,0,0,0,0
University of Rochester,2024_2025,2024-2025,AAS,157,African Religions Of The Diaspora,"A study of the Interfaith Movement from the late 19th to the early 21st century, including issues of identity, religious conflict, and women's voices.",Humanities,Lower,0,0,0,0,0,0
