university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
Rutgers University New Brunswick,2025,2024-25,01:013,111,THE BIBLE IN ARAMAIC,,Humanities,undergraduate,0,1,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,130,COMICS IN THE MIDDLE EAST,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,140,ELEMENTARY ARABIC I,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,141,ELEMENTARY ARABIC II,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,152,ELEM MODERN HEBREW,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,160,ELEMENTARY HINDI I,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,162,ELEMENTARY URDU I,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,176,ELEMENTARY PERSIAN I,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,190,ELEMENTARY TURKISH I,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,194,ELEMENTARY YORUBA,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,201,"CLASSICAL LITERATURES OF AFRICA, THE MIDDLE EAST, AND SOUTH ASIA",,Humanities,undergraduate,0,1,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,203,"LANGUAGE & SOCIETY IN AFRICA, THE MIDDLEEAST, AND SOUTH ASIA",,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,204,INTRODUCTION TO DISCOURSE ANALYSIS,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,221,INTRODUCTION TO THE LITERATURES OF THE MIDDLE EAST,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,225,GLOBAL ARABIC,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,240,INTERMEDIATE ARABIC I,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,252,INTERMED MOD HEBREW,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,260,INTERMEDIATE HINDI I,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,276,INTERMEDIATE PERSIAN I,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,289,CULTURE OF LADINO: AN INTRODUCTION,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,290,INTERMEDIATE TURKISH I,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,308,MINORITIES IN THE MIDDLE EAST,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,311,WOMEN WRITERS OF AFRICA,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,312,AFRICN FOLKLORE&MYTH,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,321,INDEPENDENT STUDY,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,331,MOD LIT SOUTH ASIA,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,340,ADVANCED ARABIC I,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,352,ADV MODERN HEBREW,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,376,ADVANCED PERSIAN,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:013,390,ADVANCED TURKISH,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,103,INTRODUCTION TO AFRICANA STUDIES,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,132,BLACK EXPERIENCE AND FILM MEDIUM,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,140,INTRODUCTION TO AMERICAN CULTURES,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,202,WHAT EVERYONE SHOULD KNOW ABOUT 'RACE',,Humanities,undergraduate,1,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,203,BLACK EXPERIENCE IN AMERICA,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,210,AFRICA: CONTINENT OF THE FUTURE?,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,214,FEELING RACE: THE EMOTIONAL POLITICS OF RACE,,Humanities,undergraduate,1,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,223,INDEPENDENT STUDY,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,233,INTRODUCTION TO RESEARCH IN AFRICANA    STUDIES,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,264,BLACK LIVES MATTER,,Humanities,undergraduate,1,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,286,MENTORING AS A PUBLIC SERVICE I,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,305,"RACE, INTERNATIONAL LAW AND EMPIRE",,Humanities,undergraduate,1,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,306,THE BLACK WOMEN IN POLITICAL CONTEXT,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,307,AFRICANA COMMUNITY HEALTHCARE EXPERIENCEPERSPECTIVES FROM PATIENTS & PHYSICIANS,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,341,SUPERVISED COMMUNITY PLACEMENT,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,347,HEALTH ISSUES IN THE AFRICAN-AMERICAN COMMUNITY,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,362,"BLACK IDENTITY, RELIGION AND POLITICS",,Humanities,undergraduate,1,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,380,BLACKS IN SCIENCE,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,385,MENTORING AS PUBLIC SERVICE II,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,386,AFRICAN AMERICANS & SPORTS,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,490,SEMINAR IN AFRICANA STUDIES,,Humanities,undergraduate,0,0,0,0,0,1
Rutgers University New Brunswick,2025,2024-25,01:014,491,INDEPENDENT STUDY,,Humanities,undergraduate,0,0,0,0,0,1
