university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
University of South Carolina,2024_2025,2024-2025,ACCT,222,Survey of Accounting,"Survey of accounting topics related to business decisions including financial reporting, managerial accounting, and other special topics.",Professional,Lower,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,225,Introduction to Financial Accounting,User-oriented approach to the study of financial accounting and reporting topics related to business decisions.,Professional,Lower,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,226,Introduction to Managerial Accounting,User-oriented approach to the study of managerial accounting topics related to business decisions.,Professional,Lower,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,324,Survey of Commercial Law,"Basic legal concepts and the judicial system, with emphasis on business law.",Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,335,Survey of Federal Taxation,Federal tax law and preparation of individual income tax returns. Not allowed as an upper-division elective by accounting majors and not open for students who received credit for ACCT 403 .,Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,401,Financial Accounting I,Accounting theory and practice as it relates to preparation of financial statements.,Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,402,Cost/Managerial Accounting,"Internal managerial and cost accounting, including budgeting, cost determination, and analysis.",Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,403,Tax I,"Overview of individual, corporate, and partnership taxation. Emphasis is on sole proprietorships.",Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,404,Accounting Information Systems I,Accounting systems for business decision-making and effective control of the business enterprise.,Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,405,Financial Accounting II,Additional accounting theory and practice as it relates to preparation of financial statements.,Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,406,Auditing I,Principles of auditing necessary to evaluate the integrity of accounting systems and financial reporting.,Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,421,Advanced Accounting,Advanced topics in accounting theory and practice as it relates to the preparation of financial statements.,Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,422,Managerial Accounting for Decision Making,Advanced topics in the use of accounting information for managerial decisions.,Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,423,Business Entity Tax Issues,"Basic concepts of taxation of C Corporations, S Corporations, partnerships, and tax administration procedures.",Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,424,Legal Issues for Accountants & Managers,The study of legal issues affecting accountants and managers.,Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,425,Governmental and Nonprofit Accounting,Accounting principles and procedures for governmental units and private nonprofit organizations.,Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,426,International Financial Reporting,Study of the principles and application of international financial reporting standards.,Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,470,Financial Statement Analysis,This course focuses on the analysis of financial statements for profitability and risk assessment and for firm and segment valuation. Restricted to finance majors.,Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,475,Integrated Business Processes with Enterprise Systems,"The integration, configuration, and operation of accounting information within enterprise resource planning and other databases as applied to current business practices.",Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,490,Special Topics in Accounting,"Analysis of current topics, issues, and practices in various areas of accounting. May be repeated as content varies by title.",Professional,Upper,0,0,0,0,0,0
University of South Carolina,2024_2025,2024-2025,ACCT,499,Business Internship in Accounting,Supervised work experience as approved by the department. Pass-Fail only. Internship contract required.,Professional,Upper,0,0,0,0,0,0
