university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
simmons,2025,2024-2025,AADM,143,Boston Arts in Action,"Go behind the scenes of Boston's art world, and learn about the structure of cultural organizations around the globe. Emphasizes firsthand experience of Boston's visual and performing arts institutions through site visits, concerts, and guest lectures. Examines theory and best practices in non-profits, including audience outreach, education, curation, and fundraising.",Other,undergraduate,False,False,False,False,False,True
simmons,2025,2024-2025,ACCT,110CD,Financial Accounting,"Develops the ability to read, understand, analyze and interpret a company's financial statements.  Also develops decision-making skills based on accounting information that may vary according to perspective, such as investor, creditor or manager.  A required concurrent lab offers training and reinforcement in the use of Excel spreadsheets.",Professional,undergraduate,False,False,False,False,False,True
simmons,2025,2024-2025,ACCT,120,Managerial Accounting,"Introduces the student to the business concepts and methods used to report managerial performance information to internal users and managers to assist in making sound business decisions in managing the firm. Students will learn the skills required for collecting, analyzing, and presenting internal financial information.",Professional,undergraduate,False,False,False,False,False,True
simmons,2025,2024-2025,AADM,236M,New York City Arts Administration Institute,"Offers firsthand experience of the rich cultural landscape of a major urban center in a four-week on-site experiential program that focuses on the following questions: What new relationships are emerging between art markets, philanthropy, public funding, and nonprofit arts organizations? What is the nature of ""the public trust"" in the art world of the 21st century? How do arts organizations balance tradition and change in a multicultural and global environment? What roles do arts administrators play in linking the arts to their audiences? Combines readings, research activities, guest speakers, and visits to events and programs.",Other,undergraduate,False,False,False,False,False,True
simmons,2025,2024-2025,AADM,349,Directed Study,,Other,undergraduate,False,False,False,False,False,True
simmons,2025,2024-2025,ACCT,120CD,Managerial Accounting,"Introduces the student to the business concepts and methods used to report managerial performance information to internal users and managers to assist in making sound business decisions in managing the firm. Students will learn the skills required for collecting, analyzing, and presenting internal financial information.",Professional,undergraduate,False,False,False,False,False,True
simmons,2025,2024-2025,ACCT,201,Intermediate Accounting II,"This is a course in financial accounting (reporting). As the second of a two-course Intermediate Accounting sequence, it examines investments; current and long-term liabilities; leases; pensions; shareholders' equity; stock-based compensation; earnings per share; and the statement of cash flows.",Professional,undergraduate,True,False,False,False,False,True
simmons,2025,2024-2025,ACCT,200,Intermediate Accounting I,"Intermediate financial accounting examines the processes that culminate in the preparation of financial reports relative to the enterprise as a whole for use by parties both internal and external to the enterprise. This course includes a comprehensive study of Generally Accepted Accounting Principles and procedures underlying valuation, conceptual frameworks, information systems, and a deeper exploration of financial statement components such as income measurement and the preparation and evaluation of financial data. This course is relevant to preparation for the financial accounting sections of the CPA and CMA exams.",Professional,undergraduate,False,False,False,False,False,True
simmons,2025,2024-2025,ACCT,205,Cost Accounting,"Cost accounting provides information for planning, control, and decision making. Based on the concept of ""different costs for different purposes,"" the course focuses on analyzing and using various types of costs. Students will develop quantitative and qualitative methods for analyzing cost data to support a wide variety of business decisions.",Professional,undergraduate,False,False,False,False,False,True
simmons,2025,2024-2025,ACCT,207,Tax Accounting,"This course introduces the relevant laws governing individual income taxation and business entity taxation. Topics include tax law, electronic research and methodologies, and the use of technology for preparation of individual income tax returns. Upon completion, students should be able to analyze basic tax scenarios, research applicable tax law, and complete various individual tax forms.",Professional,undergraduate,False,False,False,False,False,True
