university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
snow,2026,2026-2027,ANTH,1000,Introduction to Anthropology  SS,"This course introduces students to the four basic fields of Anthropology consisting of Physical Anthropology, Cultural Anthropology, Archaeology, and Linguistic Anthropology. Anthropologists seek to understand what it means to be human by examining the physical and cultural factors that have influenced the origin, development, and behavior of humankind. Both general education credit and variable credit may be earned. To fulfill Social Science general education requirements, the class must be taken for 3 credits; however, 1-2 variable elective credits may be offered for exigent circumstances.",Social Sciences,undergraduate,False,False,False,False,False,True
snow,2026,2026-2027,AGBS,1010,Fundamentals of Animal Science,"The historical perspective and importance of animal production will be examined relative to time, society and geographical location. The contribution of animal production and related food products to our society will be covered. Scientific selection, breeding, feeding and management will be studied as they relate to efficiency of production of the various farm animals and consumer demand.",Other,undergraduate,False,False,False,False,False,True
snow,2026,2026-2027,AGBS,1100,Career Exploration/Ag-Business,"This class introduces students to a variety of agriculture careers in agribusiness, production, public and private service, and sales and marketing opportunities related to agriculture. Emphasis will be on opportunities in the western United States. A variety of guest lecturers will present real-world insight into various careers. Students will also develop their own professional letter of application and resume.",Other,undergraduate,False,False,False,False,False,True
snow,2026,2026-2027,AGBS,1200,Agribusiness Foundations,"In this course, students will be introduced to one thematic issue (e.g. cloning, GMOs. definition of beauty) from at least three different areas of study in order to understand ways in which knowledge is interconnected and relevant. Additionally, this course will focus on the skills and habits that are essential for becoming a lifelong learner in an interdisciplinary world. This course should be taken during the freshman year. An additional fee is required.",Other,undergraduate,False,False,False,False,False,True
snow,2026,2026-2027,AGBS,1420,Livestock Production Practices,"Agriculture livestock production enterprises will be examined and production practices and production facilities investigated. Students will be exposed to a variety of production, processing and marketing methods, both traditional and entrepreneurial, in the fields of beef, dairy, poultry, sheep, goat, and horse animal agriculture.",Other,undergraduate,False,False,False,False,False,True
snow,2026,2026-2027,AGBS,1500,Introduction to Agribusiness,"This course provides an overview of the principles and practices of agribusiness. It examines the economic, social, and environmental aspects of agricultural operations. Students will gain an understanding of the strengths, weaknesses, opportunities, and threats of the agribusiness sector. The course shows students how these functions exist in a changing society and the types of decisions that must be made within that environment. In an introductory manner, the course covers topics such as the size and scope of agribusiness, starting and running an agribusiness, the agribusiness input sector, and the agribusiness output sector.",Other,undergraduate,False,False,False,False,False,True
snow,2026,2026-2027,AGBS,1560,Riding & Horsemanship,"This course is designed to introduce students to the essential principles and practices of caring for and working with horses. Through a combination of theoretical instruction, practical demonstrations, and hands-on activities, students will gain a comprehensive understanding of horse safety, feeding, anatomy, equipment, riding, and basic horsemanship skills. Students are required to provide their own horse. This course can be taken for credit two times.",Other,undergraduate,False,False,False,False,False,True
snow,2026,2026-2027,AGBS,1700,Western Riding Skills I,"The objective of this class is to allow students to practice and further develop their horsemanship skills. This course is designed to cover principles of basic horsemanship and will include some of the principles of schooling/training horses that are already broke to ride. An understanding of horse behavior and safe conduct around horses are central to the course. Students will be introduced to the fundamentals of riding, handling, and grooming, as well as becoming familiar with the parts of the horse. Students have the opportunity for hands-on application of these principles by actually riding and schooling horses during this course. Topics presented will include horsemanship skills, equine behavior, equine psychology, and how this knowledge can produce and present a willing, useful horse. Goals will be set for each student-horse pair, and efforts will be made to reach these goals. Students must have or arrange for their own horse.",Other,undergraduate,False,False,False,False,False,True
snow,2026,2026-2027,AGBS,1800,Introduction to Agricultural Communications,"This course is designed to train students in written, visual, and virtual communication within the context of agriculture and food production. Students will develop communication skills applicable to the unique challenges and opportunities within the agricultural industry through the exploration of communication strategies and tools. Through a combination of lectures, discussions, assignments, and projects, students will develop foundational agricultural communication skills.",Other,undergraduate,False,False,False,False,False,True
snow,2026,2026-2027,AGBS,1830,Agriculture Computer Applications and Direct Marketing,"This course provides the opportunity for students majoring in agriculture fields to gain a comprehensive overview of essential computer skills, farm management software, and how common computer programs can be used for agricultural applications.  Some of the computer programs will include Word, Excel, QuickBooks, PowerPoint, GIS applications, Google Docs, etc.  In parallel, students will be introduced to fundamental principles of direct marketing tailored specifically for the agricultural sector.",Other,undergraduate,False,False,False,False,False,True
