university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
tamiu,2026,2026-2027,AMAT,0400,Accelerated Beg & Int Algebra,"This course focuses on a basic review of mathematic skills, including real numbers, geometry, linear equations, elementary algebra, mathematical reasoning, functions, graphs, linear inequalities, polynomials, rational expressions and equations and system of equations, while providing the necessary academic support.  Students completing course successfully will earn University credit but not credit toward graduation.",Other,undergraduate,False,False,False,False,False,True
tamiu,2026,2026-2027,SGNL,1301,American Sign Language I,"Introduction to American Sign Language. Covers vocabulary, grammar, and cultural issues of communication for the hearing-impaired community.",Other,undergraduate,False,False,False,False,False,True
tamiu,2026,2026-2027,SGNL,1302,American Sign Language II,"Introduction to American Sign Language. Covers vocabulary, grammar, and cultural issues of communication for the hearing-impaired community.",Other,undergraduate,False,False,False,False,False,True
tamiu,2026,2026-2027,SGNL,1620,American Sign Language I & II,"Introduction to American Sign Language. Covers vocabulary, grammar, and cultural issues of communication for the hearing-impaired community. This course offers students a one-semester course equivalent to SGNL 1301 and SGNL 1302 .",Other,undergraduate,False,False,False,False,False,True
tamiu,2026,2026-2027,ANTH,2302,Introduction to Archaeology,The study of the human and material remains of previous civilizations humans left behind on or below the surface of the earth. Different theories of the interpretations of archaeological evidence are presented.,Humanities,undergraduate,False,False,False,False,False,True
tamiu,2026,2026-2027,ANTH,2346,Introduction to Anthropology,"This introductory course considers the emergence of humans, and traces the development of their physical characteristics and culture to the present. The course covers the four basic subfields of anthropology: cultural anthropology, linguistic anthropology, physical anthropology, and archaeology.",Humanities,undergraduate,True,False,False,False,False,True
tamiu,2026,2026-2027,ANTH,3302,Indians of North America,"Survey of the archeology, history, culture, social organization, ecology, and contemporary conditions of the indigenous people of North America.  Special emphasis is placed on the impact of contact, resistance, and the reservation experience of Indians.",Humanities,undergraduate,True,False,False,False,False,True
tamiu,2026,2026-2027,ANTH,3303,Biological Anthropology,"Anthropology is the holistic study of humans and our culture. Biological anthropology, a sub-discipline of anthropology, is the study of human biological and cultural evolution. This course introduces foundational concepts pertaining to human evolution, including evolutionary theory, genetics, geology, primatology, archaeology, and osteology. The course also covers the detailed history of the biocultural evolution of our species. This class also includes an extensive examination into the applied side of biological anthropology, particularly as it pertains to forensics and bioarcheology.",Humanities,undergraduate,False,False,False,False,False,True
tamiu,2026,2026-2027,ANTH,3305,North American Archaeology,"This course introduces students to the archaeology of North America by examining the different time periods and cultural areas. The latest archaeological interpretations and debates are provided to understand the peopling of the continent, the origins of North American agriculture, and the development of complex societies. The course also discusses significant archaeological interpretations of historical sites.",Humanities,undergraduate,False,False,False,False,False,True
tamiu,2026,2026-2027,ANTH,4301,Special Topics in Anthropology,Selected topics in an identified area.  May be repeated if topic changes.,Humanities,undergraduate,False,False,False,False,False,True
