university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
tamucc,2026,2026-2027,ACCT,2301,Financial Accounting,"Financial accounting concepts and their application in the accounting process for business organizations including financial statement preparation, analysis and communication of financial information.",Social Sciences,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,2302,Managerial Accounting,"The use of accounting information as an aid to management decision making, including performance measurement and budgets.",Professional,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,3311,Intermediate Accounting I,"An intensive study of the balance sheet accounts and the related income statement accounts. It exposes the student to the various Accounting Principles Board opinions and Financial Accounting Standards Board statements, and International Financial Reporting standards, as these publications affect the various accounts and transactions. It covers the various working capital accounts and operational assets.",Professional,upper,no,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,3312,Intermediate Accounting II,"A continuation of Intermediate Accounting I involving current and non-current liabilities and owner equity accounts, the Statement of Cash Flows, deferred income tax, financial statement analysis and several special problem areas. The course culminates with a comprehensive cash flow project. ACCT 3311 and Junior standing or above.",Professional,upper,yes,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,3314,Cost Accounting,"A study of procedures and concepts in allocating the costs of firm inputs to outputs, determination and use of standard costs in the control function, profit planning and control techniques used in management decision-making.",Professional,upper,no,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,3316,Governmental and Not-for-Profit Accounting,A study of fund accounting used in governmental entities and non-profit organizations. Emphasis on budgetary and fund accounts.,Professional,upper,no,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,3317,"Oil, Gas, & Energy Accounting","This course covers the basic principles of oil and gas accounting. Course topics include upstream oil and gas operations, successful efforts accounting, full cost pool accounting, accounting for production, exploration and construction, joint interest accounting, international operations, oil and taxation and analysis of oil and gas financial statements.",Professional,upper,no,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,3318,Multinational Entities: Accounting and Consolidations,A study of the similarities and differences between U.S. and other countries' accounting and reporting procedures. Basic consolidation of international segments will be covered. Use of spreadsheets and web technology required. ACCT 2302 and Junior standing or above.,Professional,upper,no,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,3321,Federal Income Tax I,"An introduction to the U.S. federal income tax system including the legislative and judicial process resulting in the dynamic evolution of the U.S. tax system. Focus is mainly on individual taxation. Includes coverage of gross income, deductions, property transactions, and computation of tax liabilities. Other relevant tax topics are explored.",Other,upper,no,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,3322,Federal Income Tax II,"Examines additional topics from the U.S. federal income tax system and how it applies to decision-making, tax research, and tax planning. Focus is mainly on the study of the taxation of various business entities. In addition, the course expands knowledge into the common tax issues and laws relating to the life cycles of businesses: formation, operation, and termination or dissolution.",Humanities,upper,no,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,3340,Fraud Examination,"This course covers the basic principles of fraud examination. Course topics include the behavioral aspects of fraud and common fraud schemes including skimming, larceny, check tampering, register disbursement schemes, billing schemes, payroll and expense reimbursement, non-cash misappropriations, corruption and bribery, and fraudulent financial statements.",Other,upper,no,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,3365,Data Analytics for Accounting,"This course presents a study of the accountant's role as an information provider in the era of information technology and big data. The completion of computer-based projects reinforces concepts. The AMPS model is used to understand the data analytics process and analyze all the available information. Four types of analytics (descriptive, diagnostic, predictive, and prescriptive) address accounting questions.",STEM,upper,no,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,4311,Auditing Principles and Procedures,"Auditing principles and techniques underlying the audit process; procedures used in conducting external audits, reviews and compilations.",Other,upper,no,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,4355,Accounting Information Systems,"A study of the role of accounting information systems and related subsystems in both for profit and not-for-profit entities. The relationship of accounting information systems to other systems, including management information systems, is addressed. Concepts are reinforced by the completion of computer-based projects. ACCT 2301 , ACCT 2302 , BAIS 2301 , and Senior standing (no Juniors).",STEM,upper,no,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,4390,Current Topics in Accounting,"Selected topics for special study related to accounting functions, processes or issues. May be repeated for credit when topics vary.",Professional,upper,no,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,4396,Directed Individual Study,Individual supervised study and completion of a final report.,Other,upper,no,no,no,no,no,no
tamucc,2026,2026-2027,ACCT,4398,Accounting Internship,"Supervised full-time or part-time, off-campus training in public accounting, industry, or government. Oral and written reports required. Accounting major, and Junior standing or above with a minimum 3.00 accumulated GPA in upper division accounting courses. Student must apply to program and be accepted prior to registration. May not be repeated for credit. This course does not meet the TXCPA upper-level accounting or business course requirements for students who plan to take the CPA Exam.",Professional,upper,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1101,Secondary Violin Studio,Thirty minutes of private Violin instruction per week reserved for elective studies or secondary areas for music majors and minors.,Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1102,Secondary Violin Studio,Thirty minutes of private Violin instruction per week reserved for elective studies or secondary areas for music majors and minors.,Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1103,Principal Violin Studio,"Intensive technical, interpretive, and performance skills development on Violin.",Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1104,Principal Violin Studio,"Intensive technical, interpretive, and performance skills development on Violin.",Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1105,Secondary Viola Studio,Thirty minutes of private Viola instruction per week reserved for elective studies or secondary areas for music majors and minors.,Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1106,Secondary Viola Studio,Thirty minutes of private Viola instruction per week reserved for elective studies or secondary areas for music majors and minors.,Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1107,Principal Viola Studio,"Intensive technical, interpretive, and performance skills development on Viola.",Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1108,Principal Viola Studio,"Intensive technical, interpretive, and performance skills development on Viola.",Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1109,Secondary Violoncello Studio,Thirty minutes of private Violoncello instruction per week reserved for elective studies or secondary areas for music majors and minors.,Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1110,Secondary Violoncello Studio,Thirty minutes of private Violoncello instruction per week reserved for elective studies or secondary areas for music majors and minors.,Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1111,Principal Violoncello Studio,"Intensive technical, interpretive, and performance skills development on Violoncello.",Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1112,Principal Violoncello Studio,"Intensive technical, interpretive, and performance skills development on Violoncello.",Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1113,Secondary Double Bass Studio,Thirty minutes of private Double Bass instruction per week reserved for elective studies or secondary areas for music majors and minors.,Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1114,Secondary Double Bass Studio,Thirty minutes of private Double Bass instruction per week reserved for elective studies or secondary areas for music majors and minors.,Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1115,Principal Double Bass Studio,"Intensive technical, interpretive, and performance skills development on Double Bass.",Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1116,Principal Double Bass Studio,"Intensive technical, interpretive, and performance skills development on Double Bass.",Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1117,Secondary Flute Studio,Thirty minutes of private Flute instruction per week reserved for elective studies or secondary areas for music majors and minors.,Other,lower,no,no,no,no,no,no
tamucc,2026,2026-2027,MUAP,1118,Secondary Flute Studio,Thirty minutes of private Flute instruction per week reserved for elective studies or secondary areas for music majors and minors.,Other,lower,no,no,no,no,no,no
