university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
trevecca,2026,2025-2026,ACT,2100,Accounting Fundamentals: A User's Perspective,"Introduces students to the basic topics in financial and managerial accounting, with the emphasis placed on managerial accounting. Demonstrates how accounting and accounting reports are used by managers, investors, and other business stakeholders.",Professional,graduate,False,False,False,False,False,True
trevecca,2026,2025-2026,ACT,3140,Data Analytics and Careers for Accountants,"Students will learn problem assessment, data preparation, data analysis, data visualization, control contesting and more in a hands-on environment for accountants.  In addition, one-fourth of the class will be spent covering careers in accounting. This will include guest speakers and working on resumes and interviewing as well.",Professional,graduate,False,False,False,False,False,True
trevecca,2026,2025-2026,ACT,3310,Cost Accounting,"A study of accounting for manufacturing concerns and service organizations in order to collect, organize, process, and report economic data for the use of decision makers. Traditional job costing, processing costing, and standard costing systems are presented as well as new measurement systems such as quality costing, activity-based-costing, just-in-time inventory, backflush costing, and non-financial performance measures. Additional topics include budgeting, variance analysis, cost-volume-profit analysis, and cost allocation.",Professional,graduate,False,False,False,False,False,True
trevecca,2026,2025-2026,ACT,2240,Microcomputer Accounting Applications for Education,An introduction to computerized accounting systems providing hands-on experience with a general ledger software package as well as an introduction to electronic spreadsheets and databases.,Professional,graduate,False,False,False,False,False,True
trevecca,2026,2025-2026,ACT,3110,Intermediate Accounting I,"An in-depth study of generally accepted accounting principles in relation to reporting financial information to external users. Emphasis is placed on financial accounting theory and concepts for the development of the income statement and balance sheet. Theoretical and conceptual discussion focuses on accounting standards, fundamental characteristics of accounting information, and recognition and measurement of financial information. This course also includes a comprehensive review of the accounting cycle. Additional topics include the time value of money, cash, receivables, and inventories. This course is the first of a three part series required of all accounting majors.",Professional,graduate,False,False,False,False,False,True
trevecca,2026,2025-2026,ACT,3333,Faculty-Led Academic Research Experiences (FLARE),"Intensive participation as a team member in the completion of a scholarly research or creative project. A faculty member will lead each project and will mentor students throughout the project. Enrollment is limited; application is required, and students are selected by the faculty member leading the project. For more information, see the Quality Enhancement Plan section of the Catalog.",Professional,graduate,False,False,False,False,False,True
trevecca,2026,2025-2026,ACT,3120,Intermediate Accounting II,"The second course of a three part series required of all accounting majors. Continuation of the theoretical and conceptual discussion for the development of the income statement and balance sheet. Topics include property, plant, and equipment; depreciation and depletion; intangible assets; current and long-term liabilities; stockholders' equity including stock transactions and retained earnings; dilutive securities, earnings per share, investments, revenue recognition, and accounting for income taxes.",Professional,graduate,True,False,False,False,False,True
trevecca,2026,2025-2026,ACT,499A,Research/Creative Project Proposal,"Development of an individualized original research or creative scholarship project under the mentorship of a faculty member. Tasks will include crafting the proposal, preparing an appropriate review of literature or other background information for the project, and outlining the methods by which the student plans to conduct the project. Permission of faculty-mentor and department chair or dean is required before student registers for the course.",Professional,graduate,False,False,False,False,False,True
trevecca,2026,2025-2026,ACT,2220,Principles of Accounting II,"Provides students with a basic understanding of the role of accounting information in business. Focuses on business financing and investing events throughout the management planning, performing, and evaluating cycles. Intended to open the door on understanding the world of business and provide insights on how businesses invest and finance those investments.",Professional,graduate,False,False,False,False,False,True
trevecca,2026,2025-2026,ACT,3400,Accounting Information Systems,"Discusses information system theory, concepts, and procedures as it relates to accounting. Emphasis is placed on accounting technology and controls in relation to the accounting cycle, reporting, and data storage. Topics include systems development life cycle, system design, internal control, inputs and outputs, and information system influences on managerial decision making and organizational structure.",Professional,graduate,False,False,False,False,False,True
trevecca,2026,2025-2026,ACT,499B,Research/Creative Project Completion,"Successful execution of an individualized research or creative scholarship project under the mentorship of a faculty member and consistent with practices in his or her discipline. Students will be evaluated on their adherence to approved methodology, logical development of the project, and time management, as well as their project progress. Permission of faculty-mentor and department chair or dean is required before student registers for the course. May be retaken for additional credit if the scope of the research project justifies it.",Professional,graduate,False,False,False,False,False,True
trevecca,2026,2025-2026,ACT,499C,Research/Creative Project Presentation,"Revision and presentation of research findings or creative scholarship project developed in 499A & B. Presentation may be submission for publication, oral presentation, or performance for a specified public audience. Permission of faculty-mentor and department chair or dean is required before student registers for the course.",Professional,graduate,False,False,False,False,False,True
trevecca,2026,2025-2026,ACT,4200,Advanced Accounting,"A study of the advanced financial accounting problems. Topics include partnerships, joint ventures, branch accounting, business combinations, consolidated financial statements, foreign currency transactions and reporting, bankruptcy, and estates and trusts.",Professional,graduate,False,False,False,False,False,True
trevecca,2026,2025-2026,ACT,4100,Tax Accounting,Income tax accounting with emphasis on personal and small business procedures.,Professional,graduate,False,False,False,False,False,True
trevecca,2026,2025-2026,ACT,4105,Federal Tax Practice,"Advanced problems of federal tax practice such as the tax statement of partnerships, estates, trusts, corporate organizations, foreign income and gifts, use of tax services: assessment, collection and refund procedures.",Professional,graduate,False,False,False,False,False,True
trevecca,2026,2025-2026,ACT,4335,CMA Problems,Certified Management Accounting (CMA) examination problems will be studied and analyzed under the supervision of an accounting professor.,Professional,graduate,False,False,False,False,False,True
trevecca,2026,2025-2026,ACT,4330,CPA Problems,Semiannual CPA examination problems of the American Institute of Certified Public Accountants are analyzed. Directed study.,Professional,graduate,False,False,False,False,False,True
