university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
ua,2026,2026-2027,AC,501,Basic Acctg Managrl Finan Cont,Study of the fundamentals of financial accounting. Attention is given to the interpretation and uses of information contained in financial statements.,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,502,Acctng Management Decisions,Study of the fundamentals of managerial accounting. Attention is given to the use of accounting by business managers.,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,506,Concepts Financial Managrl Acc,Basic accounting concepts and procedures with an emphasis on the use of accounting information by business managers.,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,512,Adv Financial Reporting/Analys,Advanced topics in financial accounting and reporting considered from a practical and theoretical perspective.,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,515,Current Issues in the Accounting Profession,This course is for accounting students who are returning from a spring internship.,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,523,Business Valuatn Perform Measm,"The analysis of accounting information for purposes of valuing businesses for investment, credit, and related decisions.",Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,532,Current Issues in Auditing,"Advanced study of standards, concepts, procedures, and professional ethics underlying governance and the provision of assurance services.",Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,534,Fraud & Ethics Risk Management,"Advanced study of the forensic accounting profession, fraud prevention, detection, and investigation, and the character needed to manage ethical challenges.",Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,544,Financial Statement Analysis,"Discussion of a common framework for the analysis of general purpose financial statement information. Includes discussions of the accounting process and availability of financial information, selected intermediate and advanced accounting concepts, required disclosures, modeling & valuation implications, and various analytical techniques available to the investment professional.",Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,547,Data Analytics for Accounting,A study of applied data analysis with an emphasis on accounting and business settings. The course will focus on tools and techniques used to draw insights from and solve problems with data.,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,548,Financial Statement Analysis,"Discussion and application of a common framework for the analysis of general purpose financial statement information for a variety of contexts.  Includes discussions of the accounting process, availability and relevance of financial information, analytical implications of selected intermediate and advanced accounting concepts, required disclosures, and various analytical techniques available to the accounting or finance professional.",Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,554,Professional Certification,Examination of accounting standards and procedures required for professional accounting certification.,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,556,Governmental Nonprofit Account,"Special features of budgetary and fund accounting as applied to municipalities, other governmental units, and institutions such as schools and hospitals.",Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,561,Accounting Business Management,Concepts and procedures employed in developing and using accounting information for management decisions.,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,568,Accounting for Income Taxes,"A course to prepare tax preparers and auditors to accurately determine a company's income tax provision, related deferred tax account balances and income tax footnote.",Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,575,Taxn Corp Shareholders,A study of federal income tax problems of corporations and the relationships of these problems to the tax problems of the corporate shareholder.,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,576,Adv Corporate Taxation,"A study of the tax accounting problems relating to corporate organizations, commonly controlled corporations, and consolidated tax returns.",Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,578,Partnership Taxation,"Designed to explore, in depth, the taxation of the formation, operation, and disposition of partnerships and LLCs. In addition, a brief review of the taxation of S corporations is presented.",Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,582,State And Local Taxation,"This course is designed to provide an overview of the key state and local tax considerations for individuals, partnerships, and corporations. With the significant changes enacted in a number of states as a result of the Tax Cuts and Jobs Act of 2017 and the CARES Act and the Supreme Court Wayfair decision, tax professionals need the skills which will enable them to competently gather facts, locate applicable state and local tax law, analyze the facts in light of the relevant law, and present the findings both orally and in writing.",Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,589,Systems Analysis & Control,"Examination of information systems development and control issues from the perspective of ensuring relevance, reliability, and security of business systems and information.",Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,592,Accounting Internship,No description available .,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,593,Res & Communicatn Taxation,"A study of tax research procedures, documentation of research, and presentation of research findings.",Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,597,Special Topics In Accounting,No description available .,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,610,Intro Accounting Res I,"Study of the production of accounting research, with specific focus on the scientific method. Intensive focus on problem identification and communication, and theory and hypothesis development.",Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,620,Acctg Research Sem I,"Study of advanced research methods with intensive focus on design and method development, data analysis, and interpretation of results.",Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,630,Archival Acctg Research,Study of the archival accounting research literature.,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,640,Experimental Acctg Research,Study of the experimental accounting research literature.,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,650,Directed Research,Examination of the literature and methodology associated with a specific research topic. Directed focus on development of second-year paper.,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,691,Research Practicum I,Development of a first year project under the supervision of a faculty member. Resulting papers are presented at a departmental research workshop.,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,692,Research Practicum II,Development of a second-year research project under the supervision of a faculty member. Resulting papers are presented at a departmental research workshop.,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,698,Research Colloquim Series,Participation in a research colloquium series involving scholars from top academic institutions.,Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,699,Dissertation Research,"This independent research course partially fulfills required doctoral-level research dissertation hours toward the doctoral degree. Under the guidance of their dissertation advisor, students conduct research toward the completion of their doctoral dissertation. Employing various research techniques and methodologies, students work on theoretical and/or applied research topics with the aim of making a novel contribution to the field.",Other,graduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,148,Intro to the Accounting Major,"AC 148 is open to freshmen and sophomores interested in learning more about the accounting profession and the accounting curriculum in the Culverhouse School of Accountancy. This course will introduce basic terminology and methodology, the accounting curriculum, career and educational resources, and career options.",Other,undergraduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,184,Culverhouse LIFT Student Worker,"This course revolves around participation as a tutor and mentor in The LIFT (Learning Initiative and Financial Training) Program, teaching computer and financial skills to disadvantaged members of the community.",Other,undergraduate,False,False,False,False,False,True
ua,2026,2026-2027,AC,188,Culverhouse LIFT - Class Leader,"This course involves participation as a class leader and mentor in The LIFT (Learning Initiative and Financial Training) Program, supervising students and participants in classes involving teaching computer and financial skills to disadvantaged members of the community. Student may not take AC188 if student has taken AC184, and can only take AC188 once.",Other,undergraduate,False,False,False,False,False,True
