university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uab,2026,2026-2027,ANTH,100,City as Culture,"City as Culture introduces students to multiple aspects of culture and cultural diversity in Birmingham and the UAB campus, drawing from the four subdisciplines of anthropology. The goal is to encourage students to experience and understand the City and campus as rich cultural spaces. Topics include food practices, identity and heritage, religion, language, art, consumption, gender and sexuality, transportation, parks and recreation, pollution and waste, and others. This course meets Blazer Core City in a Classroom requirement with a flag in Global/Multicultural.",Social Sciences,undergraduate,True,False,False,False,False,True
uab,2026,2026-2027,ANTH,101,Introducing Cultural Anthropology,"Introduction to human cultural diversity. Primary emphasis on similarities and differences of contemporary human cultures across the globe. Foundational theories and concepts related to cultural diversity in social organization, ecological/economic adaptation, and ideological domains. Global/local applications in areas of cultural relativism as applied to both the diversity of the world’s cultures and diversity of local subcultural or other groups within society. Applicative tools for real-world problems involving ethnocentrism, racism, sex/gender discrimination, faith-based differences, political division, and other domains of human diversity. This course meets Blazer Core Humans and their Societies with Flags in Wellness/Wellbeing, Global/Multicultural, and Collaborative Assignments.",Social Sciences,undergraduate,True,False,False,True,False,True
uab,2026,2026-2027,ANTH,102,Introduction to Biological Anthropology,"Scientific study of biological anthropology including evolutionary processes, primate evolution and behavior, the human fossil record, living human biocultural diversity.  This course meets Blazer Core Curriculum Scientific Inquiry with a flag in Global/Multicultural and Collaborative Assignments.",Social Sciences,undergraduate,True,False,False,False,False,True
uab,2026,2026-2027,ANTH,102L,Laboratory in Biological Anthropology,"Laboratory study of data, analytical techniques, and theories in biological anthropology. Evolutionary processes, Primate and human evolutionary biology, contemporary human biocultural diversity.",Social Sciences,undergraduate,True,False,False,False,False,True
uab,2026,2026-2027,ANTH,104,Introduction to Peace Studies,"An overview of concepts and practices related to conflict, social justice, and peace. Students are introduced to theories, terms, analytical skills and tools in terms of peace building and conflict transformation. This course meets Blazer Core Reasoning with Flags in Justice & Sustainability.",Social Sciences,undergraduate,True,False,False,True,False,True
uab,2026,2026-2027,ANTH,106,Introducing Archaeology,"Introduction to the study of the human past. Primary emphasis on similarities and differences of past human cultures across the globe. Modern archaeological methods and theory are highlighted, providing an overview of the diverse fields and sub-specialties of archaeological research. Case studies are employed to demonstrate how archaeologists use the archaeological record to make interpretations about past life. Emphasis on the importance of archaeology to our current world. This course meets Blazer Core History and Meaning with flags in Sustainability and Global Multicultural Perspectives.",Social Sciences,undergraduate,True,False,False,True,False,True
uab,2026,2026-2027,ANTH,120,Language and Culture,"Introduction to the relationship between language and culture. Primary emphasis on language as an expression of social organization and cultural values. Foundational theories and concepts related to the origin, structure, and diversity of human language. Local /global applications in areas of linguistic diversity as it relates to cultures and subcultures, as well as social identities such as ethnicity, sex/gender, nationality, regionality, and disability. Applicative tools for real world problems involving language biases, discourses, new media forms, and disinformation/propaganda. This course meets Blazer Core Humans & Their Society with flags in Justice and Global/Multicultural Perspectives.",Social Sciences,undergraduate,True,False,False,False,False,True
uab,2026,2026-2027,ANTH,175,How Cultures Think,"This course introduces students to the quantitative study of culture through the methods of cognitive anthropology. Students will learn how anthropologists use quantitative data and models to analyze how cultures categorize, rank, and relate concepts in shared domains of knowledge. This includes how people within and between cultures think about such things as kinship, illness, morality, ontology, or peace. Students will work with datasets from cognitive anthropological studies to practice interpreting cultural data using statistical and computational tools. Course topics include free-list analysis, similarity matrices, multidimensional scaling, cluster analysis, and consensus modeling. Through guided analysis and interpretation, students develop quantitative literacy by learning how to evaluate evidence, recognize patterns, and communicate quantitative findings about culture. The course also introduces students to commonly used software for quantitative analysis, including ANTHROPAC, Flares, UCINET, and R.",Social Sciences,undergraduate,False,False,False,False,False,True
uab,2026,2026-2027,ANTH,200,Applied Anthropology,"Applied anthropology stresses the practical application of anthropological perspectives, theories, and methods to the real world needs of contemporary communities, organizations, and institutions.  Within this context, applied anthropology is viewed as a critically important fifth subfield of anthropology ideally suited to aid in the resolution of modern challenges. Topics addressed include global challenges related to public policy; the environment; sustainable development; health, poverty, social, racial, and gender inequality; social advocacy; and cultural tolerance.",Social Sciences,undergraduate,True,False,False,True,False,True
uab,2026,2026-2027,ANTH,202,Science Fiction and Anthropology,"Anthropological concepts in works of science fiction; the place of anthropology in contemporary science fiction literature, film, and television.  Topics include culture, language, archaeology and human evolution.",Social Sciences,undergraduate,False,False,False,False,False,True
uab,2026,2026-2027,ANTH,210,Monkeys and Apes,Behavior and social organization of humans' closest living relatives.  Living primates and why they behave as they do.,Social Sciences,undergraduate,False,False,False,False,False,True
uab,2026,2026-2027,ANTH,211,Human Evolution,Human organism's evolution as systemic whole.  Process of human evolutionary change as depicted in behavior and fossil record.,Social Sciences,undergraduate,False,False,False,False,False,True
uab,2026,2026-2027,ANTH,222,Ancient North America,"This course provides a survey of the archaeology and past Indigenous cultures of North America (north of Mexico), from the initial arrival of the first Americans to European contact. Students will be introduced to the rich diversity and history of past Native American cultures through a comparative archaeological approach that highlights differences in subsistence, settlement, ecology, social and political organization, material culture, and religion, among other topics.",Social Sciences,undergraduate,True,False,False,False,False,True
uab,2026,2026-2027,ANTH,226,Archaeological Field School,"Participation in all phases of excavation, laboratory study, and report preparation.  Off campus.",Social Sciences,undergraduate,False,False,False,False,False,True
