university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uaf,2026,2026-2027,ACCT,F261X,Principles of Financial Accounting,"During this course, we will study accounting from two different methodical approaches: the preparer approach (i.e. a look at how an accounting system is created to record, process and report accounting information) and the user approach (i.e. a look at how various people use the information generated by accountants).",Professional,undergraduate,False,False,False,False,False,True
uaf,2026,2026-2027,ACCT,F262,Principles of Managerial Accounting,"Study of the generation and analysis of accounting information and its uses by managers as they engage in planning, control and decision-making activities in business and non-business organizations. Topics include product costing, cost-volume-profit analysis, relevant costs for decision-making and capital budget decisions.",Professional,undergraduate,False,False,False,False,False,True
uaf,2026,2026-2027,ACCT,F271,Fiscal Management for Emergency Management Operations,"Students will learn about the basic accounting and financial requirements for public organizations such as fire, police and similar functions of local governments. The major topics covered include: understanding financial reports, budgeting preparation, and grants and contracts administration.",Professional,undergraduate,False,False,False,False,False,True
uaf,2026,2026-2027,ACCT,F330,Income Tax,Survey of basic concepts of federal taxation with emphasis on taxation of individuals and the impact of taxes on business and investment planning.,Professional,undergraduate,False,False,False,False,False,True
uaf,2026,2026-2027,ACCT,F342,Managerial Cost Accounting,"Cost accounting with managerial emphasis on planning, control and decision-making. Topics include cost-volume-profit analysis, costing systems, profit planning, flexible budgets, standard costs, responsibility accounting, inventory costing alternatives and relevant costs for decision-making.",Professional,undergraduate,False,False,False,False,False,True
uaf,2026,2026-2027,ACCT,F352,Management Accounting,"Business policy profit planning, resource planning, control concepts, reporting for management control and impact of public reporting on management decisions.",Professional,undergraduate,False,False,False,False,False,True
uaf,2026,2026-2027,ACCT,F356,Internship in Accounting,"Supervised accounting work experience in an approved position related to the student's career interests. Number of credits earned depends upon the type of position and time worked. No student may count more than 9 internship credits towards an undergraduate degree, with these credits being electives.",Professional,undergraduate,False,False,False,False,False,True
uaf,2026,2026-2027,ACCT,F361,Intermediate Accounting I,Discussions of financial accounting topics from the perspective of both accounting practice and theory. Working capital and fixed asset accounts are emphasized. Ethical and international accounting issues are emphasized throughout the sequence.,Professional,undergraduate,False,False,False,False,False,True
uaf,2026,2026-2027,ACCT,F362,Intermediate Accounting II,Discussion of financial accounting topics from the perspective of both accounting practice and theory. Long-term liabilities and stockholder's equity are emphasized. Ethical and international accounting issues are emphasized throughout.,Professional,undergraduate,True,False,False,False,False,True
uaf,2026,2026-2027,ACCT,F401,Advanced Accounting,"Accounting for business combinations: parent-subsidiary and home office/branch relationships, partnerships and multinational enterprises.",Professional,undergraduate,False,False,False,False,False,True
uaf,2026,2026-2027,ACCT,F404,Advanced Cost Accounting and Controllership,Study of the controllership function with emphasis on advanced cost and managerial accounting topics related to contemporary organizations.,Professional,undergraduate,False,False,False,False,False,True
uaf,2026,2026-2027,ACCT,F414,Governmental and Nonprofit Accounting,"Accounting for governmental units, public schools, colleges and universities, health care providers, voluntary health and welfare organizations and other nonprofit organizations.",Professional,undergraduate,False,False,False,False,False,True
uaf,2026,2026-2027,ACCT,F430,Advanced Taxes,"Advanced study of income taxation, emphasizing federal taxation of corporations and partnerships.",Professional,undergraduate,False,False,False,False,False,True
uaf,2026,2026-2027,ACCT,F452,Auditing,"Introduction to the professional standards and procedures applicable to an auditor's examination of financial statements. Compliance and Operational auditing, ethical and legal responsibilities, and international auditing issues are emphasized.",Professional,undergraduate,False,False,False,False,False,True
