university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
ucla,2025,2025-2026,AERO ST,130A,Air Force Leadership Studies,"Lecture, three hours. Requisites: courses 1A, 1B, 1C, 20A, 20B, 20C. Designed to provide cadets with leadership overview. Basic leadership skills for cadets beginning leadership role in detachment. Lessons on military relationships and rules that military members must follow when interacting with enlisted members and officers. Continuation of advanced skills and ethics training in preparation for becoming officer and supervisor. Introduction to variety of leadership topics in preparation to be effective leaders. P/NP or letter grading.",STEM,undergraduate,0,0,0,0,False,True
ucla,2025,2025-2026,AERO ST,130B,Air Force Leadership Studies,"Lecture, three hours. Requisites: courses 1A, 1B, 1C, 20A, 20B, 20C. Designed to provide cadets with leadership overview. Basic leadership skills for cadets beginning leadership role in detachment. Lessons on military relationships and rules that military members must follow when interacting with enlisted members and officers. Continuation of advanced skills and ethics training in preparation for becoming officer and supervisor. Introduction to variety of leadership topics in preparation to be effective leaders. P/NP or letter grading.",STEM,undergraduate,0,0,0,0,False,True
ucla,2025,2025-2026,AERO ST,130C,Air Force Leadership Studies,"Lecture, three hours. Requisites: courses 1A, 1B, 1C, 20A, 20B, 20C. Designed to provide cadets with leadership overview. Basic leadership skills for cadets beginning leadership role in detachment. Lessons on military relationships and rules that military members must follow when interacting with enlisted members and officers. Continuation of advanced skills and ethics training in preparation for becoming officer and supervisor. Introduction to variety of leadership topics in preparation to be effective leaders. P/NP or letter grading.",STEM,undergraduate,0,0,0,0,False,True
ucla,2025,2025-2026,AERO ST,140A,National Security Affairs/Preparation for Active Duty,"Lecture, three hours. Requisites: courses 1A, 1B, 1C, 20A, 20B, 20C. Study of national security processes, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics focus on military as profession, officership, military justice, civilian control of military, preparation for active duty, and current issues affecting military professionalism. Within this structure, continued emphasis on refining communication skills. P/NP or letter grading.",STEM,undergraduate,0,0,0,0,False,True
ucla,2025,2025-2026,AERO ST,140B,National Security Affairs/Preparation for Active Duty,"Lecture, three hours. Requisites: courses 1A, 1B, 1C, 20A, 20B, 20C. Study of national security processes, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics focus on military as profession, officership, military justice, civilian control of military, preparation for active duty, and current issues affecting military professionalism. Within this structure, continued emphasis on refining communication skills. P/NP or letter grading.",STEM,undergraduate,0,0,0,0,False,True
ucla,2025,2025-2026,AERO ST,140C,National Security Affairs/Preparation for Active Duty,"Lecture, three hours. Requisites: courses 1A, 1B, 1C, 20A, 20B, 20C. Study of national security processes, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics focus on military as profession, officership, military justice, civilian control of military, preparation for active duty, and current issues affecting military professionalism. Within this structure, continued emphasis on refining communication skills. P/NP or letter grading.",STEM,undergraduate,0,0,0,0,False,True
ucla,2025,2025-2026,AERO ST,19,Fiat Lux Freshman Seminars,"Seminar, one hour. Discussion of and critical thinking about topics of current intellectual importance, taught by faculty members in their areas of expertise and illuminating many paths of discovery at UCLA. P/NP grading.",STEM,undergraduate,0,0,0,0,False,True
ucla,2025,2025-2026,AERO ST,197,Individual Studies in Aerospace Studies,"Tutorial, three hours. Limited to juniors/seniors. Individual intensive study, with scheduled meetings to be arranged between faculty member and student. Assigned reading and tangible evidence of mastery of subject matter required. May be repeated for credit. Individual contract required. P/NP or letter grading.",STEM,undergraduate,0,0,0,0,False,True
ucla,2025,2025-2026,AERO ST,1A,Department of Air Force Professionalism,"Lecture, one hour. Introduction to U.S. Air Force. Examination of general aspects of Department of Air Force, leadership, benefits, and opportunities for officers. Foundation for becoming airmen by outlining heritage and values. Provides historical perspective through lessons on war and U.S. military, Air Force operations, principles of war, and airpower. Provides students with understanding for employment of air and space power, from institutional, doctrinal, and historical perspective. Students are introduced to Air Force way of life and gain knowledge on what it means to be airmen. P/NP or letter grading.",STEM,undergraduate,0,0,0,0,False,True
ucla,2025,2025-2026,AERO ST,1B,Department of Air Force Professionalism,"Lecture, one hour. Introduction to U.S. Air Force. Examination of general aspects of Department of Air Force, leadership, benefits, and opportunities for officers. Foundation for becoming airmen by outlining heritage and values. Provides historical perspective through lessons on war and U.S. military, Air Force operations, principles of war, and airpower. Provides students with understanding for employment of air and space power, from institutional, doctrinal, and historical perspective. Students are introduced to Air Force way of life and gain knowledge on what it means to be airmen. P/NP or letter grading.",STEM,undergraduate,0,0,0,0,False,True
