university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uconn,2026,2026-2027,ACCT,2001,Principles of Financial Accounting,,Professional,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,2101,Principles of Managerial Accounting,,Professional,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,3005,Introduction to a Profession,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,3201,Intermediate Accounting I,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,3202,Intermediate Accounting II,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,3210,Accounting Information Systems and Data Analytics,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,3221,Cost Accounting,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,3260,Federal Income Taxes,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,3265,Volunteer Income Tax Assistance for Preparers,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,4203,Advanced Accounting,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,4204,Financial Statement Analysis and Business Valuation,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,4243,Assurance Services,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,4265,Advanced Volunteer Income Tax Assistance for Reviewers,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,4881,Internship in Accounting,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,4893,Foreign Study,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,4895,Special Topics,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,4899,Independent Study,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ACCT,4997W,Senior Thesis in Accounting,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRI,3995,Special Topics,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRI,3999,Independent Study,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,1100,Afrocentric Perspectives in the Arts,,Humanities,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2211,Introduction to Africana Studies,,Humanities,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2214,African American Literature,,Humanities,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2214W,African American Literature,,Humanities,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2222,"Race, Gender, Sexuality, and the Power of Looking",,Humanities,undergraduate,True,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2252,Politics In Africa,,Humanities,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2345,Language and Racism,,Humanities,undergraduate,True,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2346,Afro-Indigenous Freedom Struggles in Latin America,,Humanities,undergraduate,True,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2461,"Race, Gender, and U.S. Health Care",,Humanities,undergraduate,True,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2510,Ethnicity and Race,,Humanities,undergraduate,True,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2520,White Racism,,Humanities,undergraduate,True,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2530,African Americans and Social Protest,,Humanities,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2563,African American History to 1865,,Humanities,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2564,African American History Since 1865,,Humanities,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2621,Cuba in Local and Global Perspective,,Humanities,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2622,History of Gender and Sexuality in Latin America and the Caribbean,,Humanities,undergraduate,True,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2752,Africa in Global History,,Humanities,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,2753,History of Modern Africa,,Humanities,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3025,Contemporary Africa,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3033,Race and Policy,,Humanities,graduate,True,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3050W,African American Art,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3060,Violence and Visual Culture,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3106,Black Psychology,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3131,Black Theatre,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3132,"African-American Women Playwrights, 1900 to the present",,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3152,"Race, Ethnicity, and Nationalism",,Humanities,graduate,True,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3155,Anthropology of the African Diaspora,,Humanities,graduate,True,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3206,Black Experience in the Americas,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3208,Making the Black Atlantic,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3213,Eighteenth- and Nineteenth-Century African American Literature,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3215,Twentieth- and Twenty-First Century African American Literature,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3215W,Twentieth- and Twenty-First Century African American Literature,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3217,Studies in African American Literature and Culture,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3217W,Studies in African American Literature and Culture,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3224,History of Pan Africanism,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3293,Foreign Study,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3295,Special Topics,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3299,Independent Study,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3320,"Race, Culture, and Reproductive Health",,Humanities,graduate,True,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3475,Black Families,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3512,African Archaeology,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3565,African American Women's History,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3568,"Hip Hop, Politics and Youth Culture in America",,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3569,Slavery in Film,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3575,Black Documentary Film Archival Practices,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3618,Comparative Slavery in the Americas,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3619,History of the Caribbean,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3619W,History of the Caribbean,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3620,"Cuba, Puerto Rico, and the Spanish Caribbean",,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3642,African-American Politics,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3647,Black Leadership and Civil Rights,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3652,Black Feminist Politics,,Humanities,graduate,True,False,False,False,False,True
uconn,2026,2026-2027,AFRA,3898,Variable Topics,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,4100,Experiential/Service Learning Seminar,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,4994W,Senior Seminar,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,4996,Honors Thesis Preparation,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,AFRA,4997W,Senior Thesis in Africana Studies,,Humanities,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,1110E,"Population, Food, and the Environment",,Professional,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,1150,Principles of Applied and Resource Economics,,Professional,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,1333Q,Introduction to Data and Visualization,,Professional,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,1400,Pricing Pleasure: Controversial Consumption,,Professional,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,2150,Intermediate Applied and Resource Economics,,Professional,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,2155,Imperfect Competition and Behavioral Economics,,Professional,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,2210,Essentials of Accounting and Business,,Professional,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,2215,Business Management,,Professional,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,2250E,Energy Economics: Sustainable Transitions,,Professional,undergraduate,False,False,False,True,False,True
uconn,2026,2026-2027,ARE,2260,Food Policy,,Professional,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,2261W,Writing in Food Policy,,Professional,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,2434E,Environmental and Resource Policy,,Professional,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,2435W,Writing in Environmental and Resource Policy,,Professional,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,2464,Measuring Impact of Programs that Raise Human Well-being,,Professional,undergraduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,2525,Sustainability Policy and Management,,Professional,undergraduate,False,False,False,True,False,True
uconn,2026,2026-2027,ARE,3221,Managerial Economics and Business Strategies,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,3222,Marketing and Consumer Behavior,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,3223,Business Organization and Labor Markets,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,3225,Price Analysis and Futures Trading,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,3305E,"Economic Development, Environment, and Policy",,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,3333,Computational Analysis in Applied Economics,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,3437E,Marine Fisheries Economics and Policy,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,3438E,Climate Economics,,Professional,graduate,False,False,False,True,False,True
uconn,2026,2026-2027,ARE,4205,Market Planning and Survey Research in the Food Industry,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,4210,Data Science for Decision Making in Applied and Resource Economics,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,4215,Sustainable Business Planning,,Professional,graduate,False,False,False,True,False,True
uconn,2026,2026-2027,ARE,4217,Business Finance and Investment Management,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,4279,International Commodity Trade,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,4305,Sustainable Economic Development,,Professional,graduate,False,False,False,True,False,True
uconn,2026,2026-2027,ARE,4438E,Valuing the Environment,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,4444,"Economics of Energy, Climate, and the Environment",,Professional,graduate,False,False,False,True,False,True
uconn,2026,2026-2027,ARE,4462E,Environmental and Resource Economics,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,4464,Cost-Benefit Analysis and Applications,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,4476,International Trade and Policy,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,4897,Honors Thesis,,Professional,graduate,False,False,False,False,False,True
uconn,2026,2026-2027,ARE,4900,Farm Credit Fellows Seminar,,Professional,graduate,False,False,False,False,False,True
