university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uf,2026,2026-2027,ACG,2021,Introduction to Financial Accounting,Conceptual introduction to financial accounting. Emphasis is placed on wealth and income measurement and the preparation and interpretation of conventional financial statements.,Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ACG,2071,Introduction to Managerial Accounting,"Accounting for cost reporting and control. Reports, statements and analytical tools used by management.",Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ACG,2391,Exploring Careers in Accounting,"Introductory overview of accounting as a field of study and the career opportunities available within accounting, in sectors such as public accounting, professional and financial services, industry, government, entrepreneurship, and other.",Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ACG,3101,Financial Accounting and Reporting 1,"Covers the theoretical structure of financial accounting, required financial statements, revenue recognition, operating assets and current liabilities.",Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ACG,3401,Business Processes and Accounting Information Systems,"Examination of the accounting information systems in a business organization. Coverage extends over topics such as business processes, internal controls, and the fundamentals of accounting information systems analysis, design, implementation and control.",Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ACG,3802,Professional Speakers Series,"To expose students to technical topics and emerging issues in accounting, business and related professions such as law. The course addresses career opportunities in the practice of public accounting, industry, financial services, government, and in business more generally.",Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ACG,4111,Financial Accounting and Reporting 2,"Continuation of ACG 3101 and includes coverage of accounting for investments, non-current liabilities and equities, accounting for income taxes, derivatives, accounting changes, statement of cash flows and earnings per share.",Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ACG,4341,Cost and Managerial Accounting,"Extends cost and managerial coverage beyond that covered in ACG 2071. Topics include quantitative cost estimation, standard costing, flexible budgets, inventory management, pricing decisions, balanced scorecard, costs of quality, capital budgeting, transfer pricing and performance evaluations.",Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ACG,4632,Introduction to Auditing,"Introduces the basic concepts, principles and environment of financial statement auditing. The course emphasizes the audit decision-making process, researching audit standards, audit planning, evidence evaluation, audit reports, ethics and legal liability.",Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ACG,4931,Special Topics,Opportunity for in-depth study of topics not offered in other courses and of topics of special current significance.,Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ACG,4941,Supervised Accounting Internship,Applied work in professional accounting. Requires several papers and reports.,Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ACG,4970,Honors Thesis,The thesis must be submitted to the Fisher School no later than the published deadline and includes an abstract.,Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,TAX,4001,Introduction to Federal Income Tax,Introduces federal income taxation to those who pursue careers in accounting; develops a basic understanding of the federal income tax laws relating to businesses and provides a framework for integrating income tax planning into the business decision-making process.,Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,TAX,4930,Special Topics in Taxation,Course provides an opportunity for in-depth study of topics not offered in other courses and of topics of special current significance.,Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ADV,3001,Advertising Strategy,"Overview of the strategic planning process required to develop a successful strategic, persuasive communication plan such as an advertising, integrated marketing communications, or social marketing campaign. Case studies and projects teach the skills needed to address a variety of communications management issues and engage audiences in diverse marketplaces.",Other,undergraduate,True,False,False,False,False,True
uf,2026,2026-2027,ADV,3008,Principles of Advertising,"Overview of the concepts, strategies, and tactics of modern advertising. Explores the role of advertising in society, culture, and economics, as well as the industry and its key organizations. Introduces specific practices used to develop, place, and evaluate both traditional and digital ads.",Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ADV,3303,Cross Media Selling,"Explore traditional and digital media landscapes as well as the fundamental ways to create client-centered, holistic solutions using cross media platform selling. This course will deep dive into real-life examples and scenarios as well as give students hands-on experience with this type of selling.",Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ADV,3310,Digital Media Sales,"Provides a solid understanding of digital media sales and the digital environment. Student will be able to identify  explain key concepts related to sales efforts in digital and social media, implement digital and social media sales efforts, and justify integrated efforts with research, measurements and trends.",Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ADV,3330,Artificial Intelligence and Advertising,"Provides a comprehensive understanding of AI and its impact on the advertising industry. Explore a range of AI-driven tools, techniques, and technologies while examining their practical applications in marketing and advertising campaigns. Additionally, covers the ethical and societal implications of AI technology in human communication and marketing.",Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ADV,3403,Branding,Principles of branding and brand strategy; learn to think creatively and critically about strategies and tactics applied to build and manage brands with insight into diverse audiences.,Other,undergraduate,True,False,False,False,False,True
uf,2026,2026-2027,ADV,3411,Multicultural Advertising in the US,"Studies multicultural communities and the process of developing advertising, promotional, and media communication tactics. Explores the methods of utilizing insights, research, and audience segmentation for developing and evaluating campaign development, while understanding the social, psychological, and cultural framework of diverse audiences.",Other,undergraduate,True,False,False,False,False,True
uf,2026,2026-2027,ADV,3420,Health Communication,"Overview of health communication in research, industry, and practice. Explore and better understand the role communication plays in health care delivery, health promotion, disease prevention, environmental and risk communication, media and mass communication, and technology.",Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ADV,3500,Digital Insights,"Acquiring, evaluating, and analyzing information for advertising decisions. Emphasizes understanding the scientific method, developing explicit and measurable research objectives, selecting appropriate methodologies, and analyzing data.",Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ADV,3502,Advertising Sales,Principles of selling media time and space to advertisers. An overview of sales opportunities and challenges in the various advertising media. How to prepare and deliver effective sales presentations.,Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ADV,3824,Advertising Strategy: Health / Social Influence Approach,"Learn the process of advertising and promotional strategy from a health/social marketing approach, which centers on global health issues. Learn to ""sell science"" and market public health messages to help change the world.",Other,undergraduate,False,False,False,False,False,True
uf,2026,2026-2027,ADV,3920C,Professional Workshop in Advertising,"Short-term intensive workshops in selected areas of professional development, skills, and projects. Workshops taught by professionals and often occur over three-day weekend periods. Topics change from semester to semester, with a focus on industry skills and subjects learned best from within a professional context.",Other,undergraduate,False,False,False,False,False,True
